analysis_date,window,factor_name,family,tier,row_count,eligible_count,nonmissing_count,eligible_nonmissing_share,mean,std,q01,q25,median,q75,q99,iqr,unique_count,zero_share,varying,range_violation_count
2015-04-30,60,community_diversity_count,community_bridge,auxiliary,1993,1993,1993,1.0,3.4435524335173104,1.2730365279088478,1.0,3.0,3.0,4.0,6.0,1.0,8,0.0035122930255895636,True,0
2015-05-29,60,community_diversity_count,community_bridge,auxiliary,1914,1914,1914,1.0,3.449843260188088,1.617512078930132,1.0,2.0,3.0,5.0,7.0,3.0,10,0.008359456635318705,True,0
2015-06-30,60,community_diversity_count,community_bridge,auxiliary,1802,1802,1802,1.0,2.891231964483907,1.2865481492820674,0.0,2.0,3.0,4.0,6.0,2.0,8,0.01220865704772475,True,0
2015-07-31,60,community_diversity_count,community_bridge,auxiliary,1572,1572,1572,1.0,1.578880407124682,1.0962632660759077,0.0,1.0,1.0,2.0,4.0,1.0,6,0.12595419847328243,True,0
2015-08-31,60,community_diversity_count,community_bridge,auxiliary,1645,1645,1645,1.0,1.635258358662614,1.08797098320795,0.0,1.0,1.0,2.0,4.0,1.0,6,0.11063829787234042,True,0
2015-09-30,60,community_diversity_count,community_bridge,auxiliary,1769,1769,1769,1.0,1.4550593555681175,1.0310820241989254,0.0,1.0,1.0,2.0,4.0,1.0,7,0.13566986998304126,True,0
2015-10-30,60,community_diversity_count,community_bridge,auxiliary,1962,1962,1962,1.0,1.7793068297655454,1.1716668422549974,0.0,1.0,2.0,2.0,5.0,1.0,7,0.10244648318042814,True,0
2015-11-30,60,community_diversity_count,community_bridge,auxiliary,2037,2037,2037,1.0,2.359842906234659,1.1718417691499123,0.0,2.0,2.0,3.0,5.0,1.0,7,0.042709867452135494,True,0
2015-12-31,60,community_diversity_count,community_bridge,auxiliary,2119,2119,2119,1.0,2.292590844738084,1.2320621717377263,0.0,1.0,2.0,3.0,5.0,2.0,8,0.042000943841434636,True,0
2016-01-29,60,community_diversity_count,community_bridge,auxiliary,2199,2199,2199,1.0,2.0059117780809457,1.105388666938208,0.0,1.0,2.0,3.0,5.0,2.0,7,0.05911778080945884,True,0
2016-02-29,60,community_diversity_count,community_bridge,auxiliary,2241,2241,2241,1.0,2.423917893797412,1.3122969022679751,0.0,1.0,2.0,3.0,6.0,2.0,9,0.036590807675145026,True,0
2016-03-31,60,community_diversity_count,community_bridge,auxiliary,2290,2290,2290,1.0,2.6624454148471615,1.2277842978125104,0.0,2.0,3.0,3.0,6.0,1.0,8,0.02052401746724891,True,0
2016-04-29,60,community_diversity_count,community_bridge,auxiliary,2246,2246,2246,1.0,3.097506678539626,1.497050534084528,1.0,2.0,3.0,4.0,7.0,2.0,10,0.006233303650934996,True,0
2016-05-31,60,community_diversity_count,community_bridge,auxiliary,2265,2265,2265,1.0,4.324061810154525,1.4902388257487151,1.0,3.0,4.0,5.0,8.0,2.0,10,0.0013245033112582781,True,0
2016-06-30,60,community_diversity_count,community_bridge,auxiliary,2284,2284,2284,1.0,4.714098073555166,1.6148807303385304,1.0,4.0,5.0,6.0,9.0,2.0,12,0.0013134851138353765,True,0
2016-07-29,60,community_diversity_count,community_bridge,auxiliary,2332,2332,2332,1.0,4.219125214408233,1.7152613100282543,1.0,3.0,4.0,5.0,9.0,2.0,12,0.004288164665523156,True,0
2016-08-31,60,community_diversity_count,community_bridge,auxiliary,2409,2409,2409,1.0,4.271066832710669,1.6114978836189122,1.0,3.0,4.0,5.0,8.0,2.0,11,0.0008302200083022001,True,0
2016-09-30,60,community_diversity_count,community_bridge,auxiliary,2429,2429,2429,1.0,4.252367229312474,1.4844187161437907,1.0,3.0,4.0,5.0,8.0,2.0,11,0.0008233841086867024,True,0
2016-10-31,60,community_diversity_count,community_bridge,auxiliary,2451,2451,2451,1.0,5.646266829865361,1.724178662724013,2.0,4.0,6.0,7.0,10.0,3.0,13,0.0004079967360261118,True,0
2016-11-30,60,community_diversity_count,community_bridge,auxiliary,2460,2460,2460,1.0,4.469918699186992,1.5432483405287205,1.0,3.0,4.0,5.0,8.0,2.0,11,0.0004065040650406504,True,0
2016-12-30,60,community_diversity_count,community_bridge,auxiliary,2499,2499,2499,1.0,4.43937575030012,1.4606435438850591,1.0,3.0,4.0,5.0,8.0,2.0,9,0.0,True,0
2017-01-26,60,community_diversity_count,community_bridge,auxiliary,2537,2537,2537,1.0,3.997240835632637,1.3964001081571373,1.0,3.0,4.0,5.0,7.0,2.0,10,0.00039416633819471815,True,0
2017-02-28,60,community_diversity_count,community_bridge,auxiliary,2579,2579,2579,1.0,4.213260953858085,1.3751106234012402,1.0,3.0,4.0,5.0,8.0,2.0,10,0.0007754943776657619,True,0
2017-03-31,60,community_diversity_count,community_bridge,auxiliary,2663,2663,2663,1.0,4.562898986105895,1.5990532332896872,1.0,3.0,5.0,6.0,8.0,3.0,11,0.0007510326699211416,True,0
