factor_name,window,family,tier,job_count,eligible_job_count,mean_eligible_nonmissing_share,median_eligible_nonmissing_share,min_eligible_nonmissing_share,varying_job_share,median_monthly_std,median_monthly_iqr,median_monthly_unique_count,total_range_violation_count
community_diversity_count,60,community_bridge,auxiliary,138,138,1.0,1.0,1.0,1.0,1.4554629409015296,2.0,10.0,0
community_diversity_count,120,community_bridge,auxiliary,135,135,1.0,1.0,1.0,1.0,1.4529665011000115,2.0,10.0,0
community_diversity_count,252,community_bridge,auxiliary,129,129,1.0,1.0,1.0,1.0,1.4818762026991816,2.0,9.0,0
cross_industry_degree_percentile,60,industry,core,138,138,1.0,1.0,1.0,1.0,0.2885798897129348,0.49760438203392415,181.0,0
cross_industry_degree_percentile,120,industry,core,135,135,1.0,1.0,1.0,1.0,0.2885050750342451,0.5021442495126707,196.0,0
cross_industry_degree_percentile,252,industry,core,129,129,1.0,1.0,1.0,1.0,0.28822171569933003,0.4983164983164983,199.0,0
cross_industry_degree_ratio,60,industry,core,138,138,1.0,1.0,1.0,1.0,0.22275288826232426,0.2777777777777778,1068.5,0
cross_industry_degree_ratio,120,industry,core,135,135,1.0,1.0,1.0,1.0,0.2745266495713111,0.39779874213836475,1143.0,0
cross_industry_degree_ratio,252,industry,core,129,129,1.0,1.0,1.0,1.0,0.3164119024651162,0.5332880434782609,1136.0,0
cross_industry_strength_percentile,60,industry,auxiliary,138,138,1.0,1.0,1.0,1.0,0.288675082395774,0.49987404617739983,3825.0,0
cross_industry_strength_percentile,120,industry,auxiliary,135,135,1.0,1.0,1.0,1.0,0.288669236558693,0.49987989430699015,3791.0,0
cross_industry_strength_percentile,252,industry,auxiliary,129,129,1.0,1.0,1.0,1.0,0.2884793364763528,0.4998802108289411,3524.0,0
cross_industry_strength_ratio,60,industry,auxiliary,138,138,1.0,1.0,1.0,1.0,0.22911946354290885,0.29553553183328046,3650.5,41405
cross_industry_strength_ratio,120,industry,auxiliary,135,135,1.0,1.0,1.0,1.0,0.27991201525791193,0.4227130785123967,3531.0,33164
cross_industry_strength_ratio,252,industry,auxiliary,129,129,1.0,1.0,1.0,1.0,0.31857485476853276,0.5556095999743771,3292.0,22358
delta_cross_industry_degree_percentile_1m,60,dynamic_industry,core,138,137,1.0,1.0,1.0,1.0,0.2250611080775823,0.2481866537717602,1974.0,0
delta_cross_industry_degree_percentile_1m,120,dynamic_industry,core,135,134,1.0,1.0,1.0,1.0,0.14663806887918807,0.13776837056376323,1682.5,0
delta_cross_industry_degree_percentile_1m,252,dynamic_industry,core,129,128,1.0,1.0,1.0,1.0,0.09312308993274468,0.07346993927149645,1324.5,0
delta_cross_industry_degree_ratio_1m,60,dynamic_industry,auxiliary,138,137,0.9680445981174045,0.9921003717472119,0.6507999209954572,1.0,0.16017900278824215,0.12314878372679387,2526.0,0
delta_cross_industry_degree_ratio_1m,120,dynamic_industry,auxiliary,135,134,0.939076171325926,0.9639828738512949,0.6830732292917167,1.0,0.15056022336750696,0.0905818849386257,2500.0,0
delta_cross_industry_degree_ratio_1m,252,dynamic_industry,auxiliary,129,128,0.8893052019702977,0.9071772379112372,0.571810287241149,1.0,0.13420789696095503,0.05374246163014365,2218.5,0
delta_degree_percentile,60,market_residualization,core,138,138,1.0,1.0,1.0,1.0,0.2902403275706015,0.33375612646341324,1997.0,0
delta_degree_percentile,120,market_residualization,core,135,135,1.0,1.0,1.0,1.0,0.2887143387362012,0.34211045503616333,1991.0,0
delta_degree_percentile,252,market_residualization,core,129,129,1.0,1.0,1.0,1.0,0.287565001322859,0.3270106166601181,2025.0,0
delta_residual_degree_percentile_1m,60,dynamic,core,138,137,1.0,1.0,1.0,1.0,0.20721170536027092,0.22367452457547188,2370.0,0
delta_residual_degree_percentile_1m,120,dynamic,core,135,134,1.0,1.0,1.0,1.0,0.12972707179108883,0.11793406773358583,2172.0,0
delta_residual_degree_percentile_1m,252,dynamic,core,129,128,1.0,1.0,1.0,1.0,0.07477897365546538,0.06253694742918015,1846.5,0
delta_residual_strength_percentile_1m,60,dynamic,auxiliary,138,137,1.0,1.0,1.0,1.0,0.20603266544933851,0.21732842177152634,3919.0,0
delta_residual_strength_percentile_1m,120,dynamic,auxiliary,135,134,1.0,1.0,1.0,1.0,0.12756010824230518,0.1145937629044056,3759.0,0
delta_residual_strength_percentile_1m,252,dynamic,auxiliary,129,128,1.0,1.0,1.0,1.0,0.07115947017161482,0.05861460231244564,3690.5,0
delta_same_industry_degree_percentile_1m,60,dynamic_industry,auxiliary,138,137,1.0,1.0,1.0,1.0,0.18629957843259357,0.16983979094165258,1034.0,0
delta_same_industry_degree_percentile_1m,120,dynamic_industry,auxiliary,135,134,1.0,1.0,1.0,1.0,0.1228345529979365,0.07008591294893741,992.5,0
delta_same_industry_degree_percentile_1m,252,dynamic_industry,auxiliary,129,128,1.0,1.0,1.0,1.0,0.07531175718186094,0.024943984208157494,930.0,0
delta_strength_percentile,60,market_residualization,auxiliary,138,138,1.0,1.0,1.0,1.0,0.28853146952016095,0.3342660814523697,3421.0,0
