factor_name,family,tier,priority,in_frozen_factor_dictionary,min_window_mean_nonmissing,min_window_min_nonmissing,min_varying_job_share,max_range_violation_count,median_monthly_std,median_monthly_iqr,median_temporal_spearman,redundant_with,screening_status,screening_reason,economic_meaning
residual_degree_percentile,centrality,core,10,True,1.0,1.0,1.0,0,0.2886136377417171,0.5004167556762695,0.8989885921800564,,KEEP_CORE,,Residual-network degree cross-sectional percentile.
residual_strength_percentile,centrality,auxiliary,20,True,1.0,1.0,1.0,0,0.28867336476579974,0.49987587332725525,0.9019095354012138,residual_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: residual_degree_percentile,Residual-network weighted strength percentile.
delta_degree_percentile,market_residualization,core,30,True,1.0,1.0,1.0,0,0.2887143387362012,0.33375612646341324,0.8241474944760121,,KEEP_CORE,,Residual minus Raw degree percentile.
delta_strength_percentile,market_residualization,auxiliary,40,True,1.0,1.0,1.0,0,0.28718196155578696,0.3342660814523697,0.8299445149753195,delta_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: delta_degree_percentile,Residual minus Raw strength percentile.
same_industry_degree_percentile,industry,auxiliary,50,False,1.0,1.0,1.0,0,0.28679535585516575,0.504043392504931,0.908022505890919,,KEEP_AUXILIARY,,Same-industry degree percentile.
same_industry_strength_percentile,industry,auxiliary,60,False,1.0,1.0,1.0,0,0.2872717772829009,0.4999009606027026,0.9160028236868718,same_industry_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: same_industry_degree_percentile,Same-industry strength percentile.
cross_industry_degree_percentile,industry,core,70,False,1.0,1.0,1.0,0,0.2885050750342451,0.4983164983164983,0.8708019649656913,,KEEP_CORE,,Cross-industry degree percentile.
cross_industry_strength_percentile,industry,auxiliary,80,False,1.0,1.0,1.0,0,0.288669236558693,0.49987989430699015,0.8757633556138225,cross_industry_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: cross_industry_degree_percentile,Cross-industry strength percentile.
cross_industry_degree_ratio,industry,core,90,True,1.0,1.0,1.0,0,0.2745266495713111,0.39779874213836475,0.8251040828808911,,KEEP_CORE,,Fraction of residual degree going across industries.
cross_industry_strength_ratio,industry,auxiliary,100,True,1.0,1.0,1.0,41405,0.27991201525791193,0.4227130785123967,0.8317095050839968,cross_industry_degree_ratio,REVIEW_QA,range violation detected,Fraction of residual strength going across industries.
delta_residual_degree_percentile_1m,dynamic,core,110,True,1.0,1.0,1.0,0,0.12972707179108883,0.11793406773358583,-0.01119957610163158,,KEEP_CORE,,Adjacent-period change in residual degree percentile.
delta_residual_strength_percentile_1m,dynamic,auxiliary,120,True,1.0,1.0,1.0,0,0.12756010824230518,0.1145937629044056,0.0027043204755636836,delta_residual_degree_percentile_1m,REVIEW_REDUNDANCY,highly correlated with: delta_residual_degree_percentile_1m,Adjacent-period change in residual strength percentile.
delta_same_industry_degree_percentile_1m,dynamic_industry,auxiliary,130,False,1.0,1.0,1.0,0,0.1228345529979365,0.07008591294893741,-0.07101579492173433,,KEEP_AUXILIARY,,Change in same-industry degree percentile.
delta_cross_industry_degree_percentile_1m,dynamic_industry,core,140,False,1.0,1.0,1.0,0,0.14663806887918807,0.13776837056376323,-0.06266544786714909,,KEEP_CORE,,Change in cross-industry degree percentile.
delta_cross_industry_degree_ratio_1m,dynamic_industry,auxiliary,150,False,0.8893052019702977,0.571810287241149,1.0,0,0.15056022336750696,0.0905818849386257,-0.137031267539181,,KEEP_AUXILIARY,,Change in cross-industry degree share.
neighbor_jaccard_1m,dynamic_neighbor,core,160,True,1.0,1.0,1.0,0,0.22950817555013514,0.33027389277389285,0.4554559990127281,,KEEP_CORE,,Common-node-conditioned adjacent-period neighbor Jaccard.
neighbor_retention_1m,dynamic_neighbor,core,170,True,1.0,1.0,1.0,0,0.25451757233031647,0.4024778719441283,0.24959153580129614,,KEEP_CORE,,Fraction of previous neighbors retained.
new_neighbor_count_1m,dynamic_neighbor,auxiliary,180,False,1.0,1.0,1.0,0,15.517678397294834,13.0,0.5976520495393427,,KEEP_AUXILIARY,,Number of newly formed common-node-conditioned links.
lost_neighbor_count_1m,dynamic_neighbor,auxiliary,190,False,1.0,1.0,1.0,0,16.07855184664282,13.0,0.5916774470361087,,KEEP_AUXILIARY,,Number of lost common-node-conditioned links.
within_community_degree_percentile,community,auxiliary,200,False,1.0,1.0,1.0,0,0.28851710367043387,0.5029823118058412,0.8846011363536339,residual_strength_percentile|residual_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: residual_strength_percentile|residual_degree_percentile,Within-community degree percentile.
within_community_strength_percentile,community,auxiliary,210,False,1.0,1.0,1.0,0,0.28867336491050033,0.499875868917577,0.8885047112689692,within_community_degree_percentile|residual_strength_percentile|residual_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: within_community_degree_percentile|residual_strength_percentile|residual_degree_percentile,Within-community strength percentile.
outside_community_degree_percentile,community,core,220,False,1.0,1.0,1.0,0,0.28743613989650635,0.49840950099552017,0.7074971219233603,,KEEP_CORE,,Outside-community degree percentile.
outside_community_strength_percentile,community,auxiliary,230,False,1.0,1.0,1.0,0,0.28830911951219246,0.49987669543773117,0.7143057461427607,outside_community_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: outside_community_degree_percentile,Outside-community strength percentile.
outside_community_degree_ratio,community,auxiliary,240,False,1.0,1.0,1.0,0,0.20196959635095726,0.33018867924528306,0.5219003160291033,,KEEP_AUXILIARY,,Share of residual degree outside own community.
participation_coefficient_percentile,community_bridge,core,250,False,1.0,1.0,1.0,0,0.28837178633103266,0.49995011971268954,0.5476562948082844,outside_community_degree_ratio,REVIEW_REDUNDANCY,highly correlated with: outside_community_degree_ratio,Cross-sectional percentile of participation coefficient.
weighted_participation_coefficient_percentile,community_bridge,auxiliary,260,False,1.0,1.0,1.0,0,0.28837670238399543,0.4998783267183572,0.5533691164123363,participation_coefficient_percentile|outside_community_degree_ratio,REVIEW_REDUNDANCY,highly correlated with: participation_coefficient_percentile|outside_community_degree_ratio,Weighted participation coefficient percentile.
external_community_count,community_bridge,auxiliary,270,False,1.0,1.0,1.0,0,1.4223710721504783,2.0,0.5731523530772624,,KEEP_AUXILIARY,,Number of distinct external communities reached.
community_diversity_count,community_bridge,auxiliary,280,False,1.0,1.0,1.0,0,1.4554629409015296,2.0,0.5802929232527001,external_community_count,REVIEW_REDUNDANCY,highly correlated with: external_community_count,Number of distinct neighbor communities.
neighbor_turnover_1m,dynamic_neighbor,auxiliary,999,False,1.0,1.0,1.0,0,0.22950817555013514,0.33027389277389274,0.4554559990127281,neighbor_jaccard_1m,DROP_ALGEBRAIC_REDUNDANCY,neighbor_turnover_1m = 1 - neighbor_jaccard_1m,1 minus neighbor Jaccard; algebraically redundant.
