factor_name,window,transition_count,mean_temporal_spearman,median_temporal_spearman,p10_temporal_spearman,p90_temporal_spearman,mean_common_obs
community_diversity_count,60,137,0.36755595549288084,0.35699547306474083,0.22463073560985894,0.5085317039137411,3859.3795620437954
community_diversity_count,120,134,0.5819048799977142,0.5802929232527001,0.4453070069858013,0.7133373941652059,3848.8880597014927
community_diversity_count,252,128,0.7598542538569382,0.7598479896802028,0.6772209061191728,0.8426307099234179,3759.6328125
cross_industry_degree_percentile,60,137,0.6793915559707657,0.6969066120729815,0.5383684238690575,0.7831139309730232,3859.3795620437954
cross_industry_degree_percentile,120,134,0.8581550183041551,0.8708019649656913,0.7741883468403415,0.9189922898726587,3848.8880597014927
cross_industry_degree_percentile,252,128,0.9373784666546662,0.9476117185797905,0.9008489947415863,0.9623682781464049,3759.6328125
cross_industry_degree_ratio,60,137,0.6993503038803544,0.7116190340605767,0.5908229136898439,0.7878229543999697,3730.8540145985403
cross_industry_degree_ratio,120,134,0.8158484040607225,0.8251040828808911,0.7324417780642752,0.8773465450460167,3625.313432835821
cross_industry_degree_ratio,252,128,0.8925962458727436,0.9037156118398186,0.8327052862893118,0.9316081343427375,3375.7421875
cross_industry_strength_percentile,60,137,0.6830229206280117,0.701125804128697,0.5430952317337945,0.7860511942772811,3859.3795620437954
cross_industry_strength_percentile,120,134,0.8626071596362017,0.8757633556138225,0.7807169042024249,0.92078725455166,3848.8880597014927
cross_industry_strength_percentile,252,128,0.9413923865382856,0.9506609705103912,0.9058370661402009,0.9656801171158207,3759.6328125
cross_industry_strength_ratio,60,137,0.7011090899238435,0.7165786690336929,0.5910871797160729,0.7898056178118261,3730.8540145985403
cross_industry_strength_ratio,120,134,0.8170176293848964,0.8317095050839968,0.7302135527947241,0.8820455255907049,3625.313432835821
cross_industry_strength_ratio,252,128,0.8929507533366865,0.9063734585406522,0.8332266891412299,0.9331245617163932,3375.7421875
delta_cross_industry_degree_percentile_1m,60,136,-0.1384437611260696,-0.14341688753002155,-0.2354778213164812,-0.04311505424681099,3817.8382352941176
delta_cross_industry_degree_percentile_1m,120,133,-0.062219839045645056,-0.06266544786714909,-0.15019011871611526,0.018406668314013802,3823.4887218045114
delta_cross_industry_degree_percentile_1m,252,127,-0.03782062135606324,-0.04151306929310782,-0.11397892003171442,0.04147871494743578,3739.4409448818897
delta_cross_industry_degree_ratio_1m,60,136,-0.1882480393351426,-0.1796959938485969,-0.26560888883445366,-0.12033505051585677,3649.4632352941176
delta_cross_industry_degree_ratio_1m,120,133,-0.13678299194491356,-0.137031267539181,-0.1991521821889665,-0.07964379867518523,3550.406015037594
delta_cross_industry_degree_ratio_1m,252,127,-0.10189834277933164,-0.10859977832300975,-0.15411416811437945,-0.047669814434268806,3299.9291338582675
delta_degree_percentile,60,137,0.6312351845789804,0.6371693777866089,0.47037309014051776,0.7682662677681149,3859.3795620437954
delta_degree_percentile,120,134,0.8113149765914177,0.8241474944760121,0.7057402606444028,0.9004057249170669,3848.8880597014927
delta_degree_percentile,252,128,0.9091535681862567,0.918948735772243,0.8576312175774443,0.9512460180948605,3759.6328125
delta_residual_degree_percentile_1m,60,136,-0.10486380932857316,-0.10710903383270172,-0.21195747746667082,0.002771455706189895,3817.8382352941176
delta_residual_degree_percentile_1m,120,133,-0.02303722665870692,-0.01119957610163158,-0.1280607215057114,0.06516964905187471,3823.4887218045114
delta_residual_degree_percentile_1m,252,127,0.012526756491153038,0.012150094927521945,-0.09121116134959406,0.09584391505017074,3739.4409448818897
delta_residual_strength_percentile_1m,60,136,-0.09882520538191286,-0.10255126753982471,-0.2057712631874053,0.007913036568320632,3817.8382352941176
delta_residual_strength_percentile_1m,120,133,-0.00694006649808395,0.0027043204755636836,-0.11436025390302469,0.07793069616484147,3823.4887218045114
delta_residual_strength_percentile_1m,252,127,0.04310970723026561,0.039810133665379326,-0.06086520265203421,0.12915287190411398,3739.4409448818897
delta_same_industry_degree_percentile_1m,60,136,-0.13613017226012797,-0.13789957043926204,-0.23092539962113656,-0.026482648327535108,3817.8382352941176
delta_same_industry_degree_percentile_1m,120,133,-0.07483373026639563,-0.07101579492173433,-0.16038405865881675,0.010053258173193297,3823.4887218045114
delta_same_industry_degree_percentile_1m,252,127,-0.02217832511980627,-0.022899510093641735,-0.11371554384769822,0.06977015377020578,3739.4409448818897
delta_strength_percentile,60,137,0.6368463894959635,0.643318612983868,0.4787117896180995,0.7725878527926696,3859.3795620437954
delta_strength_percentile,120,134,0.8180617929267934,0.8299445149753195,0.7115360146866629,0.9059935436260337,3848.8880597014927
delta_strength_percentile,252,128,0.9148098326210452,0.9232041502144014,0.8635043325845024,0.9551094652747127,3759.6328125
external_community_count,60,137,0.36368888079692885,0.35574503488170084,0.2245701902152308,0.4996175226272106,3859.3795620437954
external_community_count,120,134,0.5730965425426049,0.5731523530772624,0.4452639674166731,0.6998826611023506,3848.8880597014927
external_community_count,252,128,0.7426706357728283,0.7389188968850631,0.6645629063887254,0.8151200851634077,3759.6328125
lost_neighbor_count_1m,60,136,0.45166034995366605,0.4546168197871633,0.31263856159817915,0.5915981767751846,3817.8382352941176
lost_neighbor_count_1m,120,133,0.5719809991022015,0.5916774470361087,0.435580561444449,0.6860615855383099,3823.4887218045114
lost_neighbor_count_1m,252,127,0.617957074865051,0.6311996167326784,0.5135870021245793,0.699388625168989,3739.4409448818897
neighbor_jaccard_1m,60,136,0.3096184486010181,0.3096092280103385,0.18205015613151748,0.4578939295870454,3771.485294117647
neighbor_jaccard_1m,120,133,0.4555410878526452,0.4554559990127281,0.3713517098450236,0.5386228704062366,3706.5413533834585
neighbor_jaccard_1m,252,127,0.45462178469617015,0.46620879710215957,0.3844986049858825,0.5167980172864153,3469.165354330709
neighbor_retention_1m,60,136,0.2277781517232614,0.22432830366447482,0.08965828521105612,0.3623852720498113,3696.25
neighbor_retention_1m,120,133,0.29698162518378196,0.30156129283743677,0.18455494342993248,0.4032967593323925,3606.6616541353383
neighbor_retention_1m,252,127,0.23940508254226286,0.24959153580129614,0.14711656548773938,0.3121297806175087,3361.228346456693
