freeze_class,freeze_status,factor_name,family,tier,priority,in_frozen_factor_dictionary,min_window_mean_nonmissing,min_window_min_nonmissing,min_varying_job_share,max_range_violation_count,median_monthly_std,median_monthly_iqr,median_temporal_spearman,redundant_with,screening_status,screening_reason,economic_meaning,allowed_for_day6_primary_validation,allowed_for_day6_robustness,selection_used_future_outcome
CORE,FROZEN,residual_degree_percentile,centrality,core,10,True,1.0,1.0,1.0,0,0.2886136377417171,0.5004167556762695,0.8989885921800564,,KEEP_CORE,,Residual-network degree cross-sectional percentile.,True,True,False
EXCLUDED,FROZEN,residual_strength_percentile,centrality,auxiliary,20,True,1.0,1.0,1.0,0,0.2886733647657997,0.4998758733272552,0.9019095354012138,residual_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: residual_degree_percentile,Residual-network weighted strength percentile.,False,False,False
CORE,FROZEN,delta_degree_percentile,market_residualization,core,30,True,1.0,1.0,1.0,0,0.2887143387362012,0.3337561264634132,0.8241474944760121,,KEEP_CORE,,Residual minus Raw degree percentile.,True,True,False
EXCLUDED,FROZEN,delta_strength_percentile,market_residualization,auxiliary,40,True,1.0,1.0,1.0,0,0.2871819615557869,0.3342660814523697,0.8299445149753195,delta_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: delta_degree_percentile,Residual minus Raw strength percentile.,False,False,False
AUXILIARY,FROZEN,same_industry_degree_percentile,industry,auxiliary,50,False,1.0,1.0,1.0,0,0.2867953558551657,0.504043392504931,0.908022505890919,,KEEP_AUXILIARY,,Same-industry degree percentile.,False,True,False
EXCLUDED,FROZEN,same_industry_strength_percentile,industry,auxiliary,60,False,1.0,1.0,1.0,0,0.2872717772829009,0.4999009606027026,0.9160028236868718,same_industry_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: same_industry_degree_percentile,Same-industry strength percentile.,False,False,False
CORE,FROZEN,cross_industry_degree_percentile,industry,core,70,False,1.0,1.0,1.0,0,0.2885050750342451,0.4983164983164983,0.8708019649656913,,KEEP_CORE,,Cross-industry degree percentile.,True,True,False
EXCLUDED,FROZEN,cross_industry_strength_percentile,industry,auxiliary,80,False,1.0,1.0,1.0,0,0.288669236558693,0.4998798943069901,0.8757633556138225,cross_industry_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: cross_industry_degree_percentile,Cross-industry strength percentile.,False,False,False
CORE,FROZEN,cross_industry_degree_ratio,industry,core,90,True,1.0,1.0,1.0,0,0.2745266495713111,0.3977987421383647,0.8251040828808911,,KEEP_CORE,,Fraction of residual degree going across industries.,True,True,False
EXCLUDED,FROZEN,cross_industry_strength_ratio,industry,auxiliary,100,True,1.0,1.0,1.0,41405,0.2799120152579119,0.4227130785123967,0.8317095050839968,cross_industry_degree_ratio,REVIEW_QA,range violation detected,Fraction of residual strength going across industries.,False,False,False
