freeze_class,freeze_status,factor_name,family,tier,priority,in_frozen_factor_dictionary,min_window_mean_nonmissing,min_window_min_nonmissing,min_varying_job_share,max_range_violation_count,median_monthly_std,median_monthly_iqr,median_temporal_spearman,redundant_with,screening_status,screening_reason,economic_meaning,allowed_for_day6_primary_validation,allowed_for_day6_robustness,selection_used_future_outcome
EXCLUDED,FROZEN,residual_strength_percentile,centrality,auxiliary,20,True,1.0,1.0,1.0,0,0.2886733647657997,0.4998758733272552,0.9019095354012138,residual_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: residual_degree_percentile,Residual-network weighted strength percentile.,False,False,False
EXCLUDED,FROZEN,delta_strength_percentile,market_residualization,auxiliary,40,True,1.0,1.0,1.0,0,0.2871819615557869,0.3342660814523697,0.8299445149753195,delta_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: delta_degree_percentile,Residual minus Raw strength percentile.,False,False,False
EXCLUDED,FROZEN,same_industry_strength_percentile,industry,auxiliary,60,False,1.0,1.0,1.0,0,0.2872717772829009,0.4999009606027026,0.9160028236868718,same_industry_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: same_industry_degree_percentile,Same-industry strength percentile.,False,False,False
EXCLUDED,FROZEN,cross_industry_strength_percentile,industry,auxiliary,80,False,1.0,1.0,1.0,0,0.288669236558693,0.4998798943069901,0.8757633556138225,cross_industry_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: cross_industry_degree_percentile,Cross-industry strength percentile.,False,False,False
EXCLUDED,FROZEN,cross_industry_strength_ratio,industry,auxiliary,100,True,1.0,1.0,1.0,41405,0.2799120152579119,0.4227130785123967,0.8317095050839968,cross_industry_degree_ratio,REVIEW_QA,range violation detected,Fraction of residual strength going across industries.,False,False,False
EXCLUDED,FROZEN,delta_residual_strength_percentile_1m,dynamic,auxiliary,120,True,1.0,1.0,1.0,0,0.1275601082423051,0.1145937629044056,0.0027043204755636,delta_residual_degree_percentile_1m,REVIEW_REDUNDANCY,highly correlated with: delta_residual_degree_percentile_1m,Adjacent-period change in residual strength percentile.,False,False,False
EXCLUDED,FROZEN,within_community_degree_percentile,community,auxiliary,200,False,1.0,1.0,1.0,0,0.2885171036704338,0.5029823118058412,0.8846011363536339,residual_strength_percentile|residual_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: residual_strength_percentile|residual_degree_percentile,Within-community degree percentile.,False,False,False
EXCLUDED,FROZEN,within_community_strength_percentile,community,auxiliary,210,False,1.0,1.0,1.0,0,0.2886733649105003,0.499875868917577,0.8885047112689692,within_community_degree_percentile|residual_strength_percentile|residual_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: within_community_degree_percentile|residual_strength_percentile|residual_degree_percentile,Within-community strength percentile.,False,False,False
EXCLUDED,FROZEN,outside_community_strength_percentile,community,auxiliary,230,False,1.0,1.0,1.0,0,0.2883091195121924,0.4998766954377311,0.7143057461427607,outside_community_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: outside_community_degree_percentile,Outside-community strength percentile.,False,False,False
EXCLUDED,FROZEN,participation_coefficient_percentile,community_bridge,core,250,False,1.0,1.0,1.0,0,0.2883717863310326,0.4999501197126895,0.5476562948082844,outside_community_degree_ratio,REVIEW_REDUNDANCY,highly correlated with: outside_community_degree_ratio,Cross-sectional percentile of participation coefficient.,False,False,False
EXCLUDED,FROZEN,weighted_participation_coefficient_percentile,community_bridge,auxiliary,260,False,1.0,1.0,1.0,0,0.2883767023839954,0.4998783267183572,0.5533691164123363,participation_coefficient_percentile|outside_community_degree_ratio,REVIEW_REDUNDANCY,highly correlated with: participation_coefficient_percentile|outside_community_degree_ratio,Weighted participation coefficient percentile.,False,False,False
EXCLUDED,FROZEN,community_diversity_count,community_bridge,auxiliary,280,False,1.0,1.0,1.0,0,1.4554629409015296,2.0,0.5802929232527001,external_community_count,REVIEW_REDUNDANCY,highly correlated with: external_community_count,Number of distinct neighbor communities.,False,False,False
EXCLUDED,FROZEN,neighbor_turnover_1m,dynamic_neighbor,auxiliary,999,False,1.0,1.0,1.0,0,0.2295081755501351,0.3302738927738927,0.4554559990127281,neighbor_jaccard_1m,DROP_ALGEBRAIC_REDUNDANCY,neighbor_turnover_1m = 1 - neighbor_jaccard_1m,1 minus neighbor Jaccard; algebraically redundant.,False,False,False
