window,label_name,n,mean,std,p01,p05,median,p95,p99
60,future_total_return,522029,0.007361441820816215,0.14026017181514708,-0.29708102242585016,-0.17975032866731905,-0.005190311418685409,0.23620522749273953,0.4568414451232569
60,future_loo_market_return,522029,0.008820683734004289,0.07141277868779036,-0.1889148103453748,-0.09226707839958115,0.002994607446132939,0.10949087042899586,0.2306198095824861
60,future_excess_return,522029,-0.001459241913188074,0.12190036496769692,-0.24286360105807447,-0.15201151531512092,-0.015890006749144266,0.19441281179457245,0.4106992485580111
60,future_relative_return,522029,-0.0013252007148166222,0.1208063267594685,-0.240090749901858,-0.15099504492304594,-0.015778588792782267,0.19430012215896164,0.40666508279433444
60,future_realized_vol_annualized,522029,0.4350019589271016,0.21975733374882253,0.12086018291527653,0.17036288319496223,0.38848123747529917,0.8685847299762152,1.1435574672873912
60,future_downside_vol_annualized,522029,0.28759438182229924,0.15357292407608922,0.06760831237775956,0.10373336102160167,0.25414837099865895,0.5808267197834504,0.8065905881765638
60,future_max_drawdown,522029,0.11508585800287123,0.07328948082502576,0.01787885291892531,0.030494458622079137,0.0991544965411223,0.25421973302254286,0.37307398334149894
60,future_idio_vol_annualized,522029,0.35825100505857477,0.19915736601382963,0.10000235082972779,0.13332377808816084,0.3088358748873516,0.7500386040279073,1.0209919148064137
60,future_worst_daily_return,522029,-0.05193445965025133,0.029090457263907306,-0.1407417661845656,-0.10011778563015317,-0.04502046384720326,-0.017614252448763412,-0.011521268324135843
60,future_var_5pct_daily,522029,-0.037247830029908224,0.02085975393986732,-0.10005591279376068,-0.0818948944596194,-0.032359652800391644,-0.013086172539104718,-0.00852223047067296
120,future_total_return,507654,0.007627804752430693,0.13813351810373034,-0.2884761875077919,-0.17550032019996673,-0.00488997555012213,0.23281498216118884,0.4485113708067496
120,future_loo_market_return,507654,0.008551383512101746,0.06803675083155063,-0.18891145939962486,-0.09220712723208585,0.003014757933827744,0.10864280056645843,0.2306036559584632
120,future_excess_return,507654,-0.0009235787596710538,0.1210491484856367,-0.23693329207908467,-0.149332049220978,-0.015519290770139645,0.1930921159787218,0.40811848774262677
120,future_relative_return,507654,-0.0008171037983550403,0.12015467410874608,-0.23534524277479832,-0.14841005924679038,-0.015409726120674871,0.19314839661134947,0.40488097845020865
120,future_realized_vol_annualized,507654,0.42923156593357903,0.21512778493680113,0.12024557306254165,0.16945641091454078,0.3842164735673027,0.8511916976997661,1.1214108113558194
120,future_downside_vol_annualized,507654,0.28320185440566026,0.1489250906335059,0.06727583449119658,0.1030715331769084,0.2513829745138244,0.5657391420170793,0.7766014085756854
120,future_max_drawdown,507654,0.11327114983011584,0.07091843375938767,0.01775147928994092,0.030303030303030054,0.09815950920245387,0.24750198412698415,0.35420009213693093
120,future_idio_vol_annualized,507654,0.35558005186938085,0.19866529426080057,0.0997661317796172,0.13272505750507135,0.30578773476063165,0.7475432182485717,1.021328891700289
120,future_worst_daily_return,507654,-0.05134557936715808,0.02890616296326282,-0.14130725876378042,-0.10009403657008865,-0.04448563484708051,-0.017492711370262426,-0.011467889908257036
120,future_var_5pct_daily,507654,-0.03667942591341944,0.020341969108237982,-0.10000693709473175,-0.07859005594867555,-0.03199931675541233,-0.012999659124911052,-0.00847448842258946
252,future_total_return,472777,0.008715807740900264,0.1362017399495861,-0.2717911145090045,-0.16981132075471683,-0.004192872117400732,0.22985116463931196,0.4470838254410395
252,future_loo_market_return,472777,0.009069922205047744,0.06381693716969727,-0.18888495968886762,-0.08891431388002916,0.0036824347657523127,0.10858897174789525,0.2305733865574971
252,future_excess_return,472777,-0.00035411446414748015,0.12109477475100207,-0.23623258322891258,-0.14770860971701905,-0.015020776406242123,0.19285691522061427,0.4099486699836129
252,future_relative_return,472777,-0.00025948966461004474,0.12013470579471645,-0.23455659807968512,-0.14660436877129493,-0.014907291453008287,0.19298196787536584,0.40649535674970944
252,future_realized_vol_annualized,472777,0.4219214885429051,0.21098891288472366,0.11928778758582237,0.16766434448112463,0.37776299906927674,0.8307636785311024,1.1091003999505495
252,future_downside_vol_annualized,472777,0.2770018388763693,0.14326278921044075,0.06664985299663459,0.10187356278599492,0.24703365608249947,0.5473464216936499,0.7315060093033675
252,future_max_drawdown,472777,0.11102541495467673,0.0684576932042077,0.017599300970873793,0.029900026590298317,0.09677419354838712,0.24054589087096806,0.3330203098106708
252,future_idio_vol_annualized,472777,0.353264109172035,0.19921585202462316,0.09935867031334593,0.13189164021477334,0.30226570247841655,0.7481003326046538,1.023703123351705
252,future_worst_daily_return,472777,-0.05041989646162366,0.028677613237133123,-0.14254800754205868,-0.10005621135469359,-0.04358353510895874,-0.01729559748427678,-0.01134751773049636
252,future_var_5pct_daily,472777,-0.03587110125658777,0.01963370687934112,-0.0999116063379134,-0.07485734246732252,-0.03145687912027034,-0.012861062877494918,-0.008391621047353671
