security_id,EXPLICIT_SUSPENSION,OPEN_BUT_RETURN_MISSING,RETURN_OBSERVED,NO_RAW_RECORD,OTHER,expected_trade_days,diagnostic_raw_coverage,suspension_adjusted_coverage,missing_day_count,suspension_share_of_missing,analysis_date,next_analysis_date,window,future_return_coverage,future_valid_return_days
000007.XSHE,7,0,13,0,0,20,0.65,1.0,7,1.0,2015-04-30,2015-05-29,60,0.65,13
000021.XSHE,9,0,11,0,0,20,0.55,1.0,9,1.0,2015-04-30,2015-05-29,60,0.55,11
000022.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
000530.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
000536.XSHE,7,0,13,0,0,20,0.65,1.0,7,1.0,2015-04-30,2015-05-29,60,0.65,13
000540.XSHE,5,1,14,0,0,20,0.7,0.95,6,0.8333333333333334,2015-04-30,2015-05-29,60,0.7,14
000545.XSHE,10,0,10,0,0,20,0.5,1.0,10,1.0,2015-04-30,2015-05-29,60,0.5,10
000571.XSHE,6,1,13,0,0,20,0.65,0.95,7,0.8571428571428571,2015-04-30,2015-05-29,60,0.65,13
000608.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
000629.XSHE,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
000655.XSHE,6,0,14,0,0,20,0.7,1.0,6,1.0,2015-04-30,2015-05-29,60,0.7,14
000659.XSHE,18,1,1,0,0,20,0.05,0.95,19,0.9473684210526315,2015-04-30,2015-05-29,60,0.05,1
000665.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
000668.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
000669.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
000690.XSHE,13,0,7,0,0,20,0.35,1.0,13,1.0,2015-04-30,2015-05-29,60,0.35,7
000691.XSHE,14,0,6,0,0,20,0.3,1.0,14,1.0,2015-04-30,2015-05-29,60,0.3,6
000697.XSHE,10,0,10,0,0,20,0.5,1.0,10,1.0,2015-04-30,2015-05-29,60,0.5,10
000701.XSHE,9,0,11,0,0,20,0.55,1.0,9,1.0,2015-04-30,2015-05-29,60,0.55,11
000708.XSHE,13,0,7,0,0,20,0.35,1.0,13,1.0,2015-04-30,2015-05-29,60,0.35,7
000760.XSHE,12,1,7,0,0,20,0.35,0.95,13,0.9230769230769231,2015-04-30,2015-05-29,60,0.35,7
000783.XSHE,8,1,11,0,0,20,0.55,0.95,9,0.8888888888888888,2015-04-30,2015-05-29,60,0.55,11
000788.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
000795.XSHE,6,1,13,0,0,20,0.65,0.95,7,0.8571428571428571,2015-04-30,2015-05-29,60,0.65,13
000806.XSHE,11,1,8,0,0,20,0.4,0.95,12,0.9166666666666666,2015-04-30,2015-05-29,60,0.4,8
000813.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
000850.XSHE,17,0,3,0,0,20,0.15,1.0,17,1.0,2015-04-30,2015-05-29,60,0.15,3
000862.XSHE,7,0,13,0,0,20,0.65,1.0,7,1.0,2015-04-30,2015-05-29,60,0.65,13
000875.XSHE,17,0,3,0,0,20,0.15,1.0,17,1.0,2015-04-30,2015-05-29,60,0.15,3
000902.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
000913.XSHE,6,1,13,0,0,20,0.65,0.95,7,0.8571428571428571,2015-04-30,2015-05-29,60,0.65,13
000927.XSHE,4,2,14,0,0,20,0.7,0.9,6,0.6666666666666666,2015-04-30,2015-05-29,60,0.7,14
000932.XSHE,12,0,8,0,0,20,0.4,1.0,12,1.0,2015-04-30,2015-05-29,60,0.4,8
000959.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
000972.XSHE,8,1,11,0,0,20,0.55,0.95,9,0.8888888888888888,2015-04-30,2015-05-29,60,0.55,11
000979.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
000981.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
001872.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
002019.XSHE,6,1,13,0,0,20,0.65,0.95,7,0.8571428571428571,2015-04-30,2015-05-29,60,0.65,13
002027.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
002081.XSHE,14,0,6,0,0,20,0.3,1.0,14,1.0,2015-04-30,2015-05-29,60,0.3,6
002097.XSHE,7,0,13,0,0,20,0.65,1.0,7,1.0,2015-04-30,2015-05-29,60,0.65,13
002107.XSHE,12,1,7,0,0,20,0.35,0.95,13,0.9230769230769231,2015-04-30,2015-05-29,60,0.35,7
002109.XSHE,16,0,4,0,0,20,0.2,1.0,16,1.0,2015-04-30,2015-05-29,60,0.2,4
002116.XSHE,20,0,0,0,0,20,0.0,1.0,20,1.0,2015-04-30,2015-05-29,60,0.0,0
002121.XSHE,14,1,5,0,0,20,0.25,0.95,15,0.9333333333333333,2015-04-30,2015-05-29,60,0.25,5
002139.XSHE,16,0,4,0,0,20,0.2,1.0,16,1.0,2015-04-30,2015-05-29,60,0.2,4
002165.XSHE,8,0,12,0,0,20,0.6,1.0,8,1.0,2015-04-30,2015-05-29,60,0.6,12
002166.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
002170.XSHE,8,1,11,0,0,20,0.55,0.95,9,0.8888888888888888,2015-04-30,2015-05-29,60,0.55,11
002175.XSHE,10,0,10,0,0,20,0.5,1.0,10,1.0,2015-04-30,2015-05-29,60,0.5,10
002177.XSHE,5,0,15,0,0,20,0.75,1.0,5,1.0,2015-04-30,2015-05-29,60,0.75,15
