analysis_date,window,next_analysis_date,is_last_date,expected_rows,actual_rows,expected_trade_days,market_trade_day_count,market_date_coverage,min_market_stock_count,suspension_zero_stock_days,reopen_stock_days,reopen_return_recovered_stock_days,unresolved_open_missing_stock_days,unresolved_reopen_missing_stock_days,mean_return_coverage,return_label_valid_share,risk_label_valid_share,mean_suspended_days_per_stock,mean_unresolved_open_missing_days,row_count_ok,key_unique,security_unique,coverage_range_ok,last_date_policy_ok,forward_direction_ok,market_calendar_ok,market_count_ok,reopen_recovery_ok,return_label_complete,risk_label_complete,vol_nonnegative,drawdown_range_ok,total_return_range_ok,qa_pass,qa_errors
2015-04-30,60,2015-05-29,False,1993,1993,20,20,1.0,2689.0,2579,135,135,0,0,1.0,1.0,1.0,1.2940291018564978,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-05-29,60,2015-06-30,False,1914,1914,21,21,1.0,2733.0,3751,164,164,0,0,1.0,1.0,1.0,1.9597701149425288,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-06-30,60,2015-07-31,False,1802,1802,23,23,1.0,2777.0,6265,696,696,0,0,1.0,1.0,1.0,3.47669256381798,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-07-31,60,2015-08-31,False,1572,1572,21,21,1.0,2780.0,1533,66,66,0,0,1.0,1.0,1.0,0.9751908396946565,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-08-31,60,2015-09-30,False,1645,1645,20,20,1.0,2780.0,875,44,44,0,0,1.0,1.0,1.0,0.5319148936170213,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-09-30,60,2015-10-30,False,1769,1769,17,17,1.0,2780.0,1162,67,67,0,0,1.0,1.0,1.0,0.6568682871678915,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-10-30,60,2015-11-30,False,1962,1962,21,21,1.0,2780.0,1120,86,86,0,0,1.0,1.0,1.0,0.5708460754332314,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-11-30,60,2015-12-31,False,2037,2037,23,23,1.0,2781.0,1405,78,78,0,0,1.0,1.0,1.0,0.6897398134511536,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2015-12-31,60,2016-01-29,False,2119,2119,20,20,1.0,2809.0,1255,66,66,0,0,1.0,1.0,1.0,0.5922605002359603,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-01-29,60,2016-02-29,False,2199,2199,16,16,1.0,2810.0,1000,52,52,0,0,1.0,1.0,1.0,0.45475216007276037,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-02-29,60,2016-03-31,False,2241,2241,23,23,1.0,2817.0,1887,93,93,0,0,1.0,1.0,1.0,0.8420348058902276,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-03-31,60,2016-04-29,False,2290,2290,20,20,1.0,2833.0,2076,156,156,0,0,1.0,1.0,1.0,0.9065502183406113,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-04-29,60,2016-05-31,False,2246,2246,21,21,1.0,2844.0,1348,87,87,0,0,1.0,1.0,1.0,0.6001780943900267,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-05-31,60,2016-06-30,False,2265,2265,20,20,1.0,2856.0,1130,58,58,0,0,1.0,1.0,1.0,0.4988962472406181,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-06-30,60,2016-07-29,False,2284,2284,21,21,1.0,2869.0,1091,78,78,0,0,1.0,1.0,1.0,0.4776707530647986,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-07-29,60,2016-08-31,False,2332,2332,23,23,1.0,2882.0,949,62,62,0,0,1.0,1.0,1.0,0.40694682675814753,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-08-31,60,2016-09-30,False,2409,2409,20,20,1.0,2912.0,1341,98,98,0,0,1.0,1.0,1.0,0.5566625155666252,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-09-30,60,2016-10-31,False,2429,2429,16,16,1.0,2934.0,961,57,57,0,0,1.0,1.0,1.0,0.39563606422396047,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-10-31,60,2016-11-30,False,2451,2451,22,22,1.0,2956.0,1455,85,85,0,0,1.0,1.0,1.0,0.5936352509179926,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-11-30,60,2016-12-30,False,2460,2460,22,22,1.0,2990.0,1268,80,80,0,0,1.0,1.0,1.0,0.5154471544715448,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2016-12-30,60,2017-01-26,False,2499,2499,18,18,1.0,3035.0,863,61,61,0,0,1.0,1.0,1.0,0.3453381352541016,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-01-26,60,2017-02-28,False,2537,2537,18,18,1.0,3088.0,884,42,42,0,0,1.0,1.0,1.0,0.34844304296413087,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
2017-02-28,60,2017-03-31,False,2579,2579,23,23,1.0,3120.0,1114,83,83,0,0,1.0,1.0,1.0,0.4319503683598294,0.0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
