analysis_date,window,factor_order,factor_name,factor_orientation,target_name,target_role,factor_universe_n,label_valid_n,factor_nonmissing_n,pair_n,label_valid_share,factor_nonmissing_share,pair_share_of_factor_universe,pair_share_of_label_valid,factor_unique_n,target_unique_n,rank_ic,ic_status
2015-04-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1993,1993,1993,1993,1.0,1.0,1.0,1.0,108,1958,-0.27754749665289596,PASS
2015-05-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1914,1914,1914,1914,1.0,1.0,1.0,1.0,115,1862,0.13475351667507782,PASS
2015-06-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1802,1802,1802,1802,1.0,1.0,1.0,1.0,106,1763,-0.0031062658063164515,PASS
2015-07-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1572,1572,1572,1572,1.0,1.0,1.0,1.0,114,1553,-0.016578795008965346,PASS
2015-08-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1645,1645,1645,1645,1.0,1.0,1.0,1.0,121,1633,-0.03321992185818025,PASS
2015-09-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1769,1769,1769,1769,1.0,1.0,1.0,1.0,137,1754,-0.17682008671858948,PASS
2015-10-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1962,1962,1962,1962,1.0,1.0,1.0,1.0,155,1956,-0.11709982786072964,PASS
2015-11-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2037,2037,2037,2037,1.0,1.0,1.0,1.0,136,2019,-0.15259342975623857,PASS
2015-12-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2119,2119,2119,2119,1.0,1.0,1.0,1.0,152,2098,0.23101283307690826,PASS
2016-01-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2199,2199,2199,2199,1.0,1.0,1.0,1.0,156,2181,0.060070418039360717,PASS
2016-02-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2241,2241,2241,2241,1.0,1.0,1.0,1.0,170,2220,-0.18707996453109246,PASS
2016-03-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2290,2290,2290,2290,1.0,1.0,1.0,1.0,147,2264,-0.07058315596181207,PASS
2016-04-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2246,2246,2246,2246,1.0,1.0,1.0,1.0,152,2232,0.035227512605326514,PASS
2016-05-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2265,2265,2265,2265,1.0,1.0,1.0,1.0,104,2251,-0.12702733686736595,PASS
2016-06-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2284,2284,2284,2284,1.0,1.0,1.0,1.0,98,2275,0.11021353222003241,PASS
2016-07-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2332,2332,2332,2332,1.0,1.0,1.0,1.0,128,2326,-0.12536291169764313,PASS
2016-08-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2409,2409,2409,2409,1.0,1.0,1.0,1.0,99,2398,-0.17084072977644812,PASS
2016-09-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2429,2429,2429,2429,1.0,1.0,1.0,1.0,106,2409,0.037383450387372175,PASS
2016-10-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2451,2451,2451,2451,1.0,1.0,1.0,1.0,97,2439,0.09951669737920285,PASS
2016-11-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2460,2460,2460,2460,1.0,1.0,1.0,1.0,117,2449,-0.20735715131672022,PASS
2016-12-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2499,2499,2499,2499,1.0,1.0,1.0,1.0,112,2490,0.07053172382066054,PASS
2017-01-26,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2537,2537,2537,2537,1.0,1.0,1.0,1.0,126,2523,0.061117138833745845,PASS
2017-02-28,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2579,2579,2579,2579,1.0,1.0,1.0,1.0,131,2570,0.02300055064519537,PASS
2017-03-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2663,2663,2663,2663,1.0,1.0,1.0,1.0,118,2651,-0.009055399705505947,PASS
2017-04-28,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2696,2696,2696,2696,1.0,1.0,1.0,1.0,137,2664,-0.013290443417568248,PASS
2017-05-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2699,2699,2699,2699,1.0,1.0,1.0,1.0,153,2687,-0.0789548891994261,PASS
2017-06-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2750,2750,2750,2750,1.0,1.0,1.0,1.0,176,2738,-0.034329298026524416,PASS
2017-07-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2783,2783,2783,2783,1.0,1.0,1.0,1.0,148,2771,0.06592485655834701,PASS
2017-08-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2834,2834,2834,2834,1.0,1.0,1.0,1.0,170,2832,-0.08652231812674298,PASS
2017-09-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2897,2897,2897,2897,1.0,1.0,1.0,1.0,174,2882,-0.150084981903638,PASS
2017-10-31,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2941,2941,2941,2941,1.0,1.0,1.0,1.0,143,2924,-0.0331796905274226,PASS
2017-11-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2959,2959,2959,2959,1.0,1.0,1.0,1.0,129,2944,-0.030858763817560676,PASS
