factor_priority,factor_name,target_name,target_role,mean_ic_w60,mean_ic_w120,mean_ic_w252,median_ic_w60,median_ic_w120,median_ic_w252,ic_months_w60,ic_months_w120,ic_months_w252,all_windows_available,same_mean_ic_sign_all_windows,mean_ic_cross_window_range,factor_orientation,window_selected_from_outcome
10,residual_degree_percentile,future_excess_return,PRIMARY_ALPHA,0.001589046715305569,-0.0009701395968103561,0.0023324799223116,0.0001502782556936132,0.013741746735581843,0.01768551442826557,136,133,127,True,False,0.003302619519121956,ORIGINAL,False
30,delta_degree_percentile,future_excess_return,PRIMARY_ALPHA,-0.050774935346823605,-0.04611501590539222,-0.03893824295874862,-0.04831080004740829,-0.0415901421717275,-0.03456785051195494,136,133,127,True,True,0.011836692388074985,ORIGINAL,False
70,cross_industry_degree_percentile,future_excess_return,PRIMARY_ALPHA,0.0061896598163306265,0.002819980567671584,0.003833424221134586,0.005858508730281821,0.011364178695127632,0.009646586631096327,136,133,127,True,True,0.0033696792486590426,ORIGINAL,False
90,cross_industry_degree_ratio,future_excess_return,PRIMARY_ALPHA,0.009637533096226194,0.008566537115641338,0.0016210473300158736,0.010356975498498056,0.010967132925715235,1.6932501386339568e-05,136,133,127,True,True,0.008016485766210321,ORIGINAL,False
110,delta_residual_degree_percentile_1m,future_excess_return,PRIMARY_ALPHA,0.008511481167577977,0.006457960470612786,0.0017470135578395779,0.00505300830425896,0.010281800379974563,0.008661534322029327,135,132,126,True,True,0.006764467609738399,ORIGINAL,False
140,delta_cross_industry_degree_percentile_1m,future_excess_return,PRIMARY_ALPHA,0.010319540785240475,0.00880883224934801,0.002500401661542386,0.012320123094697584,0.012785039916142382,0.003583074717480778,135,132,126,True,True,0.00781913912369809,ORIGINAL,False
160,neighbor_jaccard_1m,future_excess_return,PRIMARY_ALPHA,0.0009102697031392186,0.005229172999009267,0.01490626047167526,0.0030459423555580767,0.00031202477913236154,0.019958051447473344,135,132,126,True,True,0.013995990768536042,ORIGINAL,False
170,neighbor_retention_1m,future_excess_return,PRIMARY_ALPHA,0.005112226131812953,0.008270288950840591,0.009201149692294677,0.0011370171807636895,0.0005684516538063057,0.013933118778152403,135,132,126,True,True,0.004088923560481724,ORIGINAL,False
220,outside_community_degree_percentile,future_excess_return,PRIMARY_ALPHA,0.012553241272110235,0.007086863271454523,0.012519981552235186,0.013701220608172691,0.007118556548732583,0.011914711649213717,136,133,127,True,True,0.0054663780006557125,ORIGINAL,False
10,residual_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,0.0015983272712993513,-0.0009589676408470577,0.002342508972666661,0.00016755602190517594,0.013751632620372161,0.01768144949530838,136,133,127,True,False,0.0033014766135137184,ORIGINAL,False
30,delta_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,-0.050779991108739125,-0.046124715497759594,-0.03895037421297558,-0.04831453735436157,-0.04158910467855452,-0.03457218340313869,136,133,127,True,True,0.011829616895763548,ORIGINAL,False
70,cross_industry_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,0.006199519017329352,0.002830999467732026,0.003840336475875186,0.0058649191075401865,0.011404012802207398,0.009756636783559407,136,133,127,True,True,0.003368519549597326,ORIGINAL,False
90,cross_industry_degree_ratio,future_total_return,ROBUSTNESS_TOTAL_RETURN,0.009637552056270175,0.008567456384096244,0.0016167960895999377,0.010346026046730182,0.010942982520623794,1.8233485673996276e-05,136,133,127,True,True,0.008020755966670238,ORIGINAL,False
110,delta_residual_degree_percentile_1m,future_total_return,ROBUSTNESS_TOTAL_RETURN,0.008510963629491311,0.006461995859884953,0.0017455039137534202,0.005064369670220877,0.010325757948406143,0.00862443373944205,135,132,126,True,True,0.006765459715737891,ORIGINAL,False
140,delta_cross_industry_degree_percentile_1m,future_total_return,ROBUSTNESS_TOTAL_RETURN,0.010319952776799157,0.008813780060504208,0.002497879565554026,0.012333118547009515,0.012786799722164009,0.003595441899528865,135,132,126,True,True,0.007822073211245131,ORIGINAL,False
160,neighbor_jaccard_1m,future_total_return,ROBUSTNESS_TOTAL_RETURN,0.0009148221965164269,0.005234162257281688,0.014916132053128882,0.003053217429970021,0.0003088205950857782,0.019965653274992307,135,132,126,True,True,0.014001309856612455,ORIGINAL,False
170,neighbor_retention_1m,future_total_return,ROBUSTNESS_TOTAL_RETURN,0.0051154825828891495,0.008275627735395662,0.009210760887572188,0.0011431957745386483,0.0005627019986810623,0.013936377674070992,135,132,126,True,True,0.004095278304683038,ORIGINAL,False
220,outside_community_degree_percentile,future_total_return,ROBUSTNESS_TOTAL_RETURN,0.012566588258468656,0.007101420536609986,0.012533061727950946,0.013716780593606552,0.0071326914140662934,0.011946816129479041,136,133,127,True,True,0.00546516772185867,ORIGINAL,False
