factor_priority,factor_name,factor_orientation,target_name,target_role,window,ic_month_count,first_ic_date,last_ic_date,mean_rank_ic,median_rank_ic,std_rank_ic,icir_monthly,icir_annualized,positive_ic_share,negative_ic_share,zero_ic_share,p05_rank_ic,p25_rank_ic,p75_rank_ic,p95_rank_ic,lag1_ic_autocorrelation,mean_pair_n,min_pair_n,mean_pair_share_of_label_valid,naive_mean_ic_se,naive_mean_ic_t_stat,hac_lag,hac_mean_ic_se,hac_mean_ic_t_stat,outcome_based_sign_flip,outcome_based_window_selection
10,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,136,2015-04-30,2026-07-31,0.001589046715305569,0.0001502782556936132,0.10278122975571283,0.015460475799738579,0.05355665918867258,0.5,0.5,0.0,-0.15095782463234864,-0.0681421019697934,0.07239945132382901,0.1339539839607204,-0.06217751842715018,3885.051470588235,1572,1.0,0.00881341774115594,0.18029858131939117,4,0.007857825356032706,0.20222474327271814,False,False
10,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,120,133,2015-07-31,2026-07-31,-0.0009701395968103561,0.013741746735581843,0.10682822037899561,-0.009081304484606985,-0.03145856153268479,0.5338345864661654,0.46616541353383456,0.0,-0.16151847338227837,-0.08290203860238851,0.06986242601590975,0.15402177519357182,-0.0608994507606376,3855.872180451128,1506,1.0,0.009263181491714685,-0.10473071240999467,4,0.00763750514819246,-0.12702310217623294,False,False
10,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,127,2016-01-29,2026-07-31,0.0023324799223116,0.01768551442826557,0.10867171612315937,0.021463541807586473,0.07435188984223702,0.5590551181102362,0.4409448818897638,0.0,-0.17235257799446407,-0.07269378392082318,0.06624014880933349,0.15812177254173954,-0.09437538746749875,3758.251968503937,1487,1.0,0.009643055469130551,0.2418818319337018,4,0.0079783256248403,0.292352058814131,False,False
30,delta_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,136,2015-04-30,2026-07-31,-0.050774935346823605,-0.04831080004740829,0.09558833680809757,-0.5311833749002138,-1.840073186926154,0.3088235294117647,0.6911764705882353,0.0,-0.2049782961009355,-0.12534217206641984,0.02150367390865672,0.10010849838518253,-0.0437249323767634,3885.051470588235,1572,1.0,0.008196632259357167,-6.194609412769447,4,0.007863647394631355,-6.456919136721277,False,False
30,delta_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,120,133,2015-07-31,2026-07-31,-0.04611501590539222,-0.0415901421717275,0.1076973491127191,-0.4281908170007689,-1.483296500759518,0.3157894736842105,0.6842105263157895,0.0,-0.22119258199452543,-0.12185247337441443,0.02237750936201004,0.1440873299492952,-0.03577170515826585,3855.872180451128,1506,1.0,0.009338544510695835,-4.938137399524596,4,0.009005386472659797,-5.1208258574350625,False,False
30,delta_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,127,2016-01-29,2026-07-31,-0.03893824295874862,-0.03456785051195494,0.11775012312094722,-0.3306853693796408,-1.1455277221704387,0.3858267716535433,0.6141732283464567,0.0,-0.2392274246344756,-0.12226446772502977,0.044460695007526745,0.13553692771444956,-0.05276163252960514,3758.251968503937,1487,1.0,0.010448633823592136,-3.7266348516137433,4,0.009948768398785952,-3.913875707821307,False,False
70,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,136,2015-04-30,2026-07-31,0.0061896598163306265,0.005858508730281821,0.10125315038922547,0.06113054055638825,0.21176240427562854,0.5147058823529411,0.4852941176470588,0.0,-0.14810150957830584,-0.058197265414006646,0.0790522331589601,0.16091807527174376,0.01726824751460718,3885.051470588235,1572,1.0,0.008682386016486918,0.7128984825803791,4,0.008331520306886183,0.7429208101689121,False,False
70,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,120,133,2015-07-31,2026-07-31,0.002819980567671584,0.011364178695127632,0.10232680482201079,0.027558571506036102,0.09546569206494895,0.5413533834586466,0.45864661654135336,0.0,-0.1550977168434443,-0.07265153025740613,0.07195775840364206,0.15714656676756195,0.011824432738789595,3855.872180451128,1506,1.0,0.008872859261071434,0.3178209509130724,4,0.007852527652322054,0.35911755966089387,False,False
70,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,127,2016-01-29,2026-07-31,0.003833424221134586,0.009646586631096327,0.10091046568298867,0.03798837112869274,0.13159557778335695,0.5433070866141733,0.4566929133858268,0.0,-0.13980061305109964,-0.06884143829665909,0.08148485504168856,0.16625852768265806,-0.029878591682649162,3758.251968503937,1487,1.0,0.008954355859201136,0.4281072007201404,4,0.007774370299974264,0.4930848510196737,False,False
90,cross_industry_degree_ratio,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,136,2015-04-30,2026-07-31,0.009637533096226194,0.010356975498498056,0.07282588216372854,0.13233664749242458,0.4584275943204236,0.5441176470588235,0.45588235294117646,0.0,-0.10274473440401856,-0.041879172552911376,0.05841718226363979,0.11814866510064786,0.02951388772697284,3813.176470588235,1374,0.9820679583702516,0.006244767876417257,1.5432972509068552,4,0.005780188554329807,1.6673388775539058,False,False
