analysis_date,window,factor_order,factor_name,factor_orientation,target_name,target_role,portfolio,portfolio_weighting,sort_portfolio_n,return_observation_n,return_coverage_within_portfolio,portfolio_mean_return,portfolio_median_return
2015-04-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1,EQUAL_WEIGHT,455,455,1.0,0.0060114038155255145,-0.03241345224335945
2015-04-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2,EQUAL_WEIGHT,383,383,1.0,-0.016185672772973846,-0.06387668062013435
2015-04-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,3,EQUAL_WEIGHT,365,365,1.0,-0.01229359929920007,-0.04075602814489582
2015-04-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,4,EQUAL_WEIGHT,400,400,1.0,-0.017407911779781383,-0.078912346787989
2015-04-30,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,5,EQUAL_WEIGHT,390,390,1.0,-0.16764843007712005,-0.22033032599582147
2015-04-30,60,1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,1,EQUAL_WEIGHT,455,455,1.0,0.283048859347194,0.2446351931330472
2015-04-30,60,1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,2,EQUAL_WEIGHT,383,383,1.0,0.2608603694086978,0.21318252971838392
2015-04-30,60,1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,3,EQUAL_WEIGHT,365,365,1.0,0.2647506871223301,0.236289082521784
2015-04-30,60,1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,4,EQUAL_WEIGHT,400,400,1.0,0.25964099039487754,0.19815396092933055
2015-04-30,60,1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,5,EQUAL_WEIGHT,390,390,1.0,0.10945968284287624,0.056795296601244195
2015-04-30,60,2,delta_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1,EQUAL_WEIGHT,399,399,1.0,0.023207232851788807,-0.018569200948005293
2015-04-30,60,2,delta_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2,EQUAL_WEIGHT,414,414,1.0,-0.00674890665895886,-0.0463404119760647
2015-04-30,60,2,delta_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,3,EQUAL_WEIGHT,391,391,1.0,-0.02477468027217094,-0.0951477872848617
2015-04-30,60,2,delta_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,4,EQUAL_WEIGHT,391,391,1.0,-0.09250607762094808,-0.14730351766952837
2015-04-30,60,2,delta_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,5,EQUAL_WEIGHT,398,398,1.0,-0.10277890034429019,-0.16570403825279684
2015-04-30,60,2,delta_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,1,EQUAL_WEIGHT,399,399,1.0,0.30023793135777666,0.25847457627118603
2015-04-30,60,2,delta_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,2,EQUAL_WEIGHT,414,414,1.0,0.27029320082369335,0.2307127755558249
2015-04-30,60,2,delta_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,3,EQUAL_WEIGHT,391,391,1.0,0.2522761034109024,0.18192066515124286
2015-04-30,60,2,delta_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,4,EQUAL_WEIGHT,391,391,1.0,0.18457151021779225,0.12978986402966608
2015-04-30,60,2,delta_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,5,EQUAL_WEIGHT,398,398,1.0,0.17430323887247792,0.11139311900733194
2015-04-30,60,3,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1,EQUAL_WEIGHT,480,480,1.0,-0.001896973139270399,-0.05005843054537862
2015-04-30,60,3,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2,EQUAL_WEIGHT,412,412,1.0,-0.014517657928070483,-0.06110438998746549
2015-04-30,60,3,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,3,EQUAL_WEIGHT,359,359,1.0,-0.028963713586395514,-0.06730037340650952
2015-04-30,60,3,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,4,EQUAL_WEIGHT,358,358,1.0,-0.014545953721278381,-0.06836719828999309
2015-04-30,60,3,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,5,EQUAL_WEIGHT,384,384,1.0,-0.15052055557092128,-0.20453086981451438
2015-04-30,60,3,cross_industry_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,1,EQUAL_WEIGHT,480,480,1.0,0.2751433522972623,0.22699158668393557
2015-04-30,60,3,cross_industry_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,2,EQUAL_WEIGHT,412,412,1.0,0.26252845661507196,0.21595293640660856
2015-04-30,60,3,cross_industry_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,3,EQUAL_WEIGHT,359,359,1.0,0.24808721480013934,0.20976027397260266
2015-04-30,60,3,cross_industry_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,4,EQUAL_WEIGHT,358,358,1.0,0.262501566035493,0.20869298950111181
2015-04-30,60,3,cross_industry_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,5,EQUAL_WEIGHT,384,384,1.0,0.12658078586139507,0.07258595636584134
2015-04-30,60,9,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1,EQUAL_WEIGHT,566,566,1.0,0.021620646020657597,-0.018768512469900606
2015-04-30,60,9,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2,EQUAL_WEIGHT,259,259,1.0,0.0035129723930643958,-0.04629127537679431
2015-04-30,60,9,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,3,EQUAL_WEIGHT,379,379,1.0,-0.029624581188647744,-0.07596629808014077
2015-04-30,60,9,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,4,EQUAL_WEIGHT,408,408,1.0,-0.0435667557095679,-0.0916415286017599
2015-04-30,60,9,outside_community_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,5,EQUAL_WEIGHT,381,381,1.0,-0.16913735700702612,-0.20812592001217972
2015-04-30,60,9,outside_community_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,1,EQUAL_WEIGHT,566,566,1.0,0.29865348407111375,0.25827059428250104
2015-04-30,60,9,outside_community_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,2,EQUAL_WEIGHT,259,259,1.0,0.28055300889078205,0.23075690743563013
2015-04-30,60,9,outside_community_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,3,EQUAL_WEIGHT,379,379,1.0,0.24742694408923685,0.20109622004713595
2015-04-30,60,9,outside_community_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,4,EQUAL_WEIGHT,408,408,1.0,0.2334904031353581,0.18542647745949792
2015-04-30,60,9,outside_community_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,5,EQUAL_WEIGHT,381,381,1.0,0.107969627760677,0.06898817345597884
2015-05-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,1,EQUAL_WEIGHT,412,412,1.0,-0.04341789716081525,-0.0756131422568742
2015-05-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,2,EQUAL_WEIGHT,407,407,1.0,-0.0337139508228584,-0.051558773423827184
2015-05-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,3,EQUAL_WEIGHT,348,348,1.0,-0.025123339465022383,-0.042702012859299164
2015-05-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,4,EQUAL_WEIGHT,369,369,1.0,-0.03686449250528008,-0.05630816967415683
2015-05-29,60,1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,5,EQUAL_WEIGHT,378,378,1.0,0.03726609765176086,0.0018865767936954297
2015-05-29,60,1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,1,EQUAL_WEIGHT,412,412,1.0,-0.12365771590929135,-0.15584582622838405
2015-05-29,60,1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,2,EQUAL_WEIGHT,407,407,1.0,-0.11395794975523946,-0.13180076628352513
2015-05-29,60,1,residual_degree_percentile,ORIGINAL,future_total_return,ROBUSTNESS_TOTAL_RETURN,3,EQUAL_WEIGHT,348,348,1.0,-0.10536977557002344,-0.1229458202610398
