factor_order,factor_name,factor_orientation,target_name,target_role,window,month_count,first_date,last_date,mean_q1_return,mean_q2_return,mean_q3_return,mean_q4_return,mean_q5_return,mean_q5_minus_q1,mean_q5_minus_q1_bps,median_q5_minus_q1,std_q5_minus_q1,annualized_arithmetic_spread,annualized_spread_sharpe,positive_spread_share,negative_spread_share,mean_portfolio_return_spearman,median_portfolio_return_spearman,strictly_increasing_share,strictly_decreasing_share,mean_linear_slope_per_quintile,mean_q1_n,mean_q5_n,naive_spread_se,naive_spread_t_stat,hac_lag,hac_spread_se,hac_spread_t_stat,outcome_based_sign_flip,outcome_based_window_selection
1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,133,2015-04-30,2026-06-30,-0.0013405621357920814,-0.0010127921924655723,-0.0020232478071852225,-0.001912501818689781,-0.003648928049339035,-0.002308365913546955,-23.08365913546955,-0.0004146164737050765,0.03600476091919153,-0.027700390962563458,-0.22209324226298738,0.48120300751879697,0.518796992481203,-0.05187969924812029,-0.09999999999999999,0.06766917293233082,0.10526315789473684,-0.0005516441453318118,825.6691729323309,761.6015037593985,0.0031220087143363395,-0.7393848399419524,4,0.002685757569882823,-0.8594840947046708,False,False
1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,120,128,2015-07-31,2026-07-31,-0.0003157732987975396,-0.0006431431698241187,-0.0014162198069081569,-0.0021629526640154786,-0.0011001660622561315,-0.0007843927634585916,-7.843927634585915,-0.0007107158063344749,0.03156139669275762,-0.009412713161503099,-0.08609302893818992,0.4921875,0.5078125,-0.038281249999999975,-0.09999999999999999,0.0703125,0.09375,-0.0003088595021108545,852.890625,779.34375,0.002789659703145948,-0.28117865507897544,4,0.002182132384825414,-0.3594615839594666,False,False
1,residual_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,119,2016-09-30,2026-07-31,-0.0001865959425933807,-0.0001405443570600259,-0.0007799023914468918,-0.0005062671683081587,-0.0007449226714767504,-0.0005583267288833699,-5.583267288833699,0.0006609352746152074,0.030764111119319596,-0.006699920746600439,-0.06286872764819987,0.5210084033613446,0.4789915966386555,0.006722689075630255,0.09999999999999999,0.06722689075630252,0.06722689075630252,-0.00014823762690148714,861.5210084033613,773.2436974789916,0.002820141442548916,-0.19797827174893043,4,0.0024207106478651838,-0.23064579377785457,False,False
2,delta_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,136,2015-04-30,2026-07-31,0.004760656945578119,-0.00029279693993025923,-0.0019136003717254166,-0.004634352533503999,-0.007701975547491837,-0.012462632493069958,-124.62632493069958,-0.010165851656553307,0.02735510992852809,-0.14955158991683948,-1.5781996658360664,0.3014705882352941,0.6985294117647058,-0.30588235294117644,-0.49999999999999994,0.022058823529411766,0.13970588235294118,-0.0029266820579713654,780.4779411764706,773.1838235294117,0.002345681324580182,-5.313011772944245,4,0.0024623232088860428,-5.061330879754029,False,False
2,delta_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,120,133,2015-07-31,2026-07-31,0.005876405851519762,-0.0004311616617338105,-0.0025130037127933584,-0.003846885280575856,-0.005617164177581249,-0.011493570029101011,-114.93570029101011,-0.012010400960774586,0.029149939442846964,-0.13792284034921215,-1.3658654275962068,0.3233082706766917,0.6766917293233082,-0.24887218045112783,-0.3,0.045112781954887216,0.18796992481203006,-0.002640286367704407,789.3834586466165,766.827067669173,0.0025276203101916974,-4.547190091311352,4,0.0025477548253273136,-4.511254346314275,False,False
2,delta_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,127,2016-01-29,2026-07-31,0.005105834134204597,-0.0003821076723024322,-0.0014834509256224926,-0.003090560029510316,-0.004499044907955134,-0.00960487904215973,-96.0487904215973,-0.00916856390875596,0.031869374732047075,-0.11525854850591677,-1.0440203889438249,0.3464566929133858,0.6535433070866141,-0.19291338582677164,-0.3,0.07086614173228346,0.16535433070866143,-0.0021918210441527345,754.5748031496063,747.3307086614174,0.002827949711950339,-3.396410834878523,4,0.0028112103798106436,-3.416634738950662,False,False
3,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,133,2015-04-30,2026-06-30,-0.0017198886247928107,-0.0009853701609171157,-0.0017804359027949138,-0.002154093270040572,-0.003129905149165017,-0.0014100165243722063,-14.100165243722063,-0.0009921528145004565,0.03459165503143279,-0.016920198292466476,-0.14120285701884694,0.48120300751879697,0.518796992481203,-0.01729323308270676,-0.09999999999999999,0.11278195488721804,0.07518796992481203,-0.0003988756157867872,847.3308270676691,759.8872180451128,0.002999476894009456,-0.47008747664910705,4,0.0026324994659935,-0.5356189213280881,False,False
3,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,120,121,2016-02-29,2026-06-30,-0.0007270620375647924,-0.00045824869522443425,-0.001029752502699529,-0.002359413964261738,-0.0013752126213796645,-0.000648150583814872,-6.48150583814872,0.00019700962001763592,0.030594135420267603,-0.007777807005778464,-0.07338855808156508,0.5041322314049587,0.49586776859504134,-0.039669421487603274,0.0,0.06611570247933884,0.09917355371900827,-0.00031974664366670494,896.8925619834711,776.305785123967,0.002781285038206146,-0.23303997070106547,4,0.002331015344538977,-0.2780550481288495,False,False
3,cross_industry_degree_percentile,ORIGINAL,future_excess_return,PRIMARY_ALPHA,252,104,2016-12-30,2026-06-30,-0.000537299623480494,0.000836302386098054,-0.0009417395359738757,-0.000172775266212105,0.00019499561634716016,0.0007322952398276538,7.322952398276538,0.002780777458314971,0.029980736918433986,0.008787542877931846,0.08461250068489541,0.5384615384615384,0.46153846153846156,0.028846153846153813,0.09999999999999999,0.09615384615384616,0.057692307692307696,4.55512827345146e-05,935.4615384615385,759.0961538461538,0.0029398531265189716,0.24909245745033248,4,0.002688521020194928,0.2723784691757997,False,False
4,cross_industry_degree_ratio,ORIGINAL,future_excess_return,PRIMARY_ALPHA,60,79,2018-09-28,2026-05-29,-0.0007731033422919404,-0.00041912196286247053,0.0011308980851516821,0.0006741898692293039,0.00041315111286094244,0.0011862544551528818,11.862544551528819,0.001686238311136116,0.02163019459936972,0.014235053461834582,0.18998007415888876,0.5569620253164557,0.4430379746835443,0.05696202531645571,0.09999999999999999,0.0379746835443038,0.05063291139240506,0.00034658207423975395,902.7974683544304,893.0886075949367,0.0024335870238426298,0.4874510110099897,3,0.0025508382642183474,0.4650449508277176,False,False
