analysis_date,window,factor_order,factor_name,neutralization,target_name,pair_n,alpha_rank_ic,ic_status
2015-04-30,60,1,residual_degree_percentile,RAW,future_excess_return,1993,-0.27754749665289596,PASS
2015-04-30,60,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1993,-0.17383653860687473,PASS
2015-04-30,60,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1993,-0.1145733113295833,PASS
2015-04-30,60,2,delta_degree_percentile,RAW,future_excess_return,1993,-0.2654158886321303,PASS
2015-04-30,60,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1993,-0.15778564746896384,PASS
2015-04-30,60,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1993,-0.07788222289842357,PASS
2015-04-30,60,3,cross_industry_degree_percentile,RAW,future_excess_return,1993,-0.23867117789115933,PASS
2015-04-30,60,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1993,-0.15170449186001628,PASS
2015-04-30,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1993,-0.1060298821496743,PASS
2015-04-30,60,4,cross_industry_degree_ratio,RAW,future_excess_return,1986,0.2111757619976839,PASS
2015-04-30,60,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_excess_return,1986,0.13443346632185338,PASS
2015-04-30,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1986,0.06893476532977402,PASS
2015-04-30,60,5,delta_residual_degree_percentile_1m,RAW,future_excess_return,0,,INSUFFICIENT_OBS
2015-04-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-04-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_excess_return,0,,INSUFFICIENT_OBS
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-04-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,RAW,future_excess_return,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-04-30,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,RAW,future_excess_return,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-04-30,60,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,0,,INSUFFICIENT_OBS
2015-04-30,60,9,outside_community_degree_percentile,RAW,future_excess_return,1993,-0.2846883395399983,PASS
2015-04-30,60,9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1993,-0.18939721044919916,PASS
2015-04-30,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1993,-0.1454555453891227,PASS
2015-05-29,60,1,residual_degree_percentile,RAW,future_excess_return,1914,0.13475351667507782,PASS
2015-05-29,60,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1914,0.10252042368664328,PASS
2015-05-29,60,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1914,0.10434441199158753,PASS
2015-05-29,60,2,delta_degree_percentile,RAW,future_excess_return,1914,-0.057310863624949415,PASS
2015-05-29,60,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1914,-0.08084942666019833,PASS
2015-05-29,60,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1914,-0.0854118095330072,PASS
2015-05-29,60,3,cross_industry_degree_percentile,RAW,future_excess_return,1914,0.13033050601642449,PASS
2015-05-29,60,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1914,0.09252746015629065,PASS
2015-05-29,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1914,0.09285215095996398,PASS
2015-05-29,60,4,cross_industry_degree_ratio,RAW,future_excess_return,1898,-0.07215351241093582,PASS
2015-05-29,60,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_excess_return,1898,-0.08265483769543872,PASS
2015-05-29,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1898,-0.08015005523203127,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,RAW,future_excess_return,1819,-0.03035966790972975,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,1819,-0.007998848536497677,PASS
2015-05-29,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1819,-0.008186630705474061,PASS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_excess_return,1819,-0.008600583964571133,PASS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,1819,0.007831573097888046,PASS
2015-05-29,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1819,0.007461823221248214,PASS
2015-05-29,60,7,neighbor_jaccard_1m,RAW,future_excess_return,1816,0.19344100830124963,PASS
2015-05-29,60,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_excess_return,1816,0.1584520467710396,PASS
2015-05-29,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1816,0.1629374018597507,PASS
2015-05-29,60,8,neighbor_retention_1m,RAW,future_excess_return,1812,0.17473994086371383,PASS
2015-05-29,60,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_excess_return,1812,0.15480338747248898,PASS
2015-05-29,60,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1812,0.1601868636929559,PASS
2015-05-29,60,9,outside_community_degree_percentile,RAW,future_excess_return,1914,0.2922582589193648,PASS
2015-05-29,60,9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1914,0.2040148165735211,PASS
2015-05-29,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1914,0.20459275197265703,PASS
2015-06-30,60,1,residual_degree_percentile,RAW,future_excess_return,1802,-0.0031062658063164515,PASS
2015-06-30,60,1,residual_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1802,0.009429845496335642,PASS
2015-06-30,60,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1802,-0.031148115556738968,PASS
2015-06-30,60,2,delta_degree_percentile,RAW,future_excess_return,1802,-0.04782468234650194,PASS
2015-06-30,60,2,delta_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1802,-0.04712957569279614,PASS
2015-06-30,60,2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1802,-0.08840402302741081,PASS
2015-06-30,60,3,cross_industry_degree_percentile,RAW,future_excess_return,1802,-0.0012691510200077839,PASS
2015-06-30,60,3,cross_industry_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1802,0.012520267038594761,PASS
2015-06-30,60,3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1802,-0.02336440713917039,PASS
2015-06-30,60,4,cross_industry_degree_ratio,RAW,future_excess_return,1780,0.02177405845466789,PASS
2015-06-30,60,4,cross_industry_degree_ratio,INDUSTRY_NEUTRAL,future_excess_return,1780,0.01693905517365737,PASS
2015-06-30,60,4,cross_industry_degree_ratio,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1780,0.04750938035767507,PASS
2015-06-30,60,5,delta_residual_degree_percentile_1m,RAW,future_excess_return,1663,0.010137221477397143,PASS
2015-06-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,1663,0.01471537298164827,PASS
2015-06-30,60,5,delta_residual_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1663,0.012234858326051342,PASS
2015-06-30,60,6,delta_cross_industry_degree_percentile_1m,RAW,future_excess_return,1663,0.015543689132536448,PASS
2015-06-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_NEUTRAL,future_excess_return,1663,0.02543644938593655,PASS
2015-06-30,60,6,delta_cross_industry_degree_percentile_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1663,0.024716023536570347,PASS
2015-06-30,60,7,neighbor_jaccard_1m,RAW,future_excess_return,1662,0.06438702646415072,PASS
2015-06-30,60,7,neighbor_jaccard_1m,INDUSTRY_NEUTRAL,future_excess_return,1662,0.07767277417717489,PASS
2015-06-30,60,7,neighbor_jaccard_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1662,0.02520723252773179,PASS
2015-06-30,60,8,neighbor_retention_1m,RAW,future_excess_return,1646,0.06701100925955777,PASS
2015-06-30,60,8,neighbor_retention_1m,INDUSTRY_NEUTRAL,future_excess_return,1646,0.07252784706818943,PASS
2015-06-30,60,8,neighbor_retention_1m,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1646,0.034847281132105265,PASS
2015-06-30,60,9,outside_community_degree_percentile,RAW,future_excess_return,1802,-0.045829862608625684,PASS
2015-06-30,60,9,outside_community_degree_percentile,INDUSTRY_NEUTRAL,future_excess_return,1802,-0.02116344765625464,PASS
2015-06-30,60,9,outside_community_degree_percentile,INDUSTRY_SIZE_NEUTRAL,future_excess_return,1802,-0.054979048829806226,PASS
2015-07-31,60,1,residual_degree_percentile,RAW,future_excess_return,1572,-0.016578795008965346,PASS
