factor_order,factor_name,neutralization,window,month_count,mean_alpha_ic,median_alpha_ic,std_alpha_ic,positive_ic_share,negative_ic_share,hac_lag,hac_alpha_ic_se,hac_alpha_ic_t_stat
1,residual_degree_percentile,INDUSTRY_NEUTRAL,60,136,0.004721645820672584,0.006972129775706819,0.07532430208248775,0.5367647058823529,0.4632352941176471,4,0.006610690254914228,0.7142439954984467
1,residual_degree_percentile,INDUSTRY_NEUTRAL,120,133,0.002969072934806205,0.0033097785181466512,0.07845026989839915,0.5413533834586466,0.45864661654135336,4,0.005947534956855097,0.4992106740598586
1,residual_degree_percentile,INDUSTRY_NEUTRAL,252,127,0.00580585627707907,0.01467603940343259,0.07970542155526175,0.5433070866141733,0.4566929133858268,4,0.006376148967721657,0.9105584431089028
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,136,0.0110605023278388,0.009892679279413173,0.06923260547880025,0.5808823529411765,0.41911764705882354,4,0.0063865357652459825,1.7318469252184319
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,120,133,0.01253447248684206,0.01021765340678204,0.06794700932320061,0.556390977443609,0.44360902255639095,4,0.005564741939560398,2.252480460546254
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,127,0.014605529179785788,0.012006226680361392,0.06409103624731986,0.5984251968503937,0.4015748031496063,4,0.005713697321473525,2.5562308183344786
1,residual_degree_percentile,RAW,60,136,0.001589046715305569,0.0001502782556936132,0.10278122975571283,0.5,0.5,4,0.007857825356032706,0.20222474327271814
1,residual_degree_percentile,RAW,120,133,-0.0009701395968103561,0.013741746735581843,0.10682822037899561,0.5338345864661654,0.46616541353383456,4,0.00763750514819246,-0.12702310217623294
1,residual_degree_percentile,RAW,252,127,0.0023324799223116,0.01768551442826557,0.10867171612315937,0.5590551181102362,0.4409448818897638,4,0.0079783256248403,0.292352058814131
2,delta_degree_percentile,INDUSTRY_NEUTRAL,60,136,-0.04716388217417128,-0.052237123841368,0.07038998845652544,0.2647058823529412,0.7352941176470589,4,0.00638655311806392,-7.3848727634898275
