stock_i,stock_j,precision,partial_corr,abs_partial_corr,sign
601398,601288,-1.1738509105072694,0.6204446939252533,0.6204446939252533,positive
603501,600030,-0.5864660129227257,0.3441483342982446,0.3441483342982446,positive
000858,000568,-0.9134930209378535,0.3244196403879215,0.3244196403879215,positive
000001,600036,-0.728314349130929,0.32100968558526977,0.32100968558526977,positive
000001,601318,-0.7865248561203826,0.31156088029175255,0.31156088029175255,positive
600519,000858,-0.7824966480184911,0.2955011926821681,0.2955011926821681,positive
600036,601318,-0.6894014628308742,0.2910597004113749,0.2910597004113749,positive
600519,600887,-0.6652777622263597,0.2880697331546953,0.2880697331546953,positive
002415,603501,-0.45522663143275516,0.23558708730239872,0.23558708730239872,positive
000858,600887,-0.5498013721760817,0.22293841864086067,0.22293841864086067,positive
002460,603501,-0.3391968302120325,0.20682122735509606,0.20682122735509606,positive
002415,000725,-0.3423450437880426,0.19635572374168636,0.19635572374168636,positive
600036,601398,-0.36602135099369154,0.1791669711669203,0.1791669711669203,positive
603501,002475,-0.2910077437512352,0.16934235166659434,0.16934235166659434,positive
600519,000568,-0.4170438393240363,0.1581609050817424,0.1581609050817424,positive
000568,601318,-0.42605263153654727,0.15673106442660775,0.15673106442660775,positive
000568,600030,-0.3175733785619399,0.1552496158691677,0.1552496158691677,positive
000568,600887,-0.35488292450087366,0.1445123220731559,0.1445123220731559,positive
002415,002475,-0.2419807937152994,0.1418046326025559,0.1418046326025559,positive
002460,002415,-0.21166407211663846,0.1299687536764148,0.1299687536764148,positive
000001,000725,-0.24588455310951646,0.12562745067189648,0.12562745067189648,positive
002475,601318,-0.24261091008642324,0.1213121323209432,0.1213121323209432,positive
000725,002475,-0.1874200331326139,0.12087395984455548,0.12087395984455548,positive
002415,601318,-0.23463073897139283,0.10433778166307721,0.10433778166307721,positive
000001,000568,-0.22507351943105106,0.08643818225977035,0.08643818225977035,positive
600887,000725,-0.15778966978982503,0.08548116262650673,0.08548116262650673,positive
000725,603501,-0.1493262415507132,0.08504860088909155,0.08504860088909155,positive
002460,000725,-0.12086948879571133,0.08167999641646712,0.08167999641646712,positive
601288,603501,0.14038029126454418,-0.07447692705780894,0.07447692705780894,negative
600519,002415,-0.15893956002548712,0.07286421618560877,0.07286421618560877,positive
000858,002475,-0.13521723799921023,0.06527337127709139,0.06527337127709139,positive
600887,002460,-0.111563142180338,0.0647030685215715,0.0647030685215715,positive
000001,600519,-0.1389035693202059,0.0567243432668434,0.0567243432668434,positive
000858,601318,-0.13750923116873753,0.05037128216084608,0.05037128216084608,positive
000568,002460,-0.09889406301890695,0.05023393135791446,0.05023393135791446,positive
000858,600030,-0.10218491949572675,0.04974306857902057,0.04974306857902057,positive
600036,601288,-0.09160000366714662,0.04646359073758568,0.04646359073758568,positive
000001,601398,-0.10015082829343816,0.04599669957459556,0.04599669957459556,positive
000858,002415,-0.09712990822085137,0.041698433761644726,0.041698433761644726,positive
600519,601318,-0.10466283717839557,0.040941069331089215,0.040941069331089215,positive
000568,002415,-0.08172457796318336,0.03523385235262976,0.03523385235262976,positive
000568,000725,-0.07387795430733451,0.035053349443215566,0.035053349443215566,positive
603501,601318,-0.07595437853771647,0.033539842883637296,0.033539842883637296,positive
002460,002475,-0.043800578887021754,0.030241886325527854,0.030241886325527854,positive
000001,600887,-0.06688082827062046,0.02932648808159678,0.02932648808159678,positive
600036,002415,-0.05611581946603112,0.027765838889880906,0.027765838889880906,positive
000001,601288,-0.05282508242686886,0.025140739876378684,0.025140739876378684,positive
000001,002475,-0.041836902955746484,0.02183950695571552,0.02183950695571552,positive
601288,002460,0.029673155888974317,-0.01867872953762373,0.01867872953762373,negative
000858,000725,-0.03933302936658274,0.018583665434352505,0.018583665434352505,positive
600036,600519,-0.03269852197591712,0.014231923486456818,0.014231923486456818,positive
000858,002460,-0.0281035047059148,0.014214996313044539,0.014214996313044539,positive
600519,600030,-0.01744631591249774,0.009069117414580191,0.009069117414580191,positive
000568,603501,-0.01764340413169858,0.007553380178636377,0.007553380178636377,positive
600036,000568,-0.01642959859313486,0.006724927140061695,0.006724927140061695,positive
000725,601318,-0.013035110543021351,0.006379382261421483,0.006379382261421483,positive
000001,000858,-0.01567306786067368,0.005993693879725017,0.005993693879725017,positive
000858,603501,-0.006073696942992548,0.002589234596723421,0.002589234596723421,positive
600887,601318,-0.005799714856237548,0.002435990918614504,0.002435990918614504,positive
000725,600030,-0.003443137741455701,0.0022393032927486758,0.0022393032927486758,positive
601318,600030,-0.0015693137707431975,0.0007913078562179892,0.0007913078562179892,positive
