stock_i,stock_j,industry_i,industry_j,relation,same_industry,partial_R3,partial_R4,abs_partial_R3,abs_partial_R4,delta_partial,abs_delta_partial,delta_abs_partial,edge_R3,edge_R4,selected_union,support_change,strength_change,name_i,name_j,structural_role
002415,000725,电子,电子,Same,True,0.2578229568475072,0.0174791198872818,0.2578229568475072,0.0174791198872818,-0.24034383696022543,0.24034383696022543,-0.24034383696022543,1,1,1,Persistent,Weakened,海康威视,京东方A,Persistent Same-industry
000725,002475,电子,电子,Same,True,0.2374523630467825,0.0,0.2374523630467825,0.0,-0.2374523630467825,0.2374523630467825,-0.2374523630467825,1,0,1,Lost,NotApplicable,京东方A,立讯精密,Changing Same-industry
002460,600030,新能源,非银金融,Cross,False,0.0130646123783224,0.1875939151703872,0.0130646123783224,0.1875939151703872,0.1745293027920648,0.1745293027920648,0.1745293027920648,1,1,1,Persistent,Strengthened,赣锋锂业,中信证券,Persistent Cross-industry
601398,603501,银行,电子,Cross,False,-0.0,-0.1729679090636128,0.0,0.1729679090636128,-0.1729679090636128,0.1729679090636128,0.1729679090636128,0,1,1,Gained,NotApplicable,工商银行,韦尔股份,Changing Cross-industry
600887,600030,食品饮料,非银金融,Cross,False,0.0,0.1447201181655488,0.0,0.1447201181655488,0.1447201181655488,0.1447201181655488,0.1447201181655488,0,1,1,Gained,NotApplicable,伊利股份,中信证券,Changing Cross-industry
000725,600030,电子,非银金融,Cross,False,0.2761587584959613,0.1366264835715621,0.2761587584959613,0.1366264835715621,-0.13953227492439918,0.13953227492439918,-0.13953227492439918,1,1,1,Persistent,Weakened,京东方A,中信证券,Persistent Cross-industry
002475,600030,电子,非银金融,Cross,False,0.0,0.1391158268616628,0.0,0.1391158268616628,0.1391158268616628,0.1391158268616628,0.1391158268616628,0,1,1,Gained,NotApplicable,立讯精密,中信证券,Changing Cross-industry
000858,601318,食品饮料,非银金融,Cross,False,0.1444148903381914,0.0146430191959959,0.1444148903381914,0.0146430191959959,-0.12977187114219552,0.12977187114219552,-0.12977187114219552,1,1,1,Persistent,Weakened,五粮液,中国平安,Persistent Cross-industry
600519,000858,食品饮料,食品饮料,Same,True,0.2919301428493033,0.4201907098956802,0.2919301428493033,0.4201907098956802,0.1282605670463769,0.1282605670463769,0.1282605670463769,1,1,1,Persistent,Strengthened,贵州茅台,五粮液,Persistent Same-industry
002460,000725,新能源,电子,Cross,False,0.1181848545177582,0.0,0.1181848545177582,0.0,-0.1181848545177582,0.1181848545177582,-0.1181848545177582,1,0,1,Lost,NotApplicable,赣锋锂业,京东方A,Changing Cross-industry
603501,600030,电子,非银金融,Cross,False,0.118079715026203,0.0,0.118079715026203,0.0,-0.118079715026203,0.118079715026203,-0.118079715026203,1,0,1,Lost,NotApplicable,韦尔股份,中信证券,Changing Cross-industry
000725,603501,电子,电子,Same,True,0.1106576267939796,0.0,0.1106576267939796,0.0,-0.1106576267939796,0.1106576267939796,-0.1106576267939796,1,0,1,Lost,NotApplicable,京东方A,韦尔股份,Changing Same-industry
000001,601288,银行,银行,Same,True,0.1103132464401675,0.0004548971675013,0.1103132464401675,0.0004548971675013,-0.1098583492726662,0.1098583492726662,-0.1098583492726662,1,1,1,Persistent,Weakened,平安银行,农业银行,Persistent Same-industry
002460,002415,新能源,电子,Cross,False,0.0997187715455212,0.0,0.0997187715455212,0.0,-0.0997187715455212,0.0997187715455212,-0.0997187715455212,1,0,1,Lost,NotApplicable,赣锋锂业,海康威视,Changing Cross-industry
600036,601288,银行,银行,Same,True,0.094548893036691,0.0,0.094548893036691,0.0,-0.094548893036691,0.094548893036691,-0.094548893036691,1,0,1,Lost,NotApplicable,招商银行,农业银行,Changing Same-industry
000001,600036,银行,银行,Same,True,0.2381626636748869,0.3220852082146284,0.2381626636748869,0.3220852082146284,0.08392254453974149,0.08392254453974149,0.08392254453974149,1,1,1,Persistent,Strengthened,平安银行,招商银行,Persistent Same-industry
600036,601318,银行,非银金融,Cross,False,0.1316040471682775,0.048559726763031,0.1316040471682775,0.048559726763031,-0.08304432040524651,0.08304432040524651,-0.08304432040524651,1,1,1,Persistent,Weakened,招商银行,中国平安,Persistent Cross-industry
000001,000858,银行,食品饮料,Cross,False,0.0,0.0685170645911454,0.0,0.0685170645911454,0.0685170645911454,0.0685170645911454,0.0685170645911454,0,1,1,Gained,NotApplicable,平安银行,五粮液,Changing Cross-industry
000001,600030,银行,非银金融,Cross,False,0.0,0.0672277297710374,0.0,0.0672277297710374,0.0672277297710374,0.0672277297710374,0.0672277297710374,0,1,1,Gained,NotApplicable,平安银行,中信证券,Changing Cross-industry
000001,601318,银行,非银金融,Cross,False,0.1709898893741488,0.2375893890389152,0.1709898893741488,0.2375893890389152,0.06659949966476639,0.06659949966476639,0.06659949966476639,1,1,1,Persistent,Strengthened,平安银行,中国平安,Persistent Cross-industry
