analysis_date,regime_type,regime_value
2015-04-30,ALL_SAMPLE,ALL
2015-04-30,TIME_SUBSAMPLE,P1_2015_2018
2015-04-30,MARKET_TREND,BULL
2015-05-29,ALL_SAMPLE,ALL
2015-05-29,TIME_SUBSAMPLE,P1_2015_2018
2015-05-29,MARKET_TREND,BULL
2015-06-30,ALL_SAMPLE,ALL
2015-06-30,TIME_SUBSAMPLE,P1_2015_2018
2015-06-30,MARKET_TREND,BULL
2015-07-31,ALL_SAMPLE,ALL
2015-07-31,TIME_SUBSAMPLE,P1_2015_2018
2015-07-31,MARKET_TREND,BULL
2015-08-31,ALL_SAMPLE,ALL
2015-08-31,TIME_SUBSAMPLE,P1_2015_2018
2015-08-31,MARKET_TREND,BEAR
2015-09-30,ALL_SAMPLE,ALL
2015-09-30,TIME_SUBSAMPLE,P1_2015_2018
2015-09-30,MARKET_TREND,BEAR
2015-10-30,ALL_SAMPLE,ALL
2015-10-30,TIME_SUBSAMPLE,P1_2015_2018
2015-10-30,MARKET_TREND,BEAR
2015-10-30,MARKET_VOL,HIGH_VOL
2015-10-30,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2015-11-30,ALL_SAMPLE,ALL
2015-11-30,TIME_SUBSAMPLE,P1_2015_2018
2015-11-30,MARKET_TREND,BULL
2015-11-30,MARKET_VOL,LOW_VOL
2015-11-30,JOINT_MARKET_REGIME,BULL_LOW_VOL
2015-12-31,ALL_SAMPLE,ALL
2015-12-31,TIME_SUBSAMPLE,P1_2015_2018
2015-12-31,MARKET_TREND,BULL
2015-12-31,MARKET_VOL,LOW_VOL
2015-12-31,JOINT_MARKET_REGIME,BULL_LOW_VOL
2016-01-29,ALL_SAMPLE,ALL
2016-01-29,TIME_SUBSAMPLE,P1_2015_2018
2016-01-29,MARKET_TREND,BEAR
2016-01-29,MARKET_VOL,LOW_VOL
2016-01-29,JOINT_MARKET_REGIME,BEAR_LOW_VOL
2016-02-29,ALL_SAMPLE,ALL
2016-02-29,TIME_SUBSAMPLE,P1_2015_2018
2016-02-29,MARKET_TREND,BEAR
2016-02-29,MARKET_VOL,HIGH_VOL
2016-02-29,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2016-03-31,ALL_SAMPLE,ALL
2016-03-31,TIME_SUBSAMPLE,P1_2015_2018
2016-03-31,MARKET_TREND,BEAR
2016-03-31,MARKET_VOL,HIGH_VOL
2016-03-31,JOINT_MARKET_REGIME,BEAR_HIGH_VOL
2016-04-29,ALL_SAMPLE,ALL
2016-04-29,TIME_SUBSAMPLE,P1_2015_2018
2016-04-29,MARKET_TREND,BULL
2016-04-29,MARKET_VOL,LOW_VOL
2016-04-29,JOINT_MARKET_REGIME,BULL_LOW_VOL
2016-05-31,ALL_SAMPLE,ALL
2016-05-31,TIME_SUBSAMPLE,P1_2015_2018
2016-05-31,MARKET_TREND,BULL
2016-05-31,MARKET_VOL,LOW_VOL
2016-05-31,JOINT_MARKET_REGIME,BULL_LOW_VOL
2016-06-30,ALL_SAMPLE,ALL
2016-06-30,TIME_SUBSAMPLE,P1_2015_2018
2016-06-30,MARKET_TREND,BULL
2016-06-30,MARKET_VOL,LOW_VOL
2016-06-30,JOINT_MARKET_REGIME,BULL_LOW_VOL
2016-07-29,ALL_SAMPLE,ALL
2016-07-29,TIME_SUBSAMPLE,P1_2015_2018
2016-07-29,MARKET_TREND,BULL
2016-07-29,MARKET_VOL,LOW_VOL
2016-07-29,JOINT_MARKET_REGIME,BULL_LOW_VOL
2016-08-31,ALL_SAMPLE,ALL
2016-08-31,TIME_SUBSAMPLE,P1_2015_2018
2016-08-31,MARKET_TREND,BULL
2016-08-31,MARKET_VOL,LOW_VOL
2016-08-31,JOINT_MARKET_REGIME,BULL_LOW_VOL
2016-09-30,ALL_SAMPLE,ALL
2016-09-30,TIME_SUBSAMPLE,P1_2015_2018
2016-09-30,MARKET_TREND,BULL
2016-09-30,MARKET_VOL,LOW_VOL
2016-09-30,JOINT_MARKET_REGIME,BULL_LOW_VOL
2016-10-31,ALL_SAMPLE,ALL
2016-10-31,TIME_SUBSAMPLE,P1_2015_2018
2016-10-31,MARKET_TREND,BULL
2016-10-31,MARKET_VOL,LOW_VOL
2016-10-31,JOINT_MARKET_REGIME,BULL_LOW_VOL
2016-11-30,ALL_SAMPLE,ALL
2016-11-30,TIME_SUBSAMPLE,P1_2015_2018
2016-11-30,MARKET_TREND,BULL
2016-11-30,MARKET_VOL,LOW_VOL
2016-11-30,JOINT_MARKET_REGIME,BULL_LOW_VOL
2016-12-30,ALL_SAMPLE,ALL
2016-12-30,TIME_SUBSAMPLE,P1_2015_2018
2016-12-30,MARKET_TREND,BULL
2016-12-30,MARKET_VOL,LOW_VOL
2016-12-30,JOINT_MARKET_REGIME,BULL_LOW_VOL
2017-01-26,ALL_SAMPLE,ALL
2017-01-26,TIME_SUBSAMPLE,P1_2015_2018
2017-01-26,MARKET_TREND,BEAR
2017-01-26,MARKET_VOL,LOW_VOL
2017-01-26,JOINT_MARKET_REGIME,BEAR_LOW_VOL
2017-02-28,ALL_SAMPLE,ALL
2017-02-28,TIME_SUBSAMPLE,P1_2015_2018
2017-02-28,MARKET_TREND,BEAR
2017-02-28,MARKET_VOL,LOW_VOL
2017-02-28,JOINT_MARKET_REGIME,BEAR_LOW_VOL
2017-03-31,ALL_SAMPLE,ALL
2017-03-31,TIME_SUBSAMPLE,P1_2015_2018
