factor_order,factor_name,neutralization,window,full_sample_alpha_ic,full_sample_alpha_spread,full_sample_alpha_spread_bps,full_sample_mean_risk_ic,full_sample_ivol_ic,alpha_ic_overall_same_sign_share,alpha_ic_time_same_sign_share,alpha_ic_trend_same_sign_share,alpha_ic_vol_same_sign_share,alpha_ic_joint_same_sign_share,alpha_ic_mean_abs_retention,alpha_spread_overall_same_sign_share,alpha_spread_time_same_sign_share,alpha_spread_trend_same_sign_share,alpha_spread_vol_same_sign_share,alpha_spread_joint_same_sign_share,alpha_spread_mean_abs_retention,risk_ic_overall_same_sign_share,risk_ic_time_same_sign_share,risk_ic_trend_same_sign_share,risk_ic_vol_same_sign_share,risk_ic_joint_same_sign_share,risk_ic_mean_abs_retention,ivol_ic_overall_same_sign_share,ivol_ic_time_same_sign_share,ivol_ic_trend_same_sign_share,ivol_ic_vol_same_sign_share,ivol_ic_joint_same_sign_share,ivol_ic_mean_abs_retention,factor_sign_flipped,window_selected_from_regime_results,factor_removed_from_regime_results
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,0.011060502327838794,0.0021115926784112168,21.11592678411217,-0.07840117278725879,-0.10753000315029641,0.8181818181818182,0.6666666666666666,1.0,1.0,0.75,1.1990304501767177,0.7272727272727273,0.6666666666666666,1.0,1.0,0.5,1.2163900884557461,0.9772727272727273,0.9166666666666666,1.0,1.0,1.0,1.0001526053973122,1.0,1.0,1.0,1.0,1.0,1.0051765186824502,False,False,False
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,120,0.01253447248684205,0.002860979361970756,28.60979361970756,-0.07208016454600466,-0.09657348779679478,0.9090909090909091,1.0,1.0,1.0,0.75,1.0309402675958959,0.8181818181818182,1.0,1.0,1.0,0.5,1.1144877323519073,1.0,1.0,1.0,1.0,1.0,0.9756440868668883,1.0,1.0,1.0,1.0,1.0,0.9975313175530964,False,False,False
1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,0.014605529179785779,0.0031620956177192553,31.620956177192554,-0.06485948441696023,-0.08419848457129843,1.0,1.0,1.0,1.0,1.0,0.9253538237698703,0.9090909090909091,1.0,1.0,1.0,0.75,1.0777808869827499,1.0,1.0,1.0,1.0,1.0,0.9898090342654519,1.0,1.0,1.0,1.0,1.0,1.0044025570643913,False,False,False
1,residual_degree_percentile,RAW,60,0.001589046715305569,-0.0023083659135469522,-23.08365913546952,-0.10431216518863895,-0.10793537876102074,0.6363636363636364,0.6666666666666666,0.5,1.0,0.5,,0.8181818181818182,0.6666666666666666,1.0,1.0,0.75,1.3986318403330762,1.0,1.0,1.0,1.0,1.0,0.9865395397140997,1.0,1.0,1.0,1.0,1.0,1.0011055829334836,False,False,False
1,residual_degree_percentile,RAW,120,-0.0009701395968103528,-0.000784392763458592,-7.84392763458592,-0.09995922046897364,-0.0891350451295162,0.45454545454545453,0.3333333333333333,0.5,0.5,0.5,,0.6363636363636364,0.6666666666666666,0.5,1.0,0.5,,1.0,1.0,1.0,1.0,1.0,0.9742809030765988,1.0,1.0,1.0,1.0,1.0,0.9973236981800959,False,False,False
1,residual_degree_percentile,RAW,252,0.0023324799223115897,-0.0005583267288833712,-5.583267288833713,-0.09431448715316897,-0.06732298389070489,0.6363636363636364,0.6666666666666666,1.0,0.5,0.5,,0.5454545454545454,0.6666666666666666,0.5,0.5,0.5,,1.0,1.0,1.0,1.0,1.0,0.9924191245592019,1.0,1.0,1.0,1.0,1.0,1.0050915001525327,False,False,False
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,-0.03998431936279568,-0.007880755617425605,-78.80755617425605,0.1123187414906307,0.13595233488456515,1.0,1.0,1.0,1.0,1.0,0.9625096921338193,1.0,1.0,1.0,1.0,1.0,0.9280313035606983,1.0,1.0,1.0,1.0,1.0,1.0170482904631017,1.0,1.0,1.0,1.0,1.0,1.009511219550218,False,False,False
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,120,-0.03486298478356557,-0.007049387596580681,-70.49387596580681,0.12239295978502204,0.14670274878258235,1.0,1.0,1.0,1.0,1.0,0.9826462086780687,1.0,1.0,1.0,1.0,1.0,0.9731763766206317,1.0,1.0,1.0,1.0,1.0,1.0169347099570407,1.0,1.0,1.0,1.0,1.0,1.0114926391952064,False,False,False
2,delta_degree_percentile,INDUSTRY_SIZE_NEUTRAL,252,-0.03233989826791829,-0.006818090510010447,-68.18090510010447,0.13014483515786768,0.1548578383658123,1.0,1.0,1.0,1.0,1.0,0.9789079870305866,1.0,1.0,1.0,1.0,1.0,0.9888432833179305,1.0,1.0,1.0,1.0,1.0,1.0031929562924542,1.0,1.0,1.0,1.0,1.0,1.0058346158648859,False,False,False
2,delta_degree_percentile,RAW,60,-0.05077493534682359,-0.012462632493069937,-124.62632493069937,0.05924515848719582,0.12279187777181079,1.0,1.0,1.0,1.0,1.0,0.9550126395071593,1.0,1.0,1.0,1.0,1.0,0.918403972350973,0.9545454545454546,0.8333333333333334,1.0,1.0,1.0,1.1737180970912766,1.0,1.0,1.0,1.0,1.0,1.0194864906485845,False,False,False
2,delta_degree_percentile,RAW,120,-0.0461150159053922,-0.011493570029100997,-114.93570029100998,0.06158371040995433,0.13277004709111892,1.0,1.0,1.0,1.0,1.0,0.9851891431159019,1.0,1.0,1.0,1.0,1.0,0.9749037714895054,0.9318181818181818,0.8333333333333334,1.0,1.0,0.9375,1.211424663082903,1.0,1.0,1.0,1.0,1.0,1.0132359128238,False,False,False
2,delta_degree_percentile,RAW,252,-0.038938242958748606,-0.009604879042159713,-96.04879042159713,0.06248203904307742,0.14241775291260006,1.0,1.0,1.0,1.0,1.0,1.0042881770570877,0.9090909090909091,1.0,1.0,1.0,0.75,1.0280218836266772,0.9090909090909091,0.75,1.0,1.0,0.9375,1.281706045187966,1.0,1.0,1.0,1.0,1.0,1.0071499300669091,False,False,False
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,0.010895633136833865,0.0017198793172880226,17.198793172880226,-0.07789139775594071,-0.10523913293194793,0.8181818181818182,0.6666666666666666,1.0,1.0,0.75,1.2346174491918038,0.7272727272727273,0.6666666666666666,1.0,0.5,0.75,1.4924137967528615,0.9772727272727273,0.9166666666666666,1.0,1.0,1.0,0.9994313606373844,1.0,1.0,1.0,1.0,1.0,1.0042750598465016,False,False,False
3,cross_industry_degree_percentile,INDUSTRY_SIZE_NEUTRAL,120,0.012252619080596284,0.0020926856413408116,20.926856413408117,-0.07061165567092928,-0.09437211978869849,0.9090909090909091,1.0,1.0,1.0,0.75,1.0657510403520645,0.8181818181818182,1.0,1.0,1.0,0.5,1.3102972956566639,1.0,1.0,1.0,1.0,1.0,0.9734432766609971,1.0,1.0,1.0,1.0,1.0,0.9937403715583507,False,False,False
