signal_type,factor_order,factor_name,neutralization,window,target_name,regime_type,regime_value,month_count,sufficient_regime_months,first_date,last_date,mean_risk_ic,median_risk_ic,std_risk_ic,positive_share,negative_share,naive_se,naive_t_stat,calendar_hac_lag,calendar_hac_se,calendar_hac_t_stat,mean_pair_n,full_sample_risk_ic,same_sign_as_full_sample,abs_retention_vs_full
RISK_IC,1,residual_degree_percentile,RAW,60,future_realized_vol_annualized,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,-0.11365251990354762,-0.11264509040193596,0.10860340671436974,0.15441176470588236,0.8455882352941176,0.009312665296585428,-12.204080817252107,4,0.016902110497893155,-6.724161454139966,3885.051470588235,-0.11365251990354762,True,1.0
RISK_IC,1,residual_degree_percentile,RAW,60,future_realized_vol_annualized,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.05979340501475166,-0.0642051682968643,0.123137598784346,0.3111111111111111,0.6888888888888889,0.018356269431192875,-3.2573832738118624,3,0.03161862878457223,-1.8910815336788682,2586.0,-0.11365251990354762,True,0.5261071647641068
RISK_IC,1,residual_degree_percentile,RAW,60,future_realized_vol_annualized,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,-0.13282494420701174,-0.14684461064444,0.09458772804384658,0.1095890410958904,0.8904109589041096,0.011070656200927415,-11.997928740293162,3,0.014391397010972471,-9.229468418232202,3936.8082191780823,-0.11365251990354762,True,1.1686933498679573
RISK_IC,1,residual_degree_percentile,RAW,60,future_downside_vol_annualized,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,-0.10528824471258048,-0.1124490144901796,0.11521140002670974,0.18382352941176472,0.8161764705882353,0.009879296048434162,-10.657464276441877,4,0.017804990148765697,-5.913412129569722,3885.051470588235,-0.10528824471258048,True,1.0
RISK_IC,1,residual_degree_percentile,RAW,60,future_downside_vol_annualized,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.03920647092547407,-0.0546866262713297,0.1324664764487583,0.4,0.6,0.019746936405286568,-1.985445748180861,3,0.033462286856886736,-1.1716614316634832,2586.0,-0.10528824471258048,True,0.3723727281473944
RISK_IC,1,residual_degree_percentile,RAW,60,future_downside_vol_annualized,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,-0.12144530339230322,-0.124908051932387,0.1097250820348205,0.1506849315068493,0.8493150684931506,0.012842349477544928,-9.456626577921154,3,0.017025788830340425,-7.133020654871764,3936.8082191780823,-0.10528824471258048,True,1.1534554852142216
RISK_IC,1,residual_degree_percentile,RAW,60,future_max_drawdown,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,-0.09037251737740692,-0.10760212911955569,0.10664735846983672,0.22794117647058823,0.7720588235294118,0.009144935543381477,-9.882247605650191,4,0.014666877510460379,-6.161673970001691,3885.051470588235,-0.09037251737740692,True,1.0
RISK_IC,1,residual_degree_percentile,RAW,60,future_max_drawdown,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.03895836201809993,-0.0260849481365065,0.11959058167190134,0.4,0.6,0.01782751133914079,-2.1852944741965064,3,0.026512777359192528,-1.469418367238401,2586.0,-0.09037251737740692,True,0.43108638719672865
RISK_IC,1,residual_degree_percentile,RAW,60,future_max_drawdown,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,-0.10469301890347588,-0.1107828689359889,0.10813815706087174,0.2054794520547945,0.7945205479452054,0.012656613958079776,-8.271803126036056,3,0.016377648046034633,-6.392433065431774,3936.8082191780823,-0.09037251737740692,True,1.1584608013768694
RISK_IC,1,residual_degree_percentile,RAW,60,future_idio_vol_annualized,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,-0.10793537876102074,-0.1114407304696922,0.08274186821632473,0.09558823529411764,0.9044117647058824,0.007095056665573806,-15.212757818374882,4,0.011735694933818173,-9.19718681933259,3885.051470588235,-0.10793537876102074,True,1.0
RISK_IC,1,residual_degree_percentile,RAW,60,future_idio_vol_annualized,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.07348019737091152,-0.0732583693342221,0.08590597216799785,0.17777777777777778,0.8222222222222222,0.012806106229389878,-5.737903157657341,3,0.02008716376850344,-3.658067321884838,2586.0,-0.10793537876102074,True,0.6807795387794368
RISK_IC,1,residual_degree_percentile,RAW,60,future_idio_vol_annualized,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,-0.123689843998801,-0.1234792553216391,0.07593678799256307,0.0410958904109589,0.958904109589041,0.008887728781038934,-13.916923777273752,3,0.011392861814023195,-10.85678436357002,3936.8082191780823,-0.10793537876102074,True,1.1459620137402968
RISK_IC,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_realized_vol_annualized,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,-0.07450813430410484,-0.08073355542146904,0.08604794333767071,0.19117647058823528,0.8088235294117647,0.007378550268416648,-10.097936802440927,4,0.013582682192867264,-5.485524379215148,3885.051470588235,-0.07450813430410484,True,1.0
RISK_IC,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_realized_vol_annualized,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.014316541356327601,-0.0037184097509721,0.08847073324692971,0.4666666666666667,0.5333333333333333,0.013188438237292367,-1.0855372788451438,3,0.021496670087664527,-0.6659887925871314,2586.0,-0.07450813430410484,True,0.19214736068809157
RISK_IC,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_realized_vol_annualized,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,-0.0884609238149586,-0.0863956751150354,0.0769455510985817,0.136986301369863,0.863013698630137,0.009005795572216486,-9.822666204845552,3,0.012154284932189433,-7.278167683948112,3936.8082191780823,-0.07450813430410484,True,1.1872653186282383
RISK_IC,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_downside_vol_annualized,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,-0.0668543834454919,-0.07241435473103641,0.09412847442851216,0.22794117647058823,0.7720588235294118,0.008071450093056329,-8.282821881412001,4,0.014936551411551605,-4.4758914961982565,3885.051470588235,-0.0668543834454919,True,1.0
RISK_IC,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_downside_vol_annualized,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,0.004104027152798945,0.012374146237314,0.09588932465388819,0.5555555555555556,0.4444444444444444,0.014294336549509365,0.28710861386146747,3,0.023833811022922254,0.17219349221372454,2586.0,-0.0668543834454919,False,0.06138755518020841
RISK_IC,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_downside_vol_annualized,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,-0.0785197094891597,-0.0880154737848958,0.09007389890123174,0.1917808219178082,0.8082191780821918,0.010542352459828448,-7.448025456211832,3,0.014620069233228321,-5.370679730483152,3936.8082191780823,-0.0668543834454919,True,1.1744885741587738
RISK_IC,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_max_drawdown,ALL_SAMPLE,ALL,136,True,2015-04-30,2026-07-31,-0.06471217024914203,-0.06422434347318576,0.08520715130717925,0.22058823529411764,0.7794117647058824,0.007306452946602457,-8.856851706577206,4,0.01230936711766414,-5.257148448865338,3885.051470588235,-0.06471217024914203,True,1.0
RISK_IC,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_max_drawdown,TIME_SUBSAMPLE,P1_2015_2018,45,True,2015-04-30,2018-12-28,-0.011711638774902257,-0.0047015157236662,0.0885594122617461,0.4888888888888889,0.5111111111111111,0.013201657724312844,-0.8871339508623608,3,0.020307951067778076,-0.5767021368041756,2586.0,-0.06471217024914203,True,0.1809804667315656
RISK_IC,1,residual_degree_percentile,INDUSTRY_SIZE_NEUTRAL,60,future_max_drawdown,MARKET_TREND,BULL,73,True,2015-04-30,2026-03-31,-0.07689264251608814,-0.0862165309386363,0.08697405543469426,0.2054794520547945,0.7945205479452054,0.010179543224376471,-7.553643697092121,3,0.013662244131185598,-5.628112173795233,3936.8082191780823,-0.06471217024914203,True,1.188225371209948
