factor_order,factor_name,method,window,target_name,month_count,mean_risk_ic,median_risk_ic,std_risk_ic,positive_share,negative_share,hac_lag,hac_se,hac_t_stat
1,residual_degree_percentile,RAW_COMMON,60,future_realized_vol_annualized,133,-0.12041172801254874,-0.11979554521675663,0.10616374103649845,0.14285714285714285,0.8571428571428571,4,0.016656584217153103,-7.229076888918655
1,residual_degree_percentile,RAW_COMMON,60,future_downside_vol_annualized,133,-0.11302446310595778,-0.11740354822079997,0.11073824650169099,0.16541353383458646,0.8345864661654135,4,0.017384174784690898,-6.50157194723393
1,residual_degree_percentile,RAW_COMMON,60,future_max_drawdown,133,-0.09597437648065724,-0.10980691525750241,0.10368679568252932,0.20300751879699247,0.7969924812030075,4,0.014396253673829617,-6.666621654154739
1,residual_degree_percentile,RAW_COMMON,60,future_idio_vol_annualized,133,-0.11285545876452469,-0.11599785331639562,0.08109842448890926,0.08270676691729323,0.9172932330827067,4,0.011347670539871157,-9.945253377598153
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_realized_vol_annualized,133,-0.08108782092219716,-0.08809706655371148,0.08163007063302469,0.15789473684210525,0.8421052631578947,4,0.013058619731937884,-6.209524634818647
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_downside_vol_annualized,133,-0.07345255594270157,-0.08346318342987144,0.08979703240172139,0.18796992481203006,0.8120300751879699,4,0.014433493244185995,-5.089035252937763
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_max_drawdown,133,-0.06980845961109002,-0.06742827717892984,0.08242342090566286,0.20300751879699247,0.7969924812030075,4,0.01211393770094852,-5.762656316585153
1,residual_degree_percentile,INDUSTRY_SIZE_COMMON,60,future_idio_vol_annualized,133,-0.11352393061669647,-0.11086397324496235,0.06324497265003243,0.045112781954887216,0.9548872180451128,4,0.009166080860311118,-12.385220286267822
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_realized_vol_annualized,133,-0.03820370462290002,-0.0416452913395309,0.04566880938875983,0.17293233082706766,0.8270676691729323,4,0.005040966708627166,-7.578646484119362
1,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,future_downside_vol_annualized,133,-0.029764870614100488,-0.031305115316230044,0.04477212641841731,0.2706766917293233,0.7293233082706767,4,0.004917370571569479,-6.053005398086242
