factor_order,factor_name,control_name,window,month_count,mean_spearman_exposure,median_spearman_exposure
1,residual_degree_percentile,log_market_value,60,135,0.18007187015165627,0.17112838621652365
1,residual_degree_percentile,log_market_value,120,135,0.2750599509769369,0.278922936564645
1,residual_degree_percentile,log_market_value,252,129,0.3707858287073946,0.38543036555729093
1,residual_degree_percentile,log_turnover_20,60,135,-0.0987883379443357,-0.1069726946310747
1,residual_degree_percentile,log_turnover_20,120,135,-0.09502687563388688,-0.11244115898681246
1,residual_degree_percentile,log_turnover_20,252,129,-0.09884638304645282,-0.10174677707511091
1,residual_degree_percentile,momentum_120_20,60,135,-0.12198019674602815,-0.11567307995345101
1,residual_degree_percentile,momentum_120_20,120,135,-0.08108853646583036,-0.07199715831122983
1,residual_degree_percentile,momentum_120_20,252,129,-0.032225997954026704,-0.017231311461121546
1,residual_degree_percentile,reversal_20,60,135,-0.009220126285353179,-0.0008753894567347173
1,residual_degree_percentile,reversal_20,120,135,-0.010108092311144628,0.0014398551901237274
1,residual_degree_percentile,reversal_20,252,129,0.0014888909879862751,0.009829567027056521
1,residual_degree_percentile,volatility_60,60,135,-0.1439422300882433,-0.15746128274196652
1,residual_degree_percentile,volatility_60,120,135,-0.15196033081350488,-0.1675207840141194
1,residual_degree_percentile,volatility_60,252,129,-0.141545090149897,-0.1397549325206643
2,delta_degree_percentile,log_market_value,60,135,0.2855639943423817,0.28535475163562635
2,delta_degree_percentile,log_market_value,120,135,0.33724527665319265,0.3508751596948342
2,delta_degree_percentile,log_market_value,252,129,0.38815214812872806,0.3942640134789813
2,delta_degree_percentile,log_turnover_20,60,135,0.03229019639937312,0.046623564028541106
2,delta_degree_percentile,log_turnover_20,120,135,0.023578229988004643,0.016425681768650197
2,delta_degree_percentile,log_turnover_20,252,129,0.008534907296739856,0.0028381762584711446
2,delta_degree_percentile,momentum_120_20,60,135,0.16599813664539456,0.16732902099218686
2,delta_degree_percentile,momentum_120_20,120,135,0.20209304567987296,0.21783837010874926
2,delta_degree_percentile,momentum_120_20,252,129,0.10262796713416383,0.11251914946360951
2,delta_degree_percentile,reversal_20,60,135,0.05891975630006126,0.0584489774646674
2,delta_degree_percentile,reversal_20,120,135,0.0196751868030734,0.016823177407068755
2,delta_degree_percentile,reversal_20,252,129,0.0038725976480343347,0.007557743126232363
