analysis_date,window,universe_n,industry_id1_coverage,log_market_value_coverage,momentum_120_20_coverage,reversal_20_coverage,volatility_60_coverage,log_turnover_20_coverage,all_controls_complete_share
2015-04-30,60,1993,1.0,1.0,0.0,1.0,0.9924736578023081,1.0,0.0
2015-05-29,60,1914,1.0,1.0,0.0,1.0,0.9968652037617555,1.0,0.0
2015-06-30,60,1802,1.0,1.0,0.0,1.0,0.9977802441731409,1.0,0.0
2015-07-31,60,1572,1.0,1.0,0.9274809160305344,1.0,0.9904580152671756,1.0,0.9274809160305344
2015-07-31,120,1534,1.0,1.0,0.9921773142112125,1.0,1.0,1.0,0.9921773142112125
2015-08-31,60,1645,1.0,1.0,0.9094224924012158,1.0,0.9860182370820668,1.0,0.9094224924012158
2015-08-31,120,1506,1.0,1.0,0.9840637450199203,1.0,1.0,1.0,0.9840637450199203
2015-09-30,60,1769,1.0,1.0,0.9202939513849633,1.0,1.0,1.0,0.9202939513849633
2015-09-30,120,1562,1.0,1.0,0.9839948783610756,1.0,1.0,1.0,0.9839948783610756
2015-10-30,60,1962,1.0,1.0,0.9459734964322121,1.0,0.9994903160040775,1.0,0.9459734964322121
2015-10-30,120,1618,1.0,1.0,0.9833127317676144,1.0,1.0,1.0,0.9833127317676144
2015-11-30,60,2037,1.0,1.0,0.9715267550319097,1.0,0.9995090819833088,1.0,0.9715267550319097
2015-11-30,120,1723,1.0,1.0,0.9860708067324434,1.0,1.0,1.0,0.9860708067324434
2015-12-31,60,2119,1.0,1.0,0.997168475696083,1.0,1.0,1.0,0.997168475696083
2015-12-31,120,1836,1.0,1.0,0.9994553376906318,1.0,1.0,1.0,0.9994553376906318
2016-01-29,60,2199,1.0,1.0,0.9972714870395635,1.0,1.0,1.0,0.9972714870395635
2016-01-29,120,1972,1.0,1.0,0.9994929006085193,1.0,1.0,1.0,0.9994929006085193
2016-01-29,252,1487,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-02-29,60,2241,1.0,1.0,0.9991075412762159,1.0,1.0,1.0,0.9991075412762159
2016-02-29,120,2013,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-02-29,252,1505,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-03-31,60,2290,1.0,1.0,0.9860262008733625,1.0,0.996943231441048,1.0,0.9860262008733625
2016-03-31,120,2061,1.0,1.0,0.9995147986414362,1.0,1.0,1.0,0.9995147986414362
2016-03-31,252,1540,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-04-29,60,2246,1.0,1.0,0.9844167408726625,1.0,0.9982190560997328,1.0,0.9844167408726625
2016-04-29,120,2077,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-04-29,252,1599,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-05-31,60,2265,1.0,1.0,0.9801324503311258,1.0,0.9973509933774835,1.0,0.9801324503311258
2016-05-31,120,2124,1.0,1.0,0.993879472693032,1.0,1.0,1.0,0.993879472693032
2016-05-31,252,1665,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-06-30,60,2284,1.0,1.0,0.9890542907180385,1.0,0.999124343257443,1.0,0.9890542907180385
2016-06-30,120,2171,1.0,1.0,0.9990787655458314,1.0,1.0,1.0,0.9990787655458314
2016-06-30,252,1720,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-07-29,60,2332,1.0,1.0,0.9832761578044596,1.0,0.9982847341337907,1.0,0.9832761578044596
2016-07-29,120,2198,1.0,1.0,0.997270245677889,1.0,1.0,1.0,0.997270245677889
2016-07-29,252,1797,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-08-31,60,2409,1.0,1.0,0.9829804898298049,1.0,0.9983395599833956,1.0,0.9829804898298049
2016-08-31,120,2258,1.0,1.0,0.9968999114260407,1.0,1.0,1.0,0.9968999114260407
2016-08-31,252,1857,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-09-30,60,2429,1.0,1.0,0.9827089337175793,1.0,0.9983532317826266,1.0,0.9827089337175793
2016-09-30,120,2294,1.0,1.0,0.997384481255449,1.0,1.0,1.0,0.997384481255449
2016-09-30,252,1939,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-10-31,60,2451,1.0,1.0,0.9836801305589555,1.0,0.9983680130558955,1.0,0.9836801305589555
2016-10-31,120,2315,1.0,1.0,0.9974082073434125,1.0,1.0,1.0,0.9974082073434125
2016-10-31,252,1977,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-11-30,60,2460,1.0,1.0,0.9780487804878049,1.0,0.9979674796747967,1.0,0.9780487804878049
2016-11-30,120,2356,1.0,1.0,0.9970288624787776,1.0,1.0,1.0,0.9970288624787776
2016-11-30,252,2042,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2016-12-30,60,2499,1.0,1.0,0.9739895958383353,1.0,0.9963985594237695,1.0,0.9739895958383353
2016-12-30,120,2394,1.0,1.0,0.9979114452798663,1.0,1.0,1.0,0.9979114452798663
2016-12-30,252,2092,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-01-26,60,2537,1.0,1.0,0.9700433582972015,1.0,0.9976350019708317,1.0,0.9700433582972015
2017-01-26,120,2428,1.0,1.0,0.9942339373970346,1.0,1.0,1.0,0.9942339373970346
2017-01-26,252,2109,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-02-28,60,2579,1.0,1.0,0.967429236138038,1.0,0.9961225281116712,1.0,0.967429236138038
2017-02-28,120,2432,1.0,1.0,0.9950657894736842,1.0,1.0,1.0,0.9950657894736842
2017-02-28,252,2136,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-03-31,60,2663,1.0,1.0,0.9579421704844161,1.0,0.994742771310552,1.0,0.9579421704844161
2017-03-31,120,2490,1.0,1.0,0.9931726907630523,1.0,1.0,1.0,0.9931726907630523
2017-03-31,252,2163,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-04-28,60,2696,1.0,1.0,0.9484421364985163,1.0,0.994807121661721,1.0,0.9484421364985163
2017-04-28,120,2519,1.0,1.0,0.9940452560539896,1.0,1.0,1.0,0.9940452560539896
2017-04-28,252,2189,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-05-31,60,2699,1.0,1.0,0.9492404594294183,1.0,0.9970359392367544,1.0,0.9492404594294183
2017-05-31,120,2528,1.0,1.0,0.9920886075949367,1.0,1.0,1.0,0.9920886075949367
2017-05-31,252,2210,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2017-06-30,60,2750,1.0,1.0,0.9483636363636364,1.0,0.9956363636363637,1.0,0.9483636363636364
