factor_order,factor_name,window,raw_common_alpha_ic,industry_size_common_alpha_ic,full_control_alpha_ic,full_vs_ind_size_alpha_same_sign,full_vs_ind_size_alpha_abs_retention,raw_common_spread,industry_size_common_spread,full_control_spread,full_control_spread_bps,full_vs_ind_size_spread_same_sign,full_vs_ind_size_spread_abs_retention,raw_common_mean_risk_ic,industry_size_common_mean_risk_ic,full_control_mean_risk_ic,raw_common_ivol_ic,industry_size_common_ivol_ic,full_control_ivol_ic,full_vs_ind_size_ivol_same_sign,full_vs_ind_size_ivol_abs_retention,factor_sign_flipped,window_selected,factor_removed
10,residual_degree_percentile,60,0.0025183334854784935,0.011823536063747855,0.005875741541460843,True,0.49695298511216573,-0.0017212753367902114,0.0020296241615487807,0.001328340768441726,13.28340768441726,True,0.6544762294453993,-0.11056650659092211,-0.0844681917731713,-0.042889860093932655,-0.11285545876452469,-0.11352393061669647,-0.06905577122853519,True,0.6082926379786471,False,False,False
10,residual_degree_percentile,120,-0.001314454554433199,0.01266117392013736,0.008408233238288423,True,0.6640958643586189,-0.0008473128911713479,0.002896842065192182,0.002602941902027277,26.029419020272773,True,0.8985446370389519,-0.10082511329784352,-0.07315997758269258,-0.03527019887812518,-0.08991496737977643,-0.09777845473278929,-0.05699065123554771,True,0.5828548977511742,False,False,False
10,residual_degree_percentile,252,0.0023324799223116,0.015100460500096642,0.011903750358981233,True,0.7883037976825309,-0.0005583267288833699,0.0034277076723160586,0.0038759319312441755,38.759319312441754,True,1.1307650190091203,-0.09431448715316898,-0.06513453115662726,-0.03169458895146357,-0.06732298389070492,-0.08470697057137594,-0.04890246220760096,True,0.5773133176377105,False,False,False
30,delta_degree_percentile,60,-0.04975584960809376,-0.03886821070272217,-0.007488967799366835,True,0.19267590825430866,-0.012031748526010024,-0.007637774955258343,-0.0027890572519617177,-27.890572519617177,True,0.3651661993577788,0.054496818868705985,0.10851139186960168,-0.01610537386106491,0.12018225429042087,0.13186368770370402,0.013423177905717973,True,0.10179586313314457,False,False,False
30,delta_degree_percentile,120,-0.046402614888215336,-0.034457020248327905,-0.00534614639957436,True,0.15515405455971756,-0.011563857329738981,-0.007010121268821816,-0.001973158514623729,-19.73158514623729,True,0.28147280752467724,0.06058741956120439,0.12175523273515938,0.002904401236549072,0.1321394591066047,0.14575396048529848,0.034013604697484275,True,0.23336315928729132,False,False,False
30,delta_degree_percentile,252,-0.03893824295874862,-0.031713892054131214,-0.006144332348849575,True,0.19374261406837268,-0.00960487904215973,-0.006506284942692589,-0.002562273780292225,-25.62273780292225,True,0.3938151806846385,0.062482039043077434,0.13067270129923766,0.025509204909973035,0.1424177529126001,0.15463760940309104,0.061381470939918574,True,0.39693753141201643,False,False,False
70,cross_industry_degree_percentile,60,0.007091878234128986,0.011664576396810258,0.006155540982639683,True,0.5277123466157716,-0.0010081581997294458,0.0017386025207457064,0.0010967752939483612,10.967752939483612,True,0.6308372850385273,-0.12033647212166595,-0.0844668714446489,-0.0464976379278009,-0.12741057126948965,-0.11156055200012992,-0.07072233141399874,True,0.6339367289426497,False,False,False
70,cross_industry_degree_percentile,120,0.0025338582549568854,0.012386424594856558,0.008686778597014763,True,0.7013144536173848,-0.000755725795958545,0.0021479059465835232,0.0020850595484772907,20.850595484772906,True,0.9707406191569065,-0.10801402008469733,-0.07184087004660727,-0.03760202179201634,-0.10300476742423299,-0.09560194562309576,-0.0584583355845487,True,0.6114764213587949,False,False,False
70,cross_industry_degree_percentile,252,0.003833424221134586,0.01402234442465314,0.01134461404682922,True,0.8090383250666618,0.0007322952398276538,0.0025460853212957296,0.0030034079811953576,30.034079811953575,True,1.179617963339458,-0.09691812436303532,-0.05910021871698762,-0.030829045813269604,-0.0759152182651263,-0.07750443646420684,-0.046687475957210935,True,0.6023845612860134,False,False,False
90,cross_industry_degree_ratio,60,0.009016826659819357,-0.0006105528070513173,-0.0019700066894730362,True,,0.0019296129393501457,-0.0006233341434221616,-0.001105738685839021,-11.05738685839021,True,,-0.017568073166512654,-0.0007097823260983562,-0.0015330783106120415,-0.01916631700870463,0.0140979558567633,0.01179696911755327,True,0.8367857891889935,False,False,False
