factor_order,factor_name,target_name,model_spec,beta_w60,beta_w120,beta_w252,beta_bps_w60,beta_bps_w120,beta_bps_w252,same_beta_sign_all_windows,hac_t_w60,hac_t_w120,hac_t_w252,hac_abs_ge_1p96_count,window_selected
1,residual_degree_percentile,future_excess_return,M3_FULL_CONTROLS,0.00039236785169243323,0.0008294634179908681,0.001360679668314114,3.9236785169243324,8.29463417990868,13.60679668314114,True,0.6696502729486961,1.3480870048147544,1.9944339557888344,1,False
2,delta_degree_percentile,future_excess_return,M3_FULL_CONTROLS,-0.0009318594803122741,-0.000932174270838573,-0.0010670348342231087,-9.31859480312274,-9.32174270838573,-10.670348342231087,True,-2.29184603318268,-1.9236269901755805,-2.1000047235975736,2,False
3,cross_industry_degree_percentile,future_excess_return,M3_FULL_CONTROLS,0.0002547409403713763,0.0006154279335689981,0.0009183580128617641,2.547409403713763,6.154279335689981,9.183580128617642,True,0.49676709786277606,1.1833006093814782,1.5750008546775367,0,False
4,cross_industry_degree_ratio,future_excess_return,M3_FULL_CONTROLS,-0.0006702774069862668,-0.0005523329952931145,-0.0008212565988378143,-6.702774069862667,-5.523329952931145,-8.212565988378143,True,-1.8158541329720308,-1.4110594664417375,-2.144985738785017,1,False
5,delta_residual_degree_percentile_1m,future_excess_return,M3_FULL_CONTROLS,0.00026174348505217805,0.00025691171281337513,0.0002766842941439954,2.6174348505217804,2.5691171281337515,2.7668429414399545,True,0.8660111252459498,0.9524124222815805,0.8811272694147826,0,False
6,delta_cross_industry_degree_percentile_1m,future_excess_return,M3_FULL_CONTROLS,0.0002752712247495546,0.00019700334178619704,0.00010986128941584972,2.7527122474955457,1.9700334178619703,1.0986128941584972,True,0.9919443549196093,0.8322867859917947,0.40307126134015453,0,False
7,neighbor_jaccard_1m,future_excess_return,M3_FULL_CONTROLS,0.0003415170228383515,9.58854512277321e-05,0.0005302425908581541,3.415170228383515,0.958854512277321,5.302425908581541,True,0.695241804479334,0.23199921568664836,1.261221472737723,0,False
8,neighbor_retention_1m,future_excess_return,M3_FULL_CONTROLS,0.00041680271792048654,0.00013303620082585473,0.0003951544205033113,4.1680271792048655,1.3303620082585472,3.951544205033113,True,0.9396098603337667,0.35805392207237546,1.0307671941939829,0,False
9,outside_community_degree_percentile,future_excess_return,M3_FULL_CONTROLS,-0.00031079300208744547,-0.0002594482350256025,0.0008843410298420147,-3.1079300208744547,-2.5944823502560252,8.843410298420146,False,-0.6195266614596574,-0.46116016150361894,1.4599093939518635,0,False
1,residual_degree_percentile,future_total_return,M3_FULL_CONTROLS,0.0003925048558988942,0.0008294743587331086,0.001360753509911171,3.925048558988942,8.294743587331086,13.60753509911171,True,0.6700126536421013,1.34837542227191,1.9949228047510315,1,False
2,delta_degree_percentile,future_total_return,M3_FULL_CONTROLS,-0.0009315923699932694,-0.0009319142167706293,-0.001066951477559369,-9.315923699932695,-9.319142167706293,-10.66951477559369,True,-2.2917494226522725,-1.9235491278718289,-2.100392525098791,2,False
3,cross_industry_degree_percentile,future_total_return,M3_FULL_CONTROLS,0.0002549002661735687,0.0006154290526314884,0.0009182900377031054,2.5490026617356873,6.154290526314884,9.182900377031054,True,0.49716505074370154,1.1835395666253314,1.5751821654779943,0,False
4,cross_industry_degree_ratio,future_total_return,M3_FULL_CONTROLS,-0.0006702216704065435,-0.000552395025666542,-0.0008218608532018764,-6.702216704065434,-5.523950256665421,-8.218608532018765,True,-1.8161248322771062,-1.4116278021329116,-2.146936960029338,1,False
5,delta_residual_degree_percentile_1m,future_total_return,M3_FULL_CONTROLS,0.0002616785260142702,0.00025688728795485557,0.00027693251838836324,2.616785260142702,2.5688728795485556,2.7693251838836326,True,0.8659646078309435,0.9525476794081967,0.881909004869665,0,False
6,delta_cross_industry_degree_percentile_1m,future_total_return,M3_FULL_CONTROLS,0.00027521006897501566,0.00019698527645064758,0.00011009717883028763,2.7521006897501565,1.9698527645064758,1.1009717883028762,True,0.9919054019573216,0.832425716158204,0.40395706797913067,0,False
7,neighbor_jaccard_1m,future_total_return,M3_FULL_CONTROLS,0.00034149090878997536,9.61060615808613e-05,0.0005303927411748258,3.4149090878997534,0.961060615808613,5.303927411748258,True,0.695298145089368,0.2325830825524436,1.2618969470246597,0,False
8,neighbor_retention_1m,future_total_return,M3_FULL_CONTROLS,0.0004167428278720983,0.00013321631206171755,0.0003953309803578886,4.167428278720983,1.3321631206171756,3.953309803578886,True,0.9396021744863275,0.3586124123698305,1.031419796641135,0,False
9,outside_community_degree_percentile,future_total_return,M3_FULL_CONTROLS,-0.0003104897619190153,-0.0002592025683315457,0.0008845038642666746,-3.1048976191901527,-2.592025683315457,8.845038642666747,False,-0.6190299023998664,-0.4608333202178646,1.4604620097232857,0,False
