qa_name,qa_value
expected_window_rows,27
actual_window_rows,27
window_row_count_ok,True
factor_row_count,9
factor_row_count_ok,True
factor_window_keys_unique,True
factor_keys_unique,True
observed_windows,"[60, 120, 252]"
window_set_ok,True
max_abs_step2_alpha_ic_internal_difference,0.0
step2_alpha_internal_consistency_ok,True
missing_full_control_alpha_ic_count,0
missing_full_control_spread_bps_count,0
missing_ivol_ic_count,0
missing_m3_beta_bps_per_1sd_count,0
missing_mean_roundtrip_traded_notional_ratio_count,0
missing_descriptive_break_even_one_way_cost_bps_count,0
all_parent_qa_pass,True
factor_selection_performed,False
factor_removal_performed,False
sign_flip_performed,False
window_selection_performed,False
all_formal_qa_pass,True
