analysis_date,universe_n,current_record_n,current_record_share,current_open_known_n,current_open_share,current_suspended_n,full_coverage_20_n,full_coverage_20_share,coverage_20_ge_80pct_share,adv20_nonmissing_share,full_coverage_60_n,full_coverage_60_share,coverage_60_ge_80pct_share,adv60_nonmissing_share
2015-04-30,1993,1993,1.0,1993,0.9739086803813347,52,1993,1.0,1.0,1.0,1993,1.0,1.0,1.0
2015-05-29,1914,1914,1.0,1914,0.9540229885057471,88,1914,1.0,1.0,1.0,1914,1.0,1.0,1.0
2015-06-30,1802,1802,1.0,1802,0.9650388457269701,63,1802,1.0,1.0,1.0,1802,1.0,1.0,1.0
2015-07-31,1763,1763,1.0,1763,0.9778786159954623,39,1763,1.0,1.0,1.0,1751,0.9931934203062961,1.0,0.9931934203062961
2015-08-31,1813,1813,1.0,1813,0.9784886927744071,39,1813,1.0,1.0,1.0,1791,0.987865416436845,1.0,0.987865416436845
2015-09-30,1901,1901,1.0,1901,0.9857969489742241,27,1901,1.0,1.0,1.0,1901,1.0,1.0,1.0
2015-10-30,2015,2015,1.0,2015,0.9841191066997519,32,2015,1.0,1.0,1.0,2015,1.0,1.0,1.0
2015-11-30,2087,2087,1.0,2087,0.9803545759463345,41,2087,1.0,1.0,1.0,2087,1.0,1.0,1.0
2015-12-31,2169,2169,1.0,2169,0.979253112033195,45,2169,1.0,1.0,1.0,2169,1.0,1.0,1.0
2016-01-29,2287,2287,1.0,2287,0.9763882815916047,54,2287,1.0,1.0,1.0,2287,1.0,1.0,1.0
2016-02-29,2326,2326,1.0,2326,0.9673258813413586,76,2326,1.0,1.0,1.0,2326,1.0,1.0,1.0
2016-03-31,2391,2391,1.0,2391,0.9602676704307821,95,2391,1.0,1.0,1.0,2390,0.999581764951903,1.0,0.999581764951903
2016-04-29,2379,2379,1.0,2379,0.9613282891971416,92,2379,1.0,1.0,1.0,2375,0.9983186212694409,1.0,0.9983186212694409
2016-05-31,2389,2389,1.0,2389,0.9744663038928422,61,2389,1.0,1.0,1.0,2384,0.9979070740895772,1.0,0.9979070740895772
2016-06-30,2403,2403,1.0,2403,0.9758635039533916,58,2403,1.0,1.0,1.0,2401,0.9991677070328756,1.0,0.9991677070328756
2016-07-29,2452,2452,1.0,2452,0.9800163132137031,49,2452,1.0,1.0,1.0,2448,0.99836867862969,1.0,0.99836867862969
2016-08-31,2510,2510,1.0,2510,0.9788844621513945,53,2510,1.0,1.0,1.0,2507,0.998804780876494,1.0,0.998804780876494
2016-09-30,2558,2558,1.0,2558,0.9691164972634871,79,2558,1.0,1.0,1.0,2555,0.9988272087568413,1.0,0.9988272087568413
2016-10-31,2571,2571,1.0,2571,0.9782185919875535,56,2571,1.0,1.0,1.0,2567,0.9984441851419681,1.0,0.9984441851419681
2016-11-30,2599,2599,1.0,2599,0.972297037322047,72,2599,1.0,1.0,1.0,2595,0.9984609465178915,1.0,0.9984609465178915
2016-12-30,2630,2630,1.0,2630,0.979467680608365,54,2630,1.0,1.0,1.0,2622,0.996958174904943,1.0,0.996958174904943
2017-01-26,2664,2664,1.0,2664,0.9801051051051051,53,2664,1.0,1.0,1.0,2658,0.9977477477477478,1.0,0.9977477477477478
2017-02-28,2694,2694,1.0,2694,0.9766146993318485,63,2694,1.0,1.0,1.0,2687,0.9974016332590943,1.0,0.9974016332590943
2017-03-31,2756,2756,1.0,2756,0.9814949201741655,51,2756,1.0,1.0,1.0,2744,0.9956458635703919,1.0,0.9956458635703919
2017-04-28,2795,2795,1.0,2795,0.9738819320214669,73,2795,1.0,1.0,1.0,2784,0.9960644007155635,1.0,0.9960644007155635
2017-05-31,2797,2797,1.0,2797,0.9760457633178405,67,2797,1.0,1.0,1.0,2790,0.9974973185555953,1.0,0.9974973185555953
2017-06-30,2841,2841,1.0,2841,0.9816965857092573,52,2841,1.0,1.0,1.0,2830,0.9961281239000352,1.0,0.9961281239000352
2017-07-31,2891,2891,1.0,2891,0.9761328260117607,69,2891,1.0,1.0,1.0,2882,0.9968868903493601,1.0,0.9968868903493601
2017-08-31,2926,2926,1.0,2926,0.9873547505126452,37,2926,1.0,1.0,1.0,2919,0.9976076555023924,1.0,0.9976076555023924
2017-09-29,2978,2978,1.0,2978,0.9855607790463399,43,2978,1.0,1.0,1.0,2972,0.9979852249832102,1.0,0.9979852249832102
2017-10-31,3029,3029,1.0,3029,0.9821723341036646,54,3029,1.0,1.0,1.0,3020,0.9970287223506108,1.0,0.9970287223506108
2017-11-30,3062,3062,1.0,3062,0.976485956890921,72,3062,1.0,1.0,1.0,3054,0.9973873285434357,1.0,0.9973873285434357
2017-12-29,3110,3110,1.0,3110,0.9807073954983923,60,3110,1.0,1.0,1.0,3102,0.997427652733119,1.0,0.997427652733119
2018-01-31,3149,3149,1.0,3149,0.9777707208637663,70,3149,1.0,1.0,1.0,3140,0.9971419498253413,1.0,0.9971419498253413
2018-02-28,3134,3134,1.0,3134,0.9725590299936184,86,3134,1.0,1.0,1.0,3129,0.9984045947670709,1.0,0.9984045947670709
2018-03-30,3130,3130,1.0,3130,0.9824281150159745,55,3130,1.0,1.0,1.0,3126,0.9987220447284345,1.0,0.9987220447284345
2018-04-27,3138,3138,1.0,3138,0.9869343530911409,41,3138,1.0,1.0,1.0,3135,0.9990439770554493,1.0,0.9990439770554493
2018-05-31,3168,3168,1.0,3168,0.9797979797979798,64,3168,1.0,1.0,1.0,3168,1.0,1.0,1.0
2018-06-29,3172,3172,1.0,3172,0.9848675914249685,48,3172,1.0,1.0,1.0,3170,0.9993694829760403,1.0,0.9993694829760403
2018-07-31,3217,3217,1.0,3217,0.9981349082996581,6,3217,1.0,1.0,1.0,3216,0.9996891513832763,1.0,0.9996891513832763
2018-08-31,3298,3298,1.0,3298,0.9975742874469375,8,3298,1.0,1.0,1.0,3294,0.9987871437234688,1.0,0.9987871437234688
2018-09-28,3362,3362,1.0,3362,0.9946460440214159,18,3362,1.0,1.0,1.0,3358,0.998810232004759,1.0,0.998810232004759
2018-10-31,3391,3391,1.0,3391,0.9920377469772929,27,3391,1.0,1.0,1.0,3390,0.9997051017398997,1.0,0.9997051017398997
2018-11-30,3425,3425,1.0,3425,0.9985401459854014,5,3425,1.0,1.0,1.0,3424,0.9997080291970802,1.0,0.9997080291970802
2018-12-28,3472,3472,1.0,3472,0.9982718894009217,6,3472,1.0,1.0,1.0,3471,0.9997119815668203,1.0,0.9997119815668203
2019-01-31,3518,3518,1.0,3518,0.9980102330869812,7,3518,1.0,1.0,1.0,3517,0.9997157475838545,1.0,0.9997157475838545
2019-02-28,3542,3542,1.0,3542,0.9968944099378882,11,3542,1.0,1.0,1.0,3538,0.9988706945228685,1.0,0.9988706945228685
2019-03-29,3556,3556,1.0,3556,0.9929696287964005,25,3556,1.0,1.0,1.0,3553,0.999156355455568,1.0,0.999156355455568
2019-04-30,3573,3573,1.0,3573,0.9865659109991604,48,3573,1.0,1.0,1.0,3571,0.9994402462916316,1.0,0.9994402462916316
2019-05-31,3573,3573,1.0,3573,0.9969213546039742,11,3573,1.0,1.0,1.0,3572,0.9997201231458158,1.0,0.9997201231458158
2019-06-28,3579,3579,1.0,3579,0.9986029617211511,5,3579,1.0,1.0,1.0,3578,0.9997205923442303,1.0,0.9997205923442303
2019-07-31,3591,3591,1.0,3591,0.9986076301865775,5,3591,1.0,1.0,1.0,3588,0.9991645781119465,1.0,0.9991645781119465
2019-08-30,3602,3602,1.0,3602,0.9983342587451416,6,3602,1.0,1.0,1.0,3601,0.9997223764575236,1.0,0.9997223764575236
2019-09-30,3617,3617,1.0,3617,0.9980646944982029,7,3617,1.0,1.0,1.0,3615,0.9994470555709152,1.0,0.9994470555709152
2019-10-31,3654,3654,1.0,3654,0.9969896004378763,11,3654,1.0,1.0,1.0,3649,0.9986316365626711,1.0,0.9986316365626711
2019-11-29,3664,3664,1.0,3664,0.9978165938864629,8,3664,1.0,1.0,1.0,3662,0.9994541484716157,1.0,0.9994541484716157
2019-12-31,3674,3674,1.0,3674,0.9980947196516059,7,3674,1.0,1.0,1.0,3672,0.9994556341861731,1.0,0.9994556341861731
2020-01-23,3698,3698,1.0,3698,0.9991887506760411,3,3698,1.0,1.0,1.0,3686,0.9967550027041644,1.0,0.9967550027041644
2020-02-28,3726,3726,1.0,3726,0.9997316156736447,1,3726,1.0,1.0,1.0,3717,0.9975845410628019,1.0,0.9975845410628019
2020-03-31,3748,3748,1.0,3748,0.9978655282817502,8,3748,1.0,1.0,1.0,3744,0.9989327641408752,1.0,0.9989327641408752
2020-04-30,3770,3770,1.0,3770,0.9872679045092838,48,3770,1.0,1.0,1.0,3762,0.9978779840848806,1.0,0.9978779840848806
2020-05-29,3782,3782,1.0,3782,0.9941829719725013,22,3782,1.0,1.0,1.0,3780,0.9994711792702274,1.0,0.9994711792702274
2020-06-30,3788,3788,1.0,3788,0.9934002111932418,25,3788,1.0,1.0,1.0,3785,0.999208025343189,1.0,0.999208025343189
2020-07-31,3808,3808,1.0,3808,0.9973739495798319,10,3808,1.0,1.0,1.0,3805,0.9992121848739496,1.0,0.9992121848739496
2020-08-31,3829,3829,1.0,3829,0.9981718464351006,7,3829,1.0,1.0,1.0,3822,0.9981718464351006,1.0,0.9981718464351006
2020-09-30,3867,3867,1.0,3867,0.9976726144297905,9,3867,1.0,1.0,1.0,3856,0.9971554176364107,1.0,0.9971554176364107
2020-10-30,3903,3903,1.0,3903,0.9982065078145017,7,3903,1.0,1.0,1.0,3894,0.9976940814757879,1.0,0.9976940814757879
2020-11-30,3968,3968,1.0,3968,0.9984879032258065,6,3968,1.0,1.0,1.0,3955,0.9967237903225806,1.0,0.9967237903225806
2020-12-31,4029,4029,1.0,4029,0.9977661950856291,9,4029,1.0,1.0,1.0,4022,0.9982625961777116,1.0,0.9982625961777116
2021-01-29,4059,4059,1.0,4059,0.9980290711998029,8,4059,1.0,1.0,1.0,4053,0.9985218033998522,1.0,0.9985218033998522
2021-02-26,4077,4077,1.0,4077,0.9977924944812362,9,4077,1.0,1.0,1.0,4068,0.9977924944812362,1.0,0.9977924944812362
2021-03-31,4125,4125,1.0,4125,0.9980606060606061,8,4125,1.0,1.0,1.0,4115,0.9975757575757576,1.0,0.9975757575757576
2021-04-30,4157,4157,1.0,4157,0.9908587923983642,38,4157,1.0,1.0,1.0,4151,0.9985566514313207,1.0,0.9985566514313207
2021-05-31,4189,4189,1.0,4189,0.9990451181666269,4,4189,1.0,1.0,1.0,4185,0.9990451181666269,1.0,0.9990451181666269
2021-06-30,4231,4231,1.0,4231,0.9976364925549516,10,4231,1.0,1.0,1.0,4219,0.9971637910659419,1.0,0.9971637910659419
2021-07-30,4289,4289,1.0,4289,0.9983679179295873,7,4289,1.0,1.0,1.0,4277,0.9972021450221497,1.0,0.9972021450221497
2021-08-31,4336,4336,1.0,4336,0.9990774907749077,4,4336,1.0,1.0,1.0,4325,0.9974630996309963,1.0,0.9974630996309963
2021-09-30,4380,4380,1.0,4380,0.9972602739726028,12,4380,1.0,1.0,1.0,4372,0.9981735159817352,1.0,0.9981735159817352
2021-10-29,4418,4418,1.0,4418,0.9993209597102761,3,4418,1.0,1.0,1.0,4405,0.9970574920778633,1.0,0.9970574920778633
2021-11-30,4454,4454,1.0,4454,0.998652896273013,6,4454,1.0,1.0,1.0,4448,0.998652896273013,1.0,0.998652896273013
