analysis_date,universe_n,adv20_n,adv20_mean,adv20_p01,adv20_p05,adv20_p10,adv20_p25,adv20_p50,adv20_p75,adv20_p90,adv20_p95,adv20_p99,adv60_n,adv60_mean,adv60_p01,adv60_p05,adv60_p10,adv60_p25,adv60_p50,adv60_p75,adv60_p90,adv60_p95,adv60_p99
2015-04-30,1993,1993,621065568.3334768,71420605.87179998,102027118.438,125067429.21840002,186633862.5,301683581.3,574131988.722,1297601666.42,2006114868.3499987,5486579400.739988,1993,423237828.22399294,48062964.280666664,72815195.57669999,88387614.18079998,127144377.75316666,211893184.1431667,407355689.0921666,881921157.1533332,1354301577.0633314,3648747719.797332
2015-05-29,1914,1914,671790231.7582636,92665798.48558506,136517970.007325,164959482.2692,235863461.925,370811485.75,654620674.3526253,1351417444.88,2057753966.3774993,4994844265.87196,1914,579734795.1542917,78493451.576075,110496435.37655003,131967563.0380167,189954803.62454167,301558384.17925,556777275.4708333,1160898913.267467,1880354161.8349998,4923034842.687876
2015-06-30,1802,1802,764499087.6080583,113779041.56835,155728221.37617493,184346306.0687499,271514686.84187496,442053270.1,820952042.3542507,1558279301.9900002,2483175822.26755,5034929394.1830015,1802,698818641.0382558,108389732.13142,142143902.96286666,172841389.48043334,239367187.68345833,381907158.1990833,694233274.4547082,1434033393.3233342,2210288459.2141643,5350892670.90915
2015-07-31,1763,1763,560258059.7292889,70148036.7345701,101634889.12490001,122768053.54559998,174681537.65975016,284204450.35,528918950.21175003,1119980849.4799998,1986486311.2599943,5097705530.608487,1751,694618488.3874959,111593913.40633327,144285682.97999993,171804812.03483325,240561226.34725004,384795728.42799914,690275447.2006668,1402044346.9333334,2365900812.452916,5167681001.533335
2015-08-31,1813,1813,439913805.3931445,58477459.523400016,86149920.06040001,104806276.77439988,163759328.58150005,262048102.08899993,487588351.0869997,918446454.800401,1340650701.4699998,2934609681.489997,1791,570664724.2487208,87896752.27745004,114157962.40833333,137701842.51666668,201461807.4565832,319120921.7966665,579546084.7593335,1144783902.9666667,1964976720.2754166,4034762863.4799914
2015-09-30,1901,1901,246601271.98973992,30311371.51399994,44485650.604499914,54256301.31599979,81237348.1,138474549.5364998,275962358.25,525229465.55,760534163.3505065,1560890295.8,1901,405651129.6568888,59401358.7156668,82519533.36666666,99907696.81499997,145879696.9,233630133.68416652,425181376.51666665,818987523.3666667,1277109201.8333333,2853854224.883333
2015-10-30,2015,2015,328812312.5683332,47225019.281689934,69299019.88824998,85109754.04050007,124856167.15649995,208110053.70149955,380474300.9665003,687754681.3900002,928009511.4517485,1730378103.7899992,2015,347386260.71483773,53061405.15374332,75386115.6632334,91973232.26876661,136225813.02399993,218935423.74000004,395428891.5833334,701316114.1754009,984357968.5553836,2141122854.8773634
2015-11-30,2087,2087,425893557.07992285,71812412.80548014,102363121.58949979,124696932.69920003,178432254.52674997,278767627.518,476491216.11374927,849052861.9858006,1189587182.2538998,2525304704.9149995,2087,344280052.04488486,58789550.37701342,81519354.0881,98144429.87023343,138541594.60308352,221247011.4954998,389692179.4866667,709168157.8008999,1018615018.7475834,1838163563.4427805
2015-12-31,2169,2169,294671226.2513831,53261809.02026011,77371966.6680999,90692356.46020016,131630599.61750011,194268546.90149957,339198563.8470009,565697289.8600001,857978107.8199995,1564433663.6513274,2169,363851692.18683714,68753861.33855999,94946506.14600006,114731815.13666667,160423499.40266687,251678283.82466665,411933151.82799965,717672219.4282333,1011363245.9439,1843438424.5550122
2016-01-29,2287,2287,197526739.10767072,34441726.69627978,45522556.65134975,55316786.27510026,79587206.46975021,129922126.68899994,225125846.74524918,403523440.79000014,600560500.2708999,1077794934.5922482,2287,304605927.4717971,59810177.678456664,83460666.81273302,100625908.72000001,137286988.8099169,210053827.9,346909814.5509994,589512377.3038665,861379893.1194663,1577543757.3686576
2016-02-29,2326,2326,176274195.1469839,25726525.22712474,37471888.73437472,46169179.2022501,66875905.66962381,116494339.69000092,207104715.56275004,379668544.57500005,522309011.8401207,949604313.6327496,2326,236390826.82724547,44991040.19583333,63149809.77400012,75059694.50641671,104962345.22029154,162284313.00391644,274518503.68554145,456782925.94583356,676138926.4602082,1206419510.3326259
2016-03-31,2391,2391,218665283.22629628,28792564.466449983,46378463.05,56752753.83200035,80974765.22150001,134454804.6,254878042.63875008,456443812.35,675344623.2687535,1274024234.5806987,2390,207066595.389802,37299494.09351834,49568873.08865832,59043528.873333335,83578034.06845827,137716831.2,247314382.59670806,433896657.8278654,600822076.8040669,1045990406.9096671
2016-04-29,2379,2379,213602736.36386237,26489448.033939965,52800012.27405001,66078874.42,94157059.98150006,147823321.65,249407438.75,436224037.9200001,591707876.7920996,1082883652.4413006,2375,209648307.09792456,37938273.85516672,50987826.26,62365891.03390002,86497412.04166667,140727777.19516653,250322571.59441644,420746330.3925991,582303521.0265622,1051827683.7445699
2016-05-31,2389,2389,158207669.92948014,24283989.50540001,32815792.14829979,39703890.00309975,58603784.9,98959029.95,176739207.1,323653504.1034998,452024954.4394004,986581678.653556,2384,199540701.55202734,36686960.99310501,50459848.76803343,60591052.09344954,84424830.77016659,134657662.45133317,236124050.7875,398301240.678767,553807852.3276498,954192705.1261475
2016-06-30,2403,2403,208109941.0305277,25394205.989939727,37572760.87125035,46601822.84740021,74939264.65300027,127710359.45,242709203.95574933,454342456.40950024,639657554.0583007,1174374351.5536015,2401,195831475.27611852,35335419.81666667,48194770.09333382,58344167.233333334,81348821.81049906,133304634.28333333,227770261.6178337,392757158.74800134,545964099.2008342,1000495921.7458339
2016-07-29,2452,2452,219511107.23581812,29246346.429859973,48323305.3025,60324394.53434976,88192400.2875,149238655.30475044,270947153.6088745,438999746.0774504,617637494.1193738,1111477023.5225995,2448,197579869.1267127,32016706.099999998,45085524.865833335,54325429.12838342,78428149.1157504,129929951.41033363,235614092.63549972,410285499.69646627,565918286.6283165,1031470112.7128011
2016-08-31,2510,2510,174985493.61539084,23640596.5855,35630845.93805012,43931016.84599993,66485721.550749965,109672500.4442501,194515692.4,352698647.36299974,550577477.238948,1092886251.0609996,2507,200808241.73147714,31423502.69964,47118794.33833333,57831528.33130002,83890603.78475001,136811332.62866744,239926945.5880832,408200509.9966668,553358725.5110835,990009536.8940266
2016-09-30,2558,2558,141644909.3924728,23084693.535394922,33917043.660000004,40711957.633800015,59251289.477124974,95545837.9077507,160698570.84875003,286589588.2958002,383812437.58620083,695978620.0989978,2555,177618758.38111734,31714851.17794341,44622482.20929983,55603632.271633044,78230813.075,122560193.45066668,207300683.56141657,345010732.77676606,493349735.98158336,893348014.8336997
2016-10-31,2571,2571,153631869.73572776,25225739.419999998,37242427.55,47062288.11949921,65875514.00000038,106344681.2800003,177193960.29325008,300782164.0260002,421163149.3027504,840646174.3052028,2567,162163344.95229176,31625001.612813447,42328941.86746653,51316495.26313337,72456712.86108336,111106597.60749944,185464498.99399987,315312275.5986993,439376699.1916665,824287792.915046
2016-11-30,2599,2599,215567398.5852605,34886162.677999996,53227144.79254994,63459764.6573999,88993246.64575005,138933259.1475006,238936613.58350068,423065753.55,627010708.8706998,1394859334.6623702,2595,176884550.63109088,36599862.5355897,50228869.96116674,60476348.62039999,80549545.38116646,121889704.06549886,200390310.00599992,344293809.3433333,468823349.3123332,919147998.5846438
2016-12-30,2630,2630,143915499.1258289,23173503.975980077,30521852.828748763,35935794.659600526,51785030.328750804,83443149.18274957,151874050.71849987,306862305.92934984,475350066.8219744,956863188.9980813,2622,179046133.6611299,37211019.498193204,49221449.84583333,57857261.818333335,78835685.48916742,120601374.08066685,202069099.51729217,345348961.04666674,503803113.3925176,982459975.3035514
2017-01-26,2664,2664,121565580.33589016,21261995.38275482,28209546.32679951,33546818.174500044,46306856.05837669,73225002.72400074,135521290.98162517,260765468.11679932,378904287.0887498,721228773.8279978,2658,165228188.66635826,34666794.472903386,43905104.74333333,51062903.977699816,69957784.815958,108996831.21666667,185854350.41575015,327193589.3019166,464532130.6267419,870703304.1335225
2017-02-28,2694,2694,139357762.5928753,19943987.34528013,28820863.900650404,34758860.23464981,50123055.258750245,83393146.61825103,156162262.56362265,300261013.9640999,443008402.88212305,840043434.9419667,2687,144704444.23428363,27094427.833796635,35889940.09166667,41160741.510766946,56585859.74008305,91331007.36666666,163627663.8725835,300252672.76666665,431379112.11876607,788854344.8856659
2017-03-31,2756,2756,161802775.6557612,24600064.0775,35390910.02462473,41909935.62224998,62314998.85524921,100606673.46375045,185490103.46037406,329999144.34700084,473230098.7133751,995412024.3842216,2744,145634740.57908696,27138899.49840474,35127576.26141665,41309361.672883466,59703743.42570814,94217218.90941614,171461830.21437505,299553205.0350002,406915269.4504998,788371104.6838342
2017-04-28,2795,2795,167870152.16419998,22114023.51464921,30715699.508150138,35284325.494699635,52255083.25249939,86575598.81700058,170316379.125,342351689.836299,552349962.7303,1321058242.664132,2784,161185102.42170754,26822268.885321688,35703244.66552533,41931390.58524988,62002114.56191673,100031546.45475012,183479738.90662295,332701355.05273414,471875112.9117072,970375199.642518
2017-05-31,2797,2797,130453042.6135191,12440649.855040528,19047990.360198364,23238574.62040115,34048919.55,57916379.21450043,121390410.91149989,264580713.6883001,480462567.86039937,1319780152.3066792,2790,156072719.6696089,24036139.499877702,32044200.20049986,37126091.03879974,54512674.29508334,89942883.78066713,170435713.94537506,320378041.03499997,496732105.2190543,1032448601.6655011
2017-06-30,2841,2841,125939004.4037177,10887864.48,17577647.35,22357602.28350067,33272336.85,61561237.9,125770436.62800065,279460540.9,440139043.1,1084114759.9120986,2830,141792852.49907818,18313358.373261783,23656929.203791033,28927160.73586656,42371701.76120828,72054689.59166667,143566862.2880838,301834170.5878494,485667338.8916666,1167233083.3270235
2017-07-31,2891,2891,152613477.96596953,11319393.294499246,18655677.064250186,22831649.7,36599792.1722496,67455625.3,149298157.64950028,327284661.6395035,566459802.8064995,1341463399.2622948,2882,137264214.48814467,15047143.832,20909721.715467203,25086749.843233418,38622800.02745851,69329361.38808313,138916514.01558343,306939588.2476999,469498615.5631998,1096840369.1000478
2017-08-31,2926,2926,158701657.1329604,12302660.217249919,19600930.63687477,24788237.0875,37100236.27999897,70381613.96875076,152659336.75124893,348434053.575,609078993.2,1345408292.0266259,2919,148780128.58547214,14964014.602140421,21139105.09619999,25593926.526700035,39743602.51791662,73126219.08333333,149421044.03891677,331569756.43253505,539406233.7883333,1212530635.7559772
