analysis_date,window,factor_name,method,common_sample_n,status,q1_n,q5_n
2015-04-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-04-30,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-04-30,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-04-30,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-04-30,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-04-30,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-04-30,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-04-30,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-04-30,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-05-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-05-29,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-05-29,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-05-29,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-05-29,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-05-29,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-05-29,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-05-29,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-05-29,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-06-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-06-30,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-06-30,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
2015-06-30,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,0,INSUFFICIENT_OBS,0,0
