qa_name,qa_value
max_abs_target_weight_sum_minus_1,1.1102230246251565e-16
target_weight_sum_ok,True
trade_keys_unique,True
max_delta_weight_identity_error,0.0
delta_weight_identity_ok,True
pass_rebalance_count,6802
max_abs_pretrade_weight_sum_minus_1,4.440892098500626e-16
max_abs_current_target_weight_sum_minus_1,4.440892098500626e-16
pretrade_weight_sum_ok,True
current_target_weight_sum_ok,True
turnover_within_0_1,True
max_buy_turnover_difference,3.3306690738754696e-16
max_sell_turnover_difference,4.440892098500626e-16
buy_sell_turnover_identity_ok,True
max_1bn_notional_identity_error_cny,0.0
monetary_notional_identity_ok,True
sort_pass_count,3583
sort_failure_count,35
future_outcome_used_to_form_current_portfolio,False
previous_interval_total_return_used_for_weight_drift,True
factor_sign_flip,False
factor_selection,False
window_selection,False
initial_formation_treated_as_rebalance,False
terminal_liquidation_assumed,False
all_formal_qa_pass,True
