factor_name,method,window,reconstructed_mean_q1_turnover,reconstructed_mean_q5_turnover,reconstructed_roundtrip_traded_notional_ratio,mean_q1_drift_turnover,mean_q5_drift_turnover,mean_roundtrip_traded_notional_ratio,q1_turnover_difference,q5_turnover_difference,roundtrip_difference
cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,0.517738220327743,0.4560917166408055,1.947659873937097,0.51835984985687,0.4580587627513935,1.952837225216527,-0.0006216295291270324,-0.001967046110588011,-0.005177351279429976
cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,0.3841360956564497,0.3119100383783826,1.3920922680696646,0.3849183024043364,0.3131897799713465,1.3962161647513658,-0.0007822067478867045,-0.0012797415929639011,-0.004123896681701211
cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,0.2905129991616093,0.21958924775607258,1.0202044938353638,0.291745360245299,0.2220022050852355,1.027495130661069,-0.001232361083689737,-0.0024129573291629125,-0.007290636825705077
cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,0.4673265328855841,0.4444248654143988,1.823502796599966,0.4674877703141247,0.4442675986604563,1.823510737949162,-0.00016123742854057266,0.00015726675394250877,-7.941349196016745e-06
cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,120,0.36705633333894083,0.3583688905424393,1.4508504477627602,0.3674815098472184,0.3593453665343583,1.4536537527631537,-0.00042517650827755826,-0.0009764759919189681,-0.0028033050003934967
cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,252,0.290920078185533,0.2881188332714555,1.158077822913977,0.2905869220771915,0.2900731725790063,1.161320189312396,0.00033315610834150355,-0.0019543393075507898,-0.0032423663984189055
delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,0.8594633774097042,0.8583398883641462,3.435606531547701,0.8598250772112785,0.8589835933160342,3.4376173410546254,-0.00036169980157430004,-0.0006437049518880356,-0.002010809506924449
delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,0.8086781169481713,0.8102564665738651,3.2378691670440727,0.8087631557122498,0.8114117274046369,3.240349766233773,-8.503876407850441e-05,-0.001155260830771776,-0.0024805991897003388
delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,0.7814131158679454,0.7827196493392987,3.128265530414488,0.7816652561490107,0.7846903135473572,3.132711139392736,-0.00025214028106534947,-0.00197066420805847,-0.004445608978247861
delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,0.506094838058193,0.5282485369302283,2.068686749976843,0.5068519859798892,0.5282172306072394,2.070138433174257,-0.0007571479216962329,3.130632298897762e-05,-0.0014516831974140665
delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,0.36210248318964006,0.3977273138945942,1.5196595941684685,0.3638227697782496,0.3988404296283473,1.5253263988131942,-0.0017202865886095653,-0.0011131157337531117,-0.005666804644725687
delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,0.2546100314637635,0.29223200067602545,1.0936840642795778,0.2561846428387654,0.2917515140474651,1.095872313772461,-0.001574611375001922,0.0004804866285603726,-0.0021882494928833207
delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,0.8445944812279864,0.8407715947493972,3.3707321519547673,0.8449864151443602,0.8418655526256545,3.37370393554003,-0.00039193391637382113,-0.0010939578762573232,-0.0029717835852625107
delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,0.7910411456753477,0.7941851291619808,3.170452549674657,0.7912610535442288,0.7954200805137537,3.173362268115965,-0.00021990786888115288,-0.0012349513517728727,-0.0029097184413080512
delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,0.7663319860866364,0.7660401471207701,3.064744266414813,0.7668480500388247,0.7688497158047158,3.071395531687081,-0.0005160639521882837,-0.0028095686839457734,-0.006651265272267892
neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,0.6828321810929137,0.6627526987161982,2.691169759618224,0.683291202529976,0.6643460133109628,2.6952744316818773,-0.00045902143706233467,-0.0015933145947645277,-0.004104672063653503
neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,120,0.6412075563993942,0.6060856423869778,2.494586397572744,0.6408627462958647,0.6066677186226632,2.4950609298370563,0.0003448101035294915,-0.0005820762356854026,-0.00047453226431226625
neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,252,0.6135945855188104,0.5995151791187954,2.426219529275212,0.6129355395306761,0.600000027223613,2.425871133508578,0.0006590459881342658,-0.00048484810481763674,0.00034839576663392435
neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,0.7287433431418534,0.7306953243286188,2.9188773349409445,0.7281015244231863,0.7312707618206393,2.918744572487651,0.0006418187186670865,-0.0005754374920204919,0.00013276245329363334
neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,120,0.7056385310375808,0.6963515126621789,2.8039800873995193,0.7048759133774012,0.6962075651117073,2.8021669569782164,0.0007626176601795986,0.00014394755047153485,0.0018131304213029331
neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,252,0.6916752582275372,0.6713831662259717,2.7261168489070178,0.6911193165301157,0.6725106197838869,2.727259872628005,0.0005559416974214582,-0.0011274535579152145,-0.0011430237209872907
outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,0.6162319919759542,0.5741036829717374,2.3806713498953833,0.6173977054412126,0.5755289098194248,2.385853230521275,-0.0011657134652584,-0.001425226847687422,-0.005181880625891644
outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,0.4981802778536117,0.43681913152260043,1.8699988187524244,0.5001170534597621,0.4387005953960983,1.8776352977117208,-0.0019367756061504093,-0.0018814638734978573,-0.007636478959296422
outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,0.38958588857646154,0.3243184606254766,1.4278086984038763,0.3915625993462235,0.3260693048040981,1.4352638083006433,-0.001976710769761969,-0.0017508441786215356,-0.007455109896767009
residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,0.48058379486871594,0.4366846484276273,1.8345368865926863,0.4816894902759842,0.438761166849889,1.840901314251746,-0.0011056954072682368,-0.0020765184222616972,-0.006364427659059757
residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,0.34624013183002506,0.2978607251655467,1.2882017139911435,0.3470301876736777,0.2996675605808234,1.2933954965090022,-0.0007900558436526595,-0.0018068354152767085,-0.005193782517858736
