qa_name,qa_value
drift_row_count,521280
drift_keys_unique,True
interval_pair_count,134
security_count,5418
short_interval_row_count,5131
pass_count,521173
nonpass_count,107
pass_share,0.999794736034377
pass_rows_have_return,True
nonpass_rows_have_no_return,True
drift_return_not_below_minus_one,True
pass_rows_have_full_market_day_coverage,True
source_duplicate_stock_date_count,0
source_invalid_return_below_minus_one_count,0
minimum_valid_interval_days_imposed,False
future_information_used,False
missing_return_zero_filled,False
suspension_return_zero_by_design,True
interval_left_endpoint_included,False
interval_right_endpoint_included,True
all_required_drift_returns_resolved,False
all_formal_qa_pass,True
