previous_analysis_date,analysis_date,interval_market_days,required_security_n,pass_n,pass_share,missing_source_record_n,unresolved_holding_return_n,missing_and_unresolved_n,short_interval_lt_10_days
2015-07-31,2015-08-31,21,1558,1558,1.0,0,0,0,False
2015-08-31,2015-09-30,20,1607,1607,1.0,0,0,0,False
2015-09-30,2015-10-30,17,1710,1710,1.0,0,0,0,False
2015-10-30,2015-11-30,21,1831,1831,1.0,0,0,0,False
2015-11-30,2015-12-31,23,1968,1968,1.0,0,0,0,False
2015-12-31,2016-01-29,20,2086,2086,1.0,0,0,0,False
2016-01-29,2016-02-29,16,2221,2221,1.0,0,0,0,False
2016-02-29,2016-03-31,23,2268,2268,1.0,0,0,0,False
2016-03-31,2016-04-29,20,2311,2311,1.0,0,0,0,False
2016-04-29,2016-05-31,21,2301,2301,1.0,0,0,0,False
2016-05-31,2016-06-30,20,2300,2300,1.0,0,0,0,False
2016-06-30,2016-07-29,21,2338,2338,1.0,0,0,0,False
2016-07-29,2016-08-31,23,2373,2373,1.0,0,0,0,False
2016-08-31,2016-09-30,20,2441,2441,1.0,0,0,0,False
2016-09-30,2016-10-31,16,2488,2488,1.0,0,0,0,False
2016-10-31,2016-11-30,22,2497,2497,1.0,0,0,0,False
2016-11-30,2016-12-30,22,2514,2514,1.0,0,0,0,False
2016-12-30,2017-01-26,18,2532,2532,1.0,0,0,0,False
2017-01-26,2017-02-28,18,2550,2550,1.0,0,0,0,False
2017-02-28,2017-03-31,23,2575,2575,1.0,0,0,0,False
2017-03-31,2017-04-28,18,2612,2612,1.0,0,0,0,False
2017-04-28,2017-05-31,20,2635,2635,1.0,0,0,0,False
2017-05-31,2017-06-30,22,2635,2635,1.0,0,0,0,False
2017-06-30,2017-07-31,21,2685,2685,1.0,0,0,0,False
2017-07-31,2017-08-31,23,2744,2744,1.0,0,0,0,False
2017-08-31,2017-09-29,21,2779,2779,1.0,0,0,0,False
2017-09-29,2017-10-31,17,2833,2833,1.0,0,0,0,False
2017-10-31,2017-11-30,22,2893,2893,1.0,0,0,0,False
2017-11-30,2017-12-29,21,2941,2941,1.0,0,0,0,False
2017-12-29,2018-01-31,22,2985,2985,1.0,0,0,0,False
2018-01-31,2018-02-28,15,3019,3019,1.0,0,0,0,False
2018-02-28,2018-03-30,22,3014,3014,1.0,0,0,0,False
2018-03-30,2018-04-27,18,3000,3000,1.0,0,0,0,False
2018-04-27,2018-05-31,22,3033,3033,1.0,0,0,0,False
2018-05-31,2018-06-29,20,3081,3081,1.0,0,0,0,False
2018-06-29,2018-07-31,22,3093,3093,1.0,0,0,0,False
2018-07-31,2018-08-31,23,3146,3146,1.0,0,0,0,False
2018-08-31,2018-09-28,19,3240,3240,1.0,0,0,0,False
2018-09-28,2018-10-31,18,3298,3298,1.0,0,0,0,False
2018-10-31,2018-11-30,22,3343,3343,1.0,0,0,0,False
2018-11-30,2018-12-28,20,3366,3364,0.9994058229352347,2,0,0,False
2018-12-28,2019-01-31,22,3415,3415,1.0,0,0,0,False
2019-01-31,2019-02-28,15,3460,3460,1.0,0,0,0,False
2019-02-28,2019-03-29,21,3477,3477,1.0,0,0,0,False
2019-03-29,2019-04-30,21,3496,3496,1.0,0,0,0,False
2019-04-30,2019-05-31,20,3496,3496,1.0,0,0,0,False
2019-05-31,2019-06-28,19,3508,3508,1.0,0,0,0,False
2019-06-28,2019-07-31,23,3513,3513,1.0,0,0,0,False
2019-07-31,2019-08-30,22,3545,3545,1.0,0,0,0,False
2019-08-30,2019-09-30,20,3546,3546,1.0,0,0,0,False
2019-09-30,2019-10-31,18,3560,3559,0.9997191011235955,1,0,0,False
2019-10-31,2019-11-29,21,3585,3583,0.999442119944212,2,0,0,False
2019-11-29,2019-12-31,22,3563,3562,0.9997193376368229,1,0,0,False
2019-12-31,2020-01-23,16,3580,3579,0.9997206703910615,1,0,0,False
2020-01-23,2020-02-28,20,3620,3619,0.9997237569060774,1,0,0,False
2020-02-28,2020-03-31,22,3631,3631,1.0,0,0,0,False
2020-03-31,2020-04-30,21,3640,3640,1.0,0,0,0,False
2020-04-30,2020-05-29,18,3648,3648,1.0,0,0,0,False
2020-05-29,2020-06-30,20,3694,3694,1.0,0,0,0,False
2020-06-30,2020-07-31,23,3715,3713,0.9994616419919247,2,0,0,False
2020-07-31,2020-08-31,21,3735,3732,0.9991967871485944,3,0,0,False
2020-08-31,2020-09-30,22,3733,3733,1.0,0,0,0,False
2020-09-30,2020-10-30,16,3753,3753,1.0,0,0,0,False
2020-10-30,2020-11-30,21,3781,3781,1.0,0,0,0,False
2020-11-30,2020-12-31,23,3809,3809,1.0,0,0,0,False
2020-12-31,2021-01-29,20,3829,3828,0.9997388352050144,1,0,0,False
2021-01-29,2021-02-26,15,3889,3889,1.0,0,0,0,False
2021-02-26,2021-03-31,23,3930,3926,0.9989821882951654,4,0,0,False
2021-03-31,2021-04-30,21,4004,4004,1.0,0,0,0,False
2021-04-30,2021-05-31,18,4031,4031,1.0,0,0,0,False
2021-05-31,2021-06-30,21,4048,4048,1.0,0,0,0,False
2021-06-30,2021-07-30,22,4105,4105,1.0,0,0,0,False
2021-07-30,2021-08-31,22,4139,4139,1.0,0,0,0,False
2021-08-31,2021-09-30,20,4170,4169,0.9997601918465228,1,0,0,False
2021-09-30,2021-10-29,16,4186,4185,0.9997611084567606,1,0,0,False
2021-10-29,2021-11-30,22,4214,4214,1.0,0,0,0,False
2021-11-30,2021-12-31,23,4270,4270,1.0,0,0,0,False
2021-12-31,2022-01-28,19,4336,4336,1.0,0,0,0,False
2022-01-28,2022-02-28,16,4373,4373,1.0,0,0,0,False
2022-02-28,2022-03-31,23,4412,4412,1.0,0,0,0,False
2022-03-31,2022-04-29,19,4451,4449,0.9995506627724107,2,0,0,False
2022-04-29,2022-05-31,19,4487,4483,0.9991085357700022,4,0,0,False
2022-05-31,2022-06-30,21,4505,4479,0.9942286348501664,26,0,0,False
2022-06-30,2022-07-29,21,4498,4498,1.0,0,0,0,False
2022-07-29,2022-08-31,23,4541,4541,1.0,0,0,0,False
2022-08-31,2022-09-30,21,4545,4545,1.0,0,0,0,False
2022-09-30,2022-10-31,16,4588,4588,1.0,0,0,0,False
2022-10-31,2022-11-30,22,4627,4627,1.0,0,0,0,False
2022-11-30,2022-12-30,22,4634,4634,1.0,0,0,0,False
2022-12-30,2023-01-31,16,4653,4653,1.0,0,0,0,False
2023-01-31,2023-02-28,20,4673,4672,0.9997860047078965,1,0,0,False
2023-02-28,2023-03-31,23,4728,4726,0.9995769881556683,2,0,0,False
2023-03-31,2023-04-28,19,4782,4782,1.0,0,0,0,False
2023-04-28,2023-05-31,20,4831,4830,0.9997930035189402,1,0,0,False
