previous_analysis_date,analysis_date,previous_market_index,current_market_index,interval_market_days,security_id,observed_market_days,resolved_holding_days,open_days,suspended_days,missing_record_days,unresolved_return_days,zero_gross_return_days,drift_total_return,status,short_interval_lt_10_days
2018-11-30,2018-12-28,2166,2186,20,000022.XSHE,17,17,14,3,3,0,0,,MISSING_SOURCE_RECORD,False
2018-11-30,2018-12-28,2166,2186,20,600270.XSHG,19,19,8,11,1,0,0,,MISSING_SOURCE_RECORD,False
2019-09-30,2019-10-31,2369,2387,18,002477.XSHE,6,6,6,0,12,0,0,,MISSING_SOURCE_RECORD,False
2019-10-31,2019-11-29,2387,2408,21,002018.XSHE,0,0,0,0,21,0,0,,MISSING_SOURCE_RECORD,False
2019-10-31,2019-11-29,2387,2408,21,002143.XSHE,20,20,20,0,1,0,0,,MISSING_SOURCE_RECORD,False
2019-11-29,2019-12-31,2408,2430,22,600747.XSHG,8,8,5,3,14,0,0,,MISSING_SOURCE_RECORD,False
2019-12-31,2020-01-23,2430,2446,16,000018.XSHE,3,3,3,0,13,0,0,,MISSING_SOURCE_RECORD,False
2020-01-23,2020-02-28,2446,2466,20,600240.XSHG,2,2,0,2,18,0,0,,MISSING_SOURCE_RECORD,False
2020-06-30,2020-07-31,2547,2570,23,002509.XSHE,13,13,13,0,10,0,0,,MISSING_SOURCE_RECORD,False
2020-06-30,2020-07-31,2547,2570,23,601558.XSHG,1,1,0,1,22,0,0,,MISSING_SOURCE_RECORD,False
2020-07-31,2020-08-31,2570,2591,21,002220.XSHE,6,6,6,0,15,0,0,,MISSING_SOURCE_RECORD,False
2020-07-31,2020-08-31,2570,2591,21,600069.XSHG,18,18,14,4,3,0,0,,MISSING_SOURCE_RECORD,False
2020-07-31,2020-08-31,2570,2591,21,600175.XSHG,9,9,5,4,12,0,0,,MISSING_SOURCE_RECORD,False
2020-12-31,2021-01-29,2673,2693,20,600317.XSHG,19,19,9,10,1,0,0,,MISSING_SOURCE_RECORD,False
2021-02-26,2021-03-31,2708,2731,23,600086.XSHG,12,12,8,4,11,0,0,,MISSING_SOURCE_RECORD,False
2021-02-26,2021-03-31,2708,2731,23,600247.XSHG,15,15,0,15,8,0,0,,MISSING_SOURCE_RECORD,False
2021-02-26,2021-03-31,2708,2731,23,600687.XSHG,2,2,0,2,21,0,0,,MISSING_SOURCE_RECORD,False
2021-02-26,2021-03-31,2708,2731,23,600978.XSHG,15,15,0,15,8,0,0,,MISSING_SOURCE_RECORD,False
2021-08-31,2021-09-30,2835,2855,20,600068.XSHG,8,8,1,7,12,0,0,,MISSING_SOURCE_RECORD,False
2021-09-30,2021-10-29,2855,2871,16,600723.XSHG,10,10,0,10,6,0,0,,MISSING_SOURCE_RECORD,False
2022-03-31,2022-04-29,2974,2993,19,002619.XSHE,17,17,0,17,2,0,0,,MISSING_SOURCE_RECORD,False
2022-03-31,2022-04-29,2974,2993,19,600145.XSHG,17,17,13,4,2,0,0,,MISSING_SOURCE_RECORD,False
2022-04-29,2022-05-31,2993,3012,19,000585.XSHE,13,13,13,0,6,0,0,,MISSING_SOURCE_RECORD,False
2022-04-29,2022-05-31,2993,3012,19,000835.XSHE,12,12,12,0,7,0,0,,MISSING_SOURCE_RECORD,False
2022-04-29,2022-05-31,2993,3012,19,603157.XSHG,13,13,9,4,6,0,0,,MISSING_SOURCE_RECORD,False
2022-04-29,2022-05-31,2993,3012,19,603996.XSHG,13,13,9,4,6,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,000502.XSHE,17,17,15,2,4,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,000611.XSHE,18,18,15,3,3,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,000613.XSHE,19,19,15,4,2,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,000687.XSHE,11,11,11,0,10,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,002147.XSHE,15,15,15,0,6,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,002447.XSHE,17,17,15,2,4,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,002464.XSHE,18,18,15,3,3,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,002473.XSHE,14,14,14,0,7,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,002618.XSHE,14,14,14,0,7,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,002684.XSHE,17,17,15,2,4,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,002770.XSHE,15,15,15,0,6,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,300023.XSHE,19,19,15,4,2,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,300038.XSHE,20,20,15,5,1,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,300064.XSHE,17,17,15,2,4,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,300178.XSHE,14,14,14,0,7,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,300325.XSHE,18,18,15,3,3,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,300367.XSHE,20,20,15,5,1,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,600091.XSHG,13,13,10,3,8,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,600146.XSHG,20,20,15,5,1,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,600209.XSHG,14,14,10,4,7,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,600275.XSHG,14,14,10,4,7,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,600291.XSHG,8,8,4,4,13,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,600652.XSHG,13,13,10,3,8,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,600695.XSHG,8,8,4,4,13,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,600870.XSHG,20,20,15,5,1,0,0,,MISSING_SOURCE_RECORD,False
2022-05-31,2022-06-30,3012,3033,21,600890.XSHG,13,13,10,3,8,0,0,,MISSING_SOURCE_RECORD,False
2023-01-31,2023-02-28,3174,3194,20,600260.XSHG,10,10,2,8,10,0,0,,MISSING_SOURCE_RECORD,False
2023-02-28,2023-03-31,3194,3217,23,600139.XSHG,18,18,0,18,5,0,0,,MISSING_SOURCE_RECORD,False
2023-02-28,2023-03-31,3194,3217,23,600311.XSHG,18,18,2,16,5,0,0,,MISSING_SOURCE_RECORD,False
2023-04-28,2023-05-31,3236,3256,20,300309.XSHE,18,18,15,3,2,0,0,,MISSING_SOURCE_RECORD,False
2023-05-31,2023-06-30,3256,3276,20,000150.XSHE,6,6,0,6,14,0,0,,MISSING_SOURCE_RECORD,False
2023-05-31,2023-06-30,3256,3276,20,000540.XSHE,19,19,0,19,1,0,0,,MISSING_SOURCE_RECORD,False
2023-05-31,2023-06-30,3256,3276,20,600122.XSHG,15,15,0,15,5,0,0,,MISSING_SOURCE_RECORD,False
2023-05-31,2023-06-30,3256,3276,20,600242.XSHG,18,18,14,4,2,0,0,,MISSING_SOURCE_RECORD,False
2023-05-31,2023-06-30,3256,3276,20,600466.XSHG,3,3,0,3,17,0,0,,MISSING_SOURCE_RECORD,False
2023-05-31,2023-06-30,3256,3276,20,600767.XSHG,18,18,14,4,2,0,0,,MISSING_SOURCE_RECORD,False
2023-05-31,2023-06-30,3256,3276,20,601258.XSHG,19,19,0,19,1,0,0,,MISSING_SOURCE_RECORD,False
2023-06-30,2023-07-31,3276,3297,21,000918.XSHE,19,19,0,19,2,0,0,,MISSING_SOURCE_RECORD,False
2023-06-30,2023-07-31,3276,3297,21,600077.XSHG,16,16,0,16,5,0,0,,MISSING_SOURCE_RECORD,False
2023-06-30,2023-07-31,3276,3297,21,600393.XSHG,11,11,0,11,10,0,0,,MISSING_SOURCE_RECORD,False
2023-09-28,2023-10-31,3340,3357,17,000666.XSHE,13,13,0,13,4,0,0,,MISSING_SOURCE_RECORD,False
2023-12-29,2024-01-31,3400,3422,22,002776.XSHE,17,17,0,17,5,0,0,,MISSING_SOURCE_RECORD,False
2023-12-29,2024-01-31,3400,3422,22,600290.XSHG,10,10,0,10,12,0,0,,MISSING_SOURCE_RECORD,False
2024-02-29,2024-03-29,3437,3458,21,002740.XSHE,1,1,0,1,20,0,0,,MISSING_SOURCE_RECORD,False
2024-02-29,2024-03-29,3437,3458,21,603555.XSHG,20,20,5,15,1,0,0,,MISSING_SOURCE_RECORD,False
2024-03-29,2024-04-30,3458,3478,20,000005.XSHE,17,17,0,17,3,0,0,,MISSING_SOURCE_RECORD,False
2024-05-31,2024-06-28,3498,3517,19,000416.XSHE,2,2,0,2,17,0,0,,MISSING_SOURCE_RECORD,False
2024-05-31,2024-06-28,3498,3517,19,002087.XSHE,18,18,15,3,1,0,0,,MISSING_SOURCE_RECORD,False
2024-05-31,2024-06-28,3498,3517,19,002699.XSHE,2,2,0,2,17,0,0,,MISSING_SOURCE_RECORD,False
2024-05-31,2024-06-28,3498,3517,19,600306.XSHG,16,16,12,4,3,0,0,,MISSING_SOURCE_RECORD,False
2024-05-31,2024-06-28,3498,3517,19,600321.XSHG,17,17,0,17,2,0,0,,MISSING_SOURCE_RECORD,False
2024-05-31,2024-06-28,3498,3517,19,600823.XSHG,8,8,0,8,11,0,0,,MISSING_SOURCE_RECORD,False
2024-06-28,2024-07-31,3517,3540,23,000971.XSHE,17,17,0,17,6,0,0,,MISSING_SOURCE_RECORD,False
2024-06-28,2024-07-31,3517,3540,23,600220.XSHG,7,7,0,7,16,0,0,,MISSING_SOURCE_RECORD,False
2024-06-28,2024-07-31,3517,3540,23,600277.XSHG,13,13,0,13,10,0,0,,MISSING_SOURCE_RECORD,False
2024-06-28,2024-07-31,3517,3540,23,600836.XSHG,8,8,0,8,15,0,0,,MISSING_SOURCE_RECORD,False
2024-07-31,2024-08-30,3540,3562,22,002325.XSHE,10,10,0,10,12,0,0,,MISSING_SOURCE_RECORD,False
2024-07-31,2024-08-30,3540,3562,22,002341.XSHE,16,16,0,16,6,0,0,,MISSING_SOURCE_RECORD,False
2024-07-31,2024-08-30,3540,3562,22,002435.XSHE,10,10,0,10,12,0,0,,MISSING_SOURCE_RECORD,False
2024-07-31,2024-08-30,3540,3562,22,002505.XSHE,21,21,0,21,1,0,0,,MISSING_SOURCE_RECORD,False
2024-07-31,2024-08-30,3540,3562,22,600112.XSHG,10,10,0,10,12,0,0,,MISSING_SOURCE_RECORD,False
2024-07-31,2024-08-30,3540,3562,22,600297.XSHG,19,19,0,19,3,0,0,,MISSING_SOURCE_RECORD,False
2025-01-27,2025-02-28,3660,3678,18,600898.XSHG,3,3,0,3,15,0,0,,MISSING_SOURCE_RECORD,False
2025-02-28,2025-03-31,3678,3699,21,603963.XSHG,14,14,0,14,7,0,0,,MISSING_SOURCE_RECORD,False
2025-03-31,2025-04-30,3699,3720,21,300117.XSHE,20,20,0,20,1,0,0,,MISSING_SOURCE_RECORD,False
2025-03-31,2025-04-30,3699,3720,21,600070.XSHG,20,20,7,13,1,0,0,,MISSING_SOURCE_RECORD,False
2025-03-31,2025-04-30,3699,3720,21,600811.XSHG,20,20,9,11,1,0,0,,MISSING_SOURCE_RECORD,False
2025-04-30,2025-05-30,3720,3739,19,300108.XSHE,17,17,0,17,2,0,0,,MISSING_SOURCE_RECORD,False
2025-04-30,2025-05-30,3720,3739,19,600705.XSHG,15,15,0,15,4,0,0,,MISSING_SOURCE_RECORD,False
2025-05-30,2025-06-30,3739,3759,20,002750.XSHE,18,18,15,3,2,0,0,,MISSING_SOURCE_RECORD,False
2025-08-29,2025-09-30,3803,3825,22,601989.XSHG,4,4,0,4,18,0,0,,MISSING_SOURCE_RECORD,False
2025-10-31,2025-11-28,3842,3862,20,000851.XSHE,6,6,0,6,14,0,0,,MISSING_SOURCE_RECORD,False
2025-11-28,2025-12-31,3862,3885,23,600200.XSHG,22,22,15,7,1,0,0,,MISSING_SOURCE_RECORD,False
2026-02-27,2026-03-31,3919,3941,22,002231.XSHE,19,19,0,19,3,0,0,,MISSING_SOURCE_RECORD,False
2026-02-27,2026-03-31,3919,3941,22,603056.XSHG,21,21,0,21,1,0,0,,MISSING_SOURCE_RECORD,False
2026-03-31,2026-04-30,3941,3962,21,600355.XSHG,17,17,3,14,4,0,0,,MISSING_SOURCE_RECORD,False
2026-05-29,2026-06-30,3980,4001,21,600421.XSHG,18,18,15,3,3,0,0,,MISSING_SOURCE_RECORD,False
2026-05-29,2026-06-30,3980,4001,21,600599.XSHG,18,18,15,3,3,0,0,,MISSING_SOURCE_RECORD,False
