qa_name,qa_value
max_abs_target_weight_sum_minus_1,1.1102230246251565e-16
target_weight_sum_ok,True
dedicated_drift_keys_unique,True
dedicated_drift_source_pass_share,0.999794736034377
dedicated_drift_source_nonpass_count,107
upstream_step2b_formal_qa_pass,True
rebalance_row_count,7166
rebalance_pass_count,6680
rebalance_pass_share,0.9321797376500139
initial_formation_count,54
incomplete_dedicated_drift_rebalance_count,432
both_legs_pass_count,3164
both_legs_pass_share,0.006429914139104811
trade_keys_unique,True
max_delta_weight_identity_error,0.0
delta_weight_identity_ok,True
max_abs_pretrade_weight_sum_minus_1,4.440892098500626e-16
pretrade_weight_sum_ok,True
turnover_within_0_1,True
max_buy_turnover_difference,4.440892098500626e-16
max_sell_turnover_difference,3.3306690738754696e-16
buy_sell_turnover_identity_ok,True
max_1bn_notional_identity_error_cny,0.0
monetary_notional_identity_ok,True
target_portfolios_recomputed,False
future_outcome_used_to_form_current_portfolio,False
statistical_future_label_used_for_weight_drift,False
dedicated_portfolio_accounting_drift_used,True
missing_drift_return_zero_filled,False
missing_drift_stock_dropped_and_renormalized,False
factor_sign_flip,False
factor_selection,False
window_selection,False
initial_formation_treated_as_rebalance,False
terminal_liquidation_assumed,False
all_formal_qa_pass,True
