factor_name,method,window,dedicated_mean_q1_turnover,dedicated_mean_q5_turnover,dedicated_roundtrip_traded_notional_ratio,mean_q1_drift_turnover,mean_q5_drift_turnover,mean_roundtrip_traded_notional_ratio,q1_turnover_difference,q5_turnover_difference,roundtrip_difference
cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,0.5159554171187901,0.45417121150269707,1.9402532572429743,0.51835984985687,0.4580587627513935,1.952837225216527,-0.002404432738079887,-0.0038875512486964414,-0.012583967973552657
cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,0.38236190732463626,0.3103330951500345,1.3853900049493415,0.3849183024043364,0.3131897799713465,1.3962161647513658,-0.0025563950797001245,-0.0028566848213120166,-0.010826159802024282
cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,0.2895657646584052,0.21896873168987804,1.0170689926965666,0.291745360245299,0.2220022050852355,1.027495130661069,-0.00217959558689379,-0.00303347339535745,-0.010426137964502313
cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,0.4653479478918382,0.4433175444017408,1.8173309845871581,0.4674877703141247,0.4442675986604563,1.823510737949162,-0.002139822422286497,-0.0009500542587154714,-0.006179753362003826
cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,120,0.3653368717775822,0.35546982299792973,1.4416133895510237,0.3674815098472184,0.3593453665343583,1.4536537527631537,-0.0021446380696362177,-0.0038755435364285495,-0.012040363212129979
cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,252,0.2895000542014173,0.2890474546951051,1.1570950177930448,0.2905869220771915,0.2900731725790063,1.161320189312396,-0.0010868678757742223,-0.001025717883901156,-0.00422517151935109
delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,0.8583954493356432,0.8572646734843563,3.431320245639999,0.8598250772112785,0.8589835933160342,3.4376173410546254,-0.0014296278756353864,-0.0017189198316779342,-0.006297095414626419
delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,0.8088040575658724,0.8096678880579122,3.236943891247569,0.8087631557122498,0.8114117274046369,3.240349766233773,4.090185362259913e-05,-0.0017438393467246183,-0.0034058749862038162
delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,0.7824443177647014,0.7825370678117431,3.129962771152889,0.7816652561490107,0.7846903135473572,3.132711139392736,0.0007790616156906349,-0.00215324573561404,-0.002748368239847032
delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,0.5037203914682317,0.5277334951291176,2.0629077731946985,0.5068519859798892,0.5282172306072394,2.070138433174257,-0.003131594511657565,-0.00048373547812174955,-0.007230659979558407
delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,0.35956337575283764,0.3956603749437495,1.5104475013931742,0.3638227697782496,0.3988404296283473,1.5253263988131942,-0.004259394025411978,-0.0031800546845978106,-0.01487889742002002
delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,0.25287717560057,0.2890718637668525,1.083898078734845,0.2561846428387654,0.2917515140474651,1.095872313772461,-0.003307467238195416,-0.0026796502806125666,-0.011974235037616188
delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,0.8437404799902906,0.8398486190632983,3.3671781981071778,0.8449864151443602,0.8418655526256545,3.37370393554003,-0.0012459351540696773,-0.0020169335623562157,-0.006525737432852008
delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,0.7910771625924448,0.7931810807774671,3.168516486739824,0.7912610535442288,0.7954200805137537,3.173362268115965,-0.00018389095178406034,-0.0022389997362866065,-0.004845781376141112
delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,0.7675779073720411,0.765932646841004,3.0670211084260903,0.7668480500388247,0.7688497158047158,3.071395531687081,0.0007298573332163993,-0.0029170689637117997,-0.004374423260990579
neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,0.6832937588622449,0.6624034523849454,2.6913944224943807,0.683291202529976,0.6643460133109628,2.6952744316818773,2.5563322688659795e-06,-0.0019425609260174115,-0.003880009187496647
neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,120,0.6413836217133768,0.6066727531374169,2.496112749701587,0.6408627462958647,0.6066677186226632,2.4950609298370563,0.0005208754175121122,5.034514753643471e-06,0.0010518198645308452
neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,252,0.6142346218429914,0.5997184620027379,2.4279061676914586,0.6129355395306761,0.600000027223613,2.425871133508578,0.0012990823123152362,-0.0002815652208750796,0.002035034182880757
neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,0.7292862608498122,0.7303938126323248,2.919360146964274,0.7281015244231863,0.7312707618206393,2.918744572487651,0.0011847364266258653,-0.0008769491883144909,0.0006155744766229709
neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,120,0.7056079871106373,0.696226967388196,2.8036699089976667,0.7048759133774012,0.6962075651117073,2.8021669569782164,0.0007320737332361382,1.9402276488666992e-05,0.0015029520194502766
neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,252,0.6926921175013883,0.6709436740653207,2.727271583133418,0.6911193165301157,0.6725106197838869,2.727259872628005,0.0015728009712725477,-0.0015669457185661928,1.1710505412931838e-05
