qa_name,qa_value
input_issue_count,107
audit_row_count,107
audit_row_count_matches_issue_count,True
audit_keys_unique,True
classification_complete,True
repair_eligible_count,107
remaining_unrepaired_issue_count,0
all_repairs_are_delist_boundary_only,True
all_repairs_have_delist_in_interval,True
all_repairs_have_zero_active_missing,True
all_repairs_have_zero_active_unresolved,True
all_repairs_have_no_post_delist_nonzero_return,True
all_repaired_returns_valid,True
original_pass_status_unchanged,True
max_original_pass_return_change,0.0
original_pass_return_unchanged,True
audited_drift_keys_unique,True
audited_valid_return_count,521280
audited_remaining_nonpass_count,0
valid_status_rows_have_return,True
true_source_gap_auto_filled,False
no_true_source_gap_auto_fill,True
missing_record_zero_filled,False
pre_delist_gap_zero_filled,False
future_information_used,False
factor_selection,False
window_selection,False
all_formal_qa_pass,True
