analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,status,previous_n,current_n,union_n,pass_drift_n,delist_cash_carry_n,pretrade_weight_sum,target_weight_sum,turnover,buy_weight,sell_weight,total_abs_trade_weight,trade_notional_per_100m_cny,trade_notional_per_1bn_cny
2015-07-31,,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,0,292,292,0,0,,1.0,,,,,,
2015-07-31,,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,0,292,292,0,0,,1.0,,,,,,
2015-07-31,,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,0,256,256,0,0,,1.0,,,,,,
2015-07-31,,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,0,255,255,0,0,,0.9999999999999999,,,,,,
2015-07-31,,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,0,273,273,0,0,,1.0,,,,,,
2015-07-31,,60,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,0,273,273,0,0,,1.0,,,,,,
2015-07-31,,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,0,292,292,0,0,,1.0,,,,,,
2015-07-31,,60,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,0,292,292,0,0,,1.0,,,,,,
2015-07-31,,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,0,273,273,0,0,,1.0,,,,,,
2015-07-31,,60,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,0,273,273,0,0,,1.0,,,,,,
2015-07-31,,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,0,271,271,0,0,,0.9999999999999998,,,,,,
2015-07-31,,60,neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,0,271,271,0,0,,0.9999999999999998,,,,,,
2015-07-31,,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,0,267,267,0,0,,1.0,,,,,,
2015-07-31,,60,neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,0,267,267,0,0,,1.0,,,,,,
2015-07-31,,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,0,292,292,0,0,,1.0,,,,,,
2015-07-31,,60,outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,0,292,292,0,0,,1.0,,,,,,
2015-07-31,,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,0,292,292,0,0,,1.0,,,,,,
2015-07-31,,60,residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,NO_PREVIOUS_FORMATION,0,292,292,0,0,,1.0,,,,,,
2015-07-31,,120,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,NO_PREVIOUS_FORMATION,0,305,305,0,0,,1.0,,,,,,
