qa_name,qa_value
max_abs_target_weight_sum_minus_1,1.1102230246251565e-16
target_weight_sum_ok,True
audited_drift_row_count,521280
audited_drift_all_valid,True
audited_drift_missing_return_count,0
audited_drift_pass_count,521173
audited_drift_delist_cash_carry_count,107
upstream_step2c_formal_qa_pass,True
rebalance_row_count,7166
rebalance_pass_count,7112
initial_formation_count,54
noninitial_rebalance_count,7112
noninitial_rebalance_pass_count,7112
noninitial_rebalance_pass_share,1.0
all_noninitial_rebalances_pass,True
pair_row_count,3583
initial_pair_count,27
noninitial_pair_count,3556
both_legs_pass_count_noninitial,3556
both_legs_pass_share_noninitial,1.0
all_noninitial_pairs_both_legs_pass,True
pair_failure_count,0
trade_keys_unique,True
max_delta_weight_identity_error,0.0
delta_weight_identity_ok,True
max_abs_pretrade_weight_sum_minus_1,4.440892098500626e-16
pretrade_weight_sum_ok,True
max_abs_target_weight_sum_rebalance_minus_1,4.440892098500626e-16
rebalance_target_weight_sum_ok,True
turnover_within_0_1,True
max_buy_turnover_difference,4.440892098500626e-16
max_sell_turnover_difference,3.3306690738754696e-16
buy_sell_turnover_identity_ok,True
max_1bn_notional_identity_error_cny,0.0
monetary_notional_identity_ok,True
all_required_trade_rows_have_valid_drift_status,True
required_trade_rows_missing_return_count,0
delist_cash_carry_used_in_trade_panel,True
target_portfolios_recomputed,False
frozen_target_portfolios_used,True
statistical_future_label_used_for_weight_drift,False
audited_dedicated_drift_used,True
missing_drift_return_zero_filled,False
missing_drift_stock_dropped,False
factor_sign_flip,False
factor_selection,False
window_selection,False
initial_formation_treated_as_rebalance,False
terminal_liquidation_assumed,False
canonical_freeze_pass,True
