factor_name,method,window,canonical_mean_q1_turnover,canonical_mean_q5_turnover,canonical_roundtrip_traded_notional_ratio,mean_q1_drift_turnover,mean_q5_drift_turnover,mean_roundtrip_traded_notional_ratio,q1_turnover_difference,q5_turnover_difference,roundtrip_difference
cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,0.5141274906351859,0.45345316110017386,1.9351613034707196,0.51835984985687,0.4580587627513935,1.952837225216527,-0.004232359221684079,-0.0046056016512196485,-0.017675921745807344
cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,0.3810566365602283,0.31022505235191183,1.3825633778242803,0.3849183024043364,0.3131897799713465,1.3962161647513658,-0.0038616658441080753,-0.0029647276194346706,-0.013652786927085492
cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,0.2852269988998357,0.21767775289885813,1.0058095035973877,0.291745360245299,0.2220022050852355,1.027495130661069,-0.006518361345463297,-0.004324452186377364,-0.021685627063681157
cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,0.4658216175820314,0.442623875102998,1.8168909853700588,0.4674877703141247,0.4442675986604563,1.823510737949162,-0.0016661527320933067,-0.0016437235574582876,-0.006619752579103189
cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,120,0.3647339502453315,0.35545543136011987,1.4403787632109029,0.3674815098472184,0.3593453665343583,1.4536537527631537,-0.002747559601886884,-0.0038899351742384125,-0.013274989552250815
cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,252,0.28821257111462184,0.28410965947351036,1.1446444611762643,0.2905869220771915,0.2900731725790063,1.161320189312396,-0.00237435096256966,-0.005963513105495921,-0.016675728136131607
delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,0.8585150774088743,0.8574944764514523,3.432019107720653,0.8598250772112785,0.8589835933160342,3.4376173410546254,-0.0013099998024042048,-0.0014891168645819741,-0.005598233333972136
delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,0.8082374660980962,0.8096290144298326,3.2357329610558576,0.8087631557122498,0.8114117274046369,3.240349766233773,-0.0005256896141535572,-0.001782712974804257,-0.004616805177915406
delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,0.780842349136098,0.7815770219304762,3.1248387421331483,0.7816652561490107,0.7846903135473572,3.132711139392736,-0.0008229070129127658,-0.0031132916168810087,-0.007872397259587771
delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,0.5040131506067549,0.5254941059598329,2.0590145131331754,0.5068519859798892,0.5282172306072394,2.070138433174257,-0.0028388353731343408,-0.0027231246474064275,-0.011123920041081536
delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,0.35985095992684757,0.39460937025844767,1.5089206603705905,0.3638227697782496,0.3988404296283473,1.5253263988131942,-0.003971809851402053,-0.004231059369899648,-0.016405738442603734
