qa_name,qa_value
canonical_step2_freeze_pass,True
value_unit_confirmed,True
value_scale_to_cny,1.0
stock_panel_row_count,8163975
canonical_trade_leg_group_count,7112
canonical_trade_pair_group_count,3556
expected_noninitial_leg_count,7112
expected_noninitial_pair_count,3556
trade_leg_group_count_matches_canonical,True
trade_pair_group_count_matches_canonical,True
original_trade_rows_requiring_liquidity_supplement,11667
original_unique_liquidity_supplement_key_count,2103
supplement_key_count,2103
delist_cash_carry_stock_rows,673
delist_cash_target_positive_count,0
delist_cash_nonzero_capacity_trade_count,0
max_normal_capacity_delta_change,0.0
normal_capacity_delta_unchanged,True
max_capacity_abs_trade_weight_increase,0.0
capacity_trade_not_inflated,True
capacity_trade_row_count,8163302
positive_capacity_trade_missing_adv20_count,0
positive_capacity_trade_missing_current_open_count,0
positive_capacity_trade_unresolved_primary_liquidity_count,0
positive_capacity_trade_missing_adv60_count,0
current_suspended_trade_row_count,54166
all_current_suspended_trades_have_infinite_primary_participation,True
max_cash_redeployment_identity_error,3.3219954564955856e-16
cash_redeployment_identity_ok,True
max_participation20_1bn_identity_error,7.275957614183426e-12
participation20_identity_ok,True
future_liquidity_used,False
future_reopen_information_used,False
adv_winsorized,False
aum_scenarios_selected_from_results,False
participation_caps_selected_from_results,False
factor_selection,False
window_selection,False
factor_sign_flip,False
short_borrowability_assumed,False
all_formal_qa_pass,True
