scope,portfolio_scope,factor_name,method,window,liquidity_basis,participation_cap,target_executable_share,execution_days,rebalance_n,no_trade_rebalance_n,capacity_status,mean_coverage_capacity_cny,mean_coverage_capacity_yi_cny,baseline_mean_executable_share,mean_executable_share_at_capacity,root_upper_bracket_cny,root_iterations,rebalance_capacity_zero_share,rebalance_capacity_infinite_share,rebalance_capacity_mean_cny_finite,rebalance_capacity_p10_cny_finite,rebalance_capacity_p25_cny_finite,rebalance_capacity_p50_cny_finite,rebalance_capacity_p75_cny_finite,rebalance_capacity_p90_cny_finite,share_rebalances_meeting_95pct_at_aggregate_capacity,gross_notional_at_capacity_cny,step3_grid_lower_pass_cny,step3_grid_upper_fail_cny,capacity_within_step3_grid_bracket
PORTFOLIO_LEG,Q1,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,858484619.505975,8.58484619505975,0.9876421158069548,0.9500000000003009,858484619.5112829,41,0.03731343283582089,0.0,1281691880.8761542,516994319.94729877,693193491.7544256,999042022.7675227,1510036542.2487183,2625447410.724096,0.6268656716417911,858484619.505975,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,894647369.7172583,8.946473697172584,0.9908391689687094,0.950000000000102,894647369.7249408,41,0.014925373134328358,0.0,1365747199.0283165,512176954.22049034,736549135.7279716,1114366403.1177335,1707803016.4875083,2826305446.9429097,0.6119402985074627,894647369.7172583,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,978917676.6870687,9.789176766870687,0.9908688990714793,0.9500000000003173,978917676.6943634,41,0.014925373134328358,0.0,1470193856.86095,533896324.06372106,806465300.965978,1159001031.5766385,1668854109.0083997,3156559507.854513,0.6492537313432836,978917676.6870687,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,962906579.1872882,9.62906579187288,0.9870694805028807,0.9500000000005573,962906579.1946318,41,0.05223880597014925,0.0,1379589511.3031807,520814042.6649808,788140610.022377,1101849891.6624665,1619733633.2143273,2818669084.83053,0.5895522388059702,962906579.1872882,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,872048202.1060386,8.720482021060386,0.9914247784220382,0.9500000000001927,872048202.1104109,41,0.014925373134328358,0.0,1354547230.4646406,527675478.96727103,747102034.0632951,1060130777.3213148,1581339481.6664748,2710140034.591757,0.6567164179104478,872048202.1060386,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,863272397.7645199,8.632723977645199,0.9919112373856832,0.9500000000003963,863272397.7690179,41,0.0,0.0,1324907395.6740506,503905329.0984465,730872879.864649,1058362531.1767443,1570975529.1358542,2577353602.354289,0.6865671641791045,863272397.7645199,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,877777485.7509143,8.777774857509144,0.9903742396698955,0.9500000000004388,877777485.7577665,41,0.022388059701492536,0.0,1337705016.7079537,509357512.14285165,747781338.1693176,1026419147.8148421,1562819557.5729487,2726665232.4016767,0.6417910447761194,877777485.7509143,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,885661079.2323403,8.856610792323403,0.9891551798578592,0.9500000000002489,885661079.2375377,41,0.022388059701492536,0.0,1357895484.3358755,474735742.89428455,696732130.4641702,1046432523.0863377,1635576515.8320677,3119999136.2826,0.6343283582089553,885661079.2323403,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q1,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,856045665.4520959,8.560456654520959,0.9914443024176236,0.950000000000183,856045665.4605501,40,0.014925373134328358,0.0,1334515789.932272,517340446.0998312,726623303.1657438,1040967359.0045936,1568894518.7904396,2660669239.6630397,0.6716417910447762,856045665.4520959,500000000.0,1000000000.0,True
PORTFOLIO_LEG,Q5,delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,ADV20,0.05,0.95,1,134,0,PASS,851732908.1009939,8.517329081009938,0.9918808231043592,0.9500000000001956,851732908.105405,41,0.0,0.0,1315373544.5976334,495544518.54727983,728791241.2897127,1072121629.0640664,1565350531.6194549,2526389539.032317,0.6791044776119403,851732908.1009939,500000000.0,1000000000.0,True
