qa_name,qa_value
step3_formal_qa_pass,True
primary_liquidity_basis_is_adv20,True
participation_cap_is_5pct,True
target_executable_share_is_95pct,True
execution_days_is_one,True
leg_rebalance_capacity_row_count,7112
pair_rebalance_capacity_row_count,3556
expected_leg_rebalance_count,7112
expected_pair_rebalance_count,3556
leg_rebalance_count_matches_step3,True
pair_rebalance_count_matches_step3,True
primary_effective_adv_missing_trade_count,0
leg_no_trade_rebalance_count,0
pair_no_trade_rebalance_count,0
leg_zero_capacity_rebalance_count,269
pair_zero_capacity_rebalance_count,115
max_factor_window_capacity_root_error,5.573319583618286e-13
factor_window_capacity_root_ok,True
grid_validation_missing_step3_count,0
max_step3_grid_executable_share_difference,4.440892098500626e-16
step3_grid_reproduced,True
capacity_grid_monotonicity_violation_count,0
capacity_grid_monotonicity_ok,True
factor_window_capacity_outside_grid_bracket_count,0
factor_window_capacity_within_grid_brackets,True
future_liquidity_used,False
future_reopen_information_used,False
adv_winsorized,False
capacity_threshold_selected_from_results,False
participation_cap_selected_from_results,False
factor_selection,False
window_selection,False
factor_sign_flip,False
transaction_cost_used_to_define_capacity,False
short_borrowability_assumed,False
capacity_estimated_by_grid_interpolation,False
all_formal_qa_pass,True
