analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,scope,portfolio_scope,liquidity_basis,participation_cap,target_executable_share,execution_days,trade_name_n,total_abs_trade_weight,zero_adv_trade_weight_share,capacity_status,capacity_cny,capacity_yi_cny,baseline_executable_share,coverage_at_capacity,root_upper_bracket_cny,root_iterations,name_capacity_p10_cny,name_capacity_p50_cny,name_capacity_p90_cny,gross_notional_at_capacity_cny
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,472,1.239961803317763,0.08254856402560416,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9174514359743959,0.9174514359743959,0.0,0,1980544549.6039188,5669770023.75,101029667233.26845,0.0
2015-09-30,2015-08-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,482,1.1327005249491713,0.03331602786363773,PASS,813203780.5537916,8.132037805537916,0.9666839721363623,0.950000000000379,813203780.5586343,40,982021736.7736183,3809524344.185,42144759353.28442,813203780.5537916
2015-10-30,2015-09-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,540,1.157920617410047,0.04032779266282147,PASS,1128885995.2332206,11.288859952332206,0.9596722073371784,0.9500000000000051,1128885995.2401526,40,1524193067.835998,5422470141.810303,69680018484.88728,1128885995.2332206
2015-11-30,2015-10-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,614,1.244271412820929,0.02563098383229859,PASS,2304671205.6721344,23.046712056721343,0.9743690161677014,0.9500000000004081,2304671205.691567,39,2603411546.6244555,7675137909.855907,97794999625.46658,2304671205.6721344
2015-12-31,2015-11-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,667,1.29604132704012,0.04809176828262666,PASS,1236017971.1517506,12.360179711517505,0.9519082317173733,0.9500000000000076,1236017971.1588607,40,2096323295.6740272,5955253672.297501,83708617767.12993,1236017971.1517506
2016-01-29,2015-12-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,679,1.1912180723328558,0.0561949927777291,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9438050072222708,0.9438050072222708,0.0,0,1457833708.1890461,4131209840.45172,49211094408.45822,0.0
2016-02-29,2016-01-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,650,0.9693601379569298,0.04338192918652579,PASS,874545083.7241611,8.745450837241611,0.9566180708134742,0.950000000000241,874545083.7291853,40,1243108455.9040003,4737576761.993583,133283326116.67805,874545083.7241611
2016-03-31,2016-02-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,684,1.0736384587325714,0.06639232279210104,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9336076772078987,0.9336076772078987,0.0,0,1482219668.4343426,5289761862.440001,136597091585.09566,0.0
2016-04-29,2016-03-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,712,1.2162175436129918,0.05069196094518168,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9493080390548185,0.9493080390548185,0.0,0,1716124984.0252326,4376898866.74262,74837973929.33292,0.0
2016-05-31,2016-04-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,711,1.2321059474875646,0.03532846448785161,PASS,836787014.3824995,8.367870143824994,0.9646715355121485,0.9500000000002602,836787014.390388,39,952870452.1460296,2900833846.3589363,74610592261.33478,836787014.3824995
2016-06-30,2016-05-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,699,1.154377713224698,0.03286440008163252,PASS,995496917.6467576,9.954969176467577,0.9671355999183675,0.9500000000002617,995496917.6521804,40,1289027712.0324838,4593335733.2395735,109469280553.25214,995496917.6467576
2016-07-29,2016-06-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,721,1.1940759536622354,0.029076636323726784,PASS,1428410834.856607,14.28410834856607,0.9709233636762731,0.9500000000005999,1428410834.8680294,39,1623277533.6760554,5006643651.120937,102008736186.28833,1428410834.856607
2016-08-31,2016-07-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,704,1.0487324428739764,0.01958382932838749,PASS,1174204038.6516528,11.742040386516528,0.9804161706716124,0.9500000000001559,1174204038.6623645,39,1277146441.2814317,4430226136.693052,145597217083.93573,1174204038.6516528
2016-09-30,2016-08-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,770,1.262595222380122,0.042410293133979676,PASS,822382014.3599887,8.223820143599887,0.9575897068660205,0.9500000000001887,822382014.3677521,39,1096683031.876994,2895144695.0700006,68427631722.765495,822382014.3599887
2016-10-31,2016-09-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,755,1.164211015757098,0.034331531371296214,PASS,1072666772.6997564,10.726667726997563,0.9656684686287038,0.9500000000002922,1072666772.7085967,39,1291034532.4394317,3570991580.7299995,119509770353.87343,1072666772.6997564
