analysis_date,previous_analysis_date,window,factor_name,method,scope,portfolio_scope,liquidity_basis,participation_cap,target_executable_share,execution_days,trade_name_n,total_abs_trade_weight,zero_adv_trade_weight_share,capacity_status,capacity_cny,capacity_yi_cny,baseline_executable_share,coverage_at_capacity,root_upper_bracket_cny,root_iterations,name_capacity_p10_cny,name_capacity_p50_cny,name_capacity_p90_cny,gross_notional_at_capacity_cny
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,885,2.0882344343094554,0.0741744597864625,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9258255402135376,0.9258255402135376,0.0,0,1952873102.7991087,7066592059.5,142948045246.88968,0.0
2015-09-30,2015-08-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,917,1.9765532662749323,0.03138898400414346,PASS,837799656.6828576,8.377996566828577,0.9686110159958565,0.9500000000003983,837799656.6877747,40,1001981162.0104492,4291592301.375,59404241497.66564,1675599313.3657153
2015-10-30,2015-09-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1057,2.189119424638712,0.03540862748414034,PASS,1333022375.492001,13.330223754920011,0.9645913725158598,0.9500000000000709,1333022375.4987755,40,1704610221.318503,5594935062.796821,66113438842.97675,2666044750.984002
2015-11-30,2015-10-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1201,2.3611248144855583,0.03604890343111228,PASS,2116674623.595518,21.16674623595518,0.9639510965688877,0.9500000000003738,2116674623.613274,39,2672657325.9693604,7533577168.280921,122325309539.71976,4233349247.191036
2015-12-31,2015-11-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1294,2.4173099617728586,0.04390049170717164,PASS,1536043557.1233325,15.360435571233324,0.9560995082928285,0.9500000000002682,1536043557.1368124,39,2023810351.0572224,5851774783.620001,69272667247.19353,3072087114.246665
2016-01-29,2015-12-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1302,2.130660186811446,0.04852350271383465,PASS,728514674.4538555,7.285146744538555,0.9514764972861651,0.9500000000000374,728514674.4589825,40,1452964952.9611597,4956810612.777508,64860901982.590645,1457029348.907711
2016-02-29,2016-01-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1256,1.7409815580279144,0.04494453736430898,PASS,847321752.8534098,8.473217528534098,0.955055462635691,0.9500000000000584,847321752.8585902,40,1282522490.6605108,5921953548.677059,163297020839.96484,1694643505.7068195
2016-03-31,2016-02-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1325,1.9655023611187263,0.06443266726760705,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9355673327323929,0.9355673327323929,0.0,0,1490812605.090521,6116204388.537157,136387334975.26775,0.0
2016-04-29,2016-03-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1402,2.339318449198567,0.042132306944815345,PASS,1220280562.7149467,12.202805627149468,0.9578676930551848,0.9500000000002464,1220280562.7261696,39,1673779684.9254444,4730030124.6767,89413021442.67506,2440561125.4298935
2016-05-31,2016-04-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1413,2.429229095153069,0.03558428532426329,PASS,818691260.0927306,8.186912600927306,0.9644157146757366,0.9500000000002932,818691260.1007721,39,941635263.381,2895316945.3822703,84832976016.04524,1637382520.1854613
2016-06-30,2016-05-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1378,2.2178136949197924,0.032019768953499395,PASS,1009191909.8179944,10.091919098179943,0.9679802310465007,0.9500000000002357,1009191909.8237882,40,1270575787.5518363,4811308255.594179,106788752393.35252,2018383819.6359887
2016-07-29,2016-06-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1426,2.328640259952535,0.032155021733318995,PASS,1315615312.7307234,13.156153127307233,0.9678449782666811,0.9500000000003817,1315615312.7424312,39,1597562645.8648512,5103089484.856878,92484839374.94633,2631230625.461447
2016-08-31,2016-07-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1383,1.9883199305035635,0.02294099056846792,PASS,1117025785.052888,11.170257850528879,0.9770590094315321,0.9500000000000894,1117025785.0638127,39,1275262168.3612158,4690753310.398491,181776402376.71698,2234051570.105776
2016-09-30,2016-08-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1500,2.3522459050838544,0.03944689291660042,PASS,896402940.8254579,8.964029408254579,0.9605531070833995,0.9500000000002853,896402940.8333533,39,1113378916.6872356,3163609366.783885,98202379147.33676,1792805881.6509159
2016-10-31,2016-09-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1531,2.4114862903152687,0.025280842659779562,PASS,1209815744.541149,12.09815744541149,0.9747191573402203,0.9500000000000363,1209815744.5495486,39,1250559488.3287618,3399218498.7857885,132408644002.35135,2419631489.082298
2016-11-30,2016-10-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1534,2.409357271323074,0.02977851415866924,PASS,1599693956.3163915,15.996939563163915,0.9702214858413309,0.9500000000005128,1599693956.3280194,39,1712838537.6520915,4267637997.427076,143382864121.16858,3199387912.632783
2016-12-30,2016-11-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1491,2.230600624113272,0.03044617694721269,PASS,949905506.2080741,9.49905506208074,0.9695538230527874,0.9500000000005058,949905506.2165979,39,1003161094.6798695,3249092489.2920284,80548114076.53278,1899811012.4161482
2017-01-26,2016-12-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1438,1.9426389516563556,0.020225246001875356,PASS,967885275.7138376,9.678852757138376,0.9797747539981246,0.9500000000007264,967885275.722028,39,945159036.5930877,3511998497.707838,93211503391.49937,1935770551.4276752
2017-02-28,2017-01-26,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1449,1.8899377281118785,0.025432827361181458,PASS,933174878.6685644,9.331748786685644,0.9745671726388185,0.9500000000004368,933174878.6737561,40,1000627582.0010942,4512433687.063374,218849512337.9401,1866349757.3371289
2017-03-31,2017-02-28,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1514,2.0574058086895266,0.027889537511092955,PASS,1170531537.871474,11.70531537871474,0.972110462488907,0.9500000000007365,1170531537.8827634,39,1248148061.7537959,4602121661.544239,146238266557.61972,2341063075.742948
2017-04-28,2017-03-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1612,2.3730284277853024,0.0329687719896428,PASS,965597280.2188723,9.655972802188723,0.9670312280103572,0.9500000000001874,965597280.2241076,40,1059377685.8931134,3560824356.104733,76781498678.24925,1931194560.4377446
2017-05-31,2017-04-28,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1469,1.8186195052064047,0.032623048110710165,PASS,650289384.8490214,6.502893848490214,0.96737695188929,0.9500000000000027,650289384.8534856,40,734117593.37474,4252783578.9752665,84351150395.9862,1300578769.6980429
2017-06-30,2017-05-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1461,1.7127709305851795,0.025146129526764077,PASS,619387994.247455,6.19387994247455,0.9748538704732359,0.9500000000002586,619387994.2521985,40,708410942.607352,4727703814.205638,138732067837.91064,1238775988.49491
2017-07-31,2017-06-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1650,2.340956342913982,0.02534970489559634,PASS,638424669.8660898,6.384246698660898,0.9746502951044036,0.9500000000002808,638424669.8709493,40,675719838.5540382,3151841858.5500007,65903200563.824036,1276849339.7321796
2017-08-31,2017-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1601,2.031120040932683,0.014047733724678896,PASS,775581136.8963566,7.755811368963566,0.9859522662753213,0.9500000000005451,775581136.9018347,40,792923908.7219793,3920911406.465561,121853195672.18152,1551162273.7927132
2017-09-29,2017-08-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1561,1.758206268160678,0.027591951330606136,PASS,824171083.917352,8.24171083917352,0.9724080486693939,0.9500000000001176,824171083.9239895,40,978433804.0036966,6447786021.565997,179943875694.6835,1648342167.834704
2017-10-31,2017-09-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1676,2.029361547289389,0.01981876456595903,PASS,714073737.0469705,7.140737370469705,0.9801812354340409,0.950000000000637,714073737.0519795,40,784683996.4087317,4001747550.5306945,95734789764.73685,1428147474.093941
2017-11-30,2017-10-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1759,2.2358530452601846,0.028413981348528447,PASS,545368336.0777683,5.453683360777683,0.9715860186514714,0.9500000000000576,545368336.0807232,41,607344834.5516896,3373936738.2267604,73397626849.0084,1090736672.1555367
2017-12-29,2017-11-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1689,1.926445324347075,0.029011035960769708,PASS,382711705.9984548,3.827117059984548,0.9709889640392302,0.9500000000005255,382711706.00088626,41,451323823.97031426,3383513867.1495275,95916870879.6597,765423411.9969096
2018-01-31,2017-12-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1738,2.0506214978350683,0.02099515058192982,PASS,532821100.6921331,5.3282110069213315,0.9790048494180701,0.9500000000003369,532821100.69530284,41,587620800.2763181,3194452553.849037,102080745909.07147,1065642201.3842663
2018-02-28,2018-01-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1747,2.1015158449170483,0.03732777698306612,PASS,369246078.2217535,3.692460782217535,0.9626722230169338,0.9500000000003732,369246078.2244605,41,472791065.45313716,2690887223.022028,80810449820.87238,738492156.443507
2018-03-30,2018-02-28,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1698,1.9704280176434135,0.017286135878983973,PASS,604534201.3196294,6.0453420131962945,0.9827138641210159,0.9500000000000853,604534201.3253279,40,688082002.78,3884512456.587938,78886800733.36066,1209068402.6392589
2018-04-27,2018-03-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1638,1.6627760940467238,0.021389255700269193,PASS,562105467.6118369,5.621054676118369,0.9786107442997307,0.9500000000001972,562105467.6149266,41,720574816.9551404,6915769106.543989,119245854138.61772,1124210935.2236738
2018-05-31,2018-04-27,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1787,2.0539436751065976,0.017144800477462096,PASS,542887350.196079,5.4288735019607905,0.9828551995225377,0.9500000000004278,542887350.2006118,40,632810669.5124335,3580672299.583005,65193668155.13208,1085774700.392158
2018-06-29,2018-05-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1809,2.004377908803355,0.024442961726371275,PASS,354374506.5175296,3.543745065175296,0.9755570382736287,0.9500000000003335,354374506.5193378,41,431302156.1716772,2910298169.341017,70294359807.04063,708749013.0350592
2018-07-31,2018-06-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1855,2.0722478900679357,0.003207424390343389,PASS,475041166.51945364,4.7504116651945365,0.9967925756096565,0.950000000000505,475041166.5232854,40,454787661.14180976,2668464242.7359395,62032836164.17328,950082333.0389073
2018-08-31,2018-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1839,1.8501465144156863,0.0023842512712724203,PASS,347556018.51554024,3.4755601851554023,0.9976157487287277,0.9500000000004352,347556018.51896757,40,340547040.4215346,2607981150.354997,63703498943.88361,695112037.0310805
2018-09-28,2018-08-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1939,1.987677175876384,0.006115568717809412,PASS,318638824.5219814,3.1863882452198142,0.9938844312821903,0.9500000000006683,318638824.5250865,40,328249572.6945912,2447901055.5905395,58298489344.38563,637277649.0439628
2018-10-31,2018-09-28,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2022,2.1577133256623213,0.009493138841044153,PASS,355739414.93569034,3.5573941493569032,0.9905068611589559,0.9500000000005179,355739414.9389776,40,357897424.0522228,2079096169.2260942,48809564784.018105,711478829.8713807
2018-11-30,2018-10-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1985,2.0085398393399077,0.0022514185639367305,PASS,715771781.3366948,7.157717813366949,0.9977485814360633,0.9500000000003788,715771781.3410559,40,666741806.0241032,3303411909.783635,80655324983.36348,1431543562.6733897
2018-12-28,2018-11-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1871,1.6144464655163189,0.002847871373947074,PASS,491545367.88127935,4.915453678812794,0.997152128626053,0.9500000000008877,491545367.88537663,40,516524326.5342683,4249565379.2462797,85500668732.19864,983090735.7625587
2019-01-31,2018-12-28,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2146,2.3109387902920084,0.0015122991576262204,PASS,520471387.30783266,5.204713873078327,0.9984877008423738,0.9500000000004042,520471387.31140053,40,470626348.7968352,2358024838.61,41774725427.71924,1040942774.6156653
2019-02-28,2019-01-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2052,1.9684700165145368,0.0014581278561508,PASS,918928074.8765441,9.18928074876544,0.998541872143849,0.9500000000004591,918928074.8830798,40,870219752.8492514,4850947022.3775,117813082104.89081,1837856149.7530882
2019-03-29,2019-02-28,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2190,2.3420240654612483,0.006370095896505953,PASS,2005907496.9923522,20.059074969923522,0.993629904103494,0.9500000000003938,2005907497.0031161,40,1833117362.2148366,7113955158.419129,149130773729.9719,4011814993.9847045
2019-04-30,2019-03-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2035,1.9286817169395114,0.009733262926749255,PASS,1632460296.4582171,16.324602964582173,0.9902667370732507,0.9500000000005514,1632460296.468719,40,1620854096.0114777,8496120798.6025,189318361995.7255,3264920592.9164343
2019-05-31,2019-04-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,1961,1.7210504688603196,0.006365047233066831,PASS,765418762.9296703,7.654187629296703,0.9936349527669333,0.9500000000005516,765418762.9364107,40,806949568.1284134,5983745960.96264,117802290431.08649,1530837525.8593407
2019-06-28,2019-05-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2082,2.0274844158775904,0.0021784469975328897,PASS,665805188.0159328,6.658051880159328,0.997821553002467,0.9500000000007212,665805188.0217154,40,646656758.4516913,3939064083.48324,127499012468.59235,1331610376.0318656
2019-07-31,2019-06-28,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2242,2.4474692803134004,0.0011318557055138827,PASS,504473244.5319175,5.044732445319175,0.9988681442944862,0.9500000000002404,504473244.5361637,40,449754362.2704016,2228729237.6113977,55845632759.19815,1008946489.063835
2019-08-30,2019-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2239,2.4071006093047833,0.0012856253367029414,PASS,521057180.54651606,5.21057180546516,0.998714374663297,0.9500000000000741,521057180.5515545,40,481499894.717191,2768610178.693571,57639386083.24138,1042114361.0930321
2019-09-30,2019-08-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2152,2.1350729523552667,0.0031293133633638693,PASS,720939777.3983445,7.209397773983445,0.9968706866366359,0.9500000000005719,720939777.4051772,40,681554832.7433766,4421514987.478306,128797521660.86876,1441879554.796689
2019-10-31,2019-09-30,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2047,1.8208862187330035,0.001727236307472931,PASS,604111608.2915897,6.041116082915897,0.998272763692527,0.9500000000000278,604111608.2973053,40,619117782.5983406,4903611292.2525,109852663756.21033,1208223216.5831795
2019-11-29,2019-10-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2119,1.9997652388400278,0.003063783165510046,PASS,403651585.31946963,4.036515853194697,0.99693621683449,0.9500000000004369,403651585.3218397,41,415219777.6690735,3388000624.560814,82116609116.72157,807303170.6389393
2019-12-31,2019-11-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2117,1.9829163346112346,0.0021976412544555926,PASS,662166519.3765186,6.621665193765186,0.9978023587455443,0.9500000000010889,662166519.3828702,40,624642027.4578177,4598462445.042864,112212618486.75906,1324333038.7530372
2020-01-23,2019-12-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2142,2.038602939867431,0.0006794072176392553,PASS,1027103880.4563024,10.271038804563023,0.9993205927823607,0.9500000000004718,1027103880.4644318,40,989693321.9016616,5876385663.430001,122290093630.21399,2054207760.9126048
2020-02-28,2020-01-23,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,ADV20,0.05,0.95,1,2362,2.594360463283987,0.0005776020669759732,PASS,1053758935.5630016,10.537589355630017,0.9994223979330239,0.9500000000003139,1053758935.5683832,41,928659329.5138655,5938850949.405,82618480283.20676,2107517871.1260033
