analysis_date,previous_analysis_date,window,factor_name,method,portfolio_leg,scope,portfolio_scope,liquidity_basis,participation_cap,target_executable_share,execution_days,trade_name_n,total_abs_trade_weight,zero_adv_trade_weight_share,capacity_status,capacity_cny,capacity_yi_cny,baseline_executable_share,coverage_at_capacity,root_upper_bracket_cny,root_iterations,name_capacity_p10_cny,name_capacity_p50_cny,name_capacity_p90_cny,gross_notional_at_capacity_cny,rebalance_type
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,472,1.239961803317763,0.08254856402560416,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9174514359743959,0.9174514359743959,0.0,0,1980544549.6039188,5669770023.75,101029667233.26845,0.0,PORTFOLIO_LEG
2016-01-29,2015-12-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,679,1.1912180723328558,0.0561949927777291,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9438050072222708,0.9438050072222708,0.0,0,1457833708.1890461,4131209840.45172,49211094408.45822,0.0,PORTFOLIO_LEG
2016-03-31,2016-02-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,684,1.0736384587325714,0.06639232279210104,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9336076772078987,0.9336076772078987,0.0,0,1482219668.4343426,5289761862.440001,136597091585.09566,0.0,PORTFOLIO_LEG
2016-04-29,2016-03-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,712,1.2162175436129918,0.05069196094518168,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9493080390548185,0.9493080390548185,0.0,0,1716124984.0252326,4376898866.74262,74837973929.33292,0.0,PORTFOLIO_LEG
2018-02-28,2018-01-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,888,1.1002541973328475,0.05325515827604588,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9467448417239541,0.9467448417239541,0.0,0,477776293.2800001,2290953912.8565764,64150165101.634315,0.0,PORTFOLIO_LEG
2015-08-31,2015-07-31,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PORTFOLIO_LEG,Q5,ADV20,0.05,0.95,1,413,0.8482726309916921,0.061933619973679806,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.93806638002632,0.93806638002632,0.0,0,1938159874.0162253,10673746960.386032,211835723627.49725,0.0,PORTFOLIO_LEG
2016-03-31,2016-02-29,60,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,Q5,PORTFOLIO_LEG,Q5,ADV20,0.05,0.95,1,641,0.8918639023861551,0.0620736060573311,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.937926393942669,0.937926393942669,0.0,0,1495799186.0214972,8123502594.494354,135508160642.5184,0.0,PORTFOLIO_LEG
2016-03-31,2016-02-29,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,669,1.0920676537963638,0.05191197402762057,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9480880259723796,0.9480880259723796,0.0,0,1443842192.0470228,5566701348.538981,158981142457.93536,0.0,PORTFOLIO_LEG
2016-04-29,2016-03-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q1,PORTFOLIO_LEG,Q1,ADV20,0.05,0.95,1,675,1.095658417652943,0.059647848812942515,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9403521511870575,0.9403521511870575,0.0,0,1756580034.5907464,5710757887.423404,110129447432.26808,0.0,PORTFOLIO_LEG
2015-08-31,2015-07-31,60,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,Q5,PORTFOLIO_LEG,Q5,ADV20,0.05,0.95,1,411,1.1978316445949226,0.0605890096865863,ZERO_CAPACITY_BASELINE_BELOW_TARGET,0.0,0.0,0.9394109903134136,0.9394109903134136,0.0,0,2152837795.8530827,5736161676.168991,114013996613.95901,0.0,PORTFOLIO_LEG
