scope,portfolio_scope,factor_family,window,scenario_order,scenario_id,liquidity_basis,participation_cap,target_executable_share,is_primary,factor_n,mean_capacity_yi_cny,median_capacity_yi_cny,mean_capacity_ratio_to_primary
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,60,1,ADV20_P01_E90,ADV20,0.01,0.9,False,4,2.744812437001529,2.7469937062689187,0.31818104162615185
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,60,2,ADV20_P01_E95,ADV20,0.01,0.95,False,4,1.725256281109525,1.7217127655984008,0.19999999999999998
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,60,3,ADV20_P01_E97p5,ADV20,0.01,0.975,False,4,1.1158190303599396,1.114873812172764,0.12935825318838495
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,60,4,ADV20_P05_E90,ADV20,0.05,0.9,False,4,13.724062185007647,13.734968531344592,1.5909052081307593
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,60,5,ADV20_P05_E95,ADV20,0.05,0.95,True,4,8.626281405547624,8.608563827992004,1.0
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,60,6,ADV20_P05_E97p5,ADV20,0.05,0.975,False,4,5.579095151799698,5.574369060863818,0.6467912659419247
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,60,7,ADV20_P10_E90,ADV20,0.1,0.9,False,4,27.448124370015293,27.469937062689183,3.1818104162615186
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,60,8,ADV20_P10_E95,ADV20,0.1,0.95,False,4,17.25256281109525,17.217127655984008,2.0
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,60,9,ADV20_P10_E97p5,ADV20,0.1,0.975,False,4,11.158190303599396,11.148738121727636,1.2935825318838494
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,60,10,ADV60_P01_E90,ADV60,0.01,0.9,False,4,3.1648038453480956,3.139369248149241,0.3668434740207268
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,60,11,ADV60_P01_E95,ADV60,0.01,0.95,False,4,2.017862680272096,2.001743972625531,0.2339041302882735
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,60,12,ADV60_P01_E97p5,ADV60,0.01,0.975,False,4,1.3199025239585482,1.311089151916741,0.15300820428668604
