scope,portfolio_scope,factor_family,factor_name,method,window,scenario_order,scenario_id,liquidity_basis,participation_cap,target_executable_share,execution_days,is_primary,rebalance_n,trade_rebalance_n,no_trade_rebalance_n,constant_no_trade_share,baseline_executable_share,capacity_status,solver_used,capacity_cny,capacity_yi_cny,gross_notional_at_capacity_cny,executable_share_at_capacity,step5_primary_capacity_cny,capacity_minus_primary_cny,capacity_ratio_to_primary,mean_coverage_capacity_cny,capacity_abs_difference_cny,capacity_relative_difference
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9891425935139062,PASS_EXACT,EXACT_PIECEWISE,875708754.4929624,8.757087544929623,1751417508.9859247,0.9500000000002213,875708754.4929624,0.0,1.0,875708754.4900548,0.0029075145721435547,3.320184430309443e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9862180553067241,PASS_EXACT,EXACT_PIECEWISE,850161392.2160816,8.501613922160816,1700322784.4321632,0.9499999999998998,850161392.2160816,0.0,1.0,850161392.2141633,0.0019183158874511719,2.2564137880398253e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,128,128,0,0.0,0.9861399713123853,PASS_EXACT,EXACT_PIECEWISE,769538635.5574601,7.695386355574601,1539077271.1149201,0.9499999999999348,769538635.5574601,0.0,1.0,769538635.5551627,0.0022974014282226562,2.9854270105168385e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9890028933366137,PASS_EXACT,EXACT_PIECEWISE,971313427.7560959,9.71313427756096,1942626855.5121918,0.9499999999999678,971313427.7560959,0.0,1.0,971313427.7486272,0.007468700408935547,7.689279480308412e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9858984101332039,PASS_EXACT,EXACT_PIECEWISE,868867046.8483517,8.688670468483517,1737734093.6967034,0.9499999999999714,868867046.8483517,0.0,1.0,868867046.8463485,0.002003192901611328,2.3055229322853756e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,cross_industry_degree_ratio,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,128,128,0,0.0,0.9858499880035727,PASS_EXACT,EXACT_PIECEWISE,694018503.0417902,6.9401850304179025,1388037006.0835805,0.9499999999999713,694018503.0417902,0.0,1.0,694018503.0395769,0.0022133588790893555,3.1891928952838553e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9916705850809269,PASS_EXACT,EXACT_PIECEWISE,867731496.8107909,8.67731496810791,1735462993.6215818,0.950000000000033,867731496.8107909,0.0,1.0,867731496.8108288,3.790855407714844e-05,4.368696332503043e-14
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,133,133,0,0.0,0.9906297997396806,PASS_EXACT,EXACT_PIECEWISE,833710565.6492019,8.33710565649202,1667421131.2984037,0.949999999999931,833710565.6492019,0.0,1.0,833710565.6473771,0.0018247365951538086,2.1886931392513884e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,DYNAMIC,delta_cross_industry_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,127,127,0,0.0,0.9898279987154768,PASS_EXACT,EXACT_PIECEWISE,708345184.0752635,7.083451840752635,1416690368.150527,0.9499999999998369,708345184.0752635,0.0,1.0,708345184.0693705,0.00589299201965332,8.31937895843194e-12
HYPOTHETICAL_Q1_Q5_PAIR,Q1_Q5_PAIR,STRUCTURAL,delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,5,ADV20_P05_E95,ADV20,0.05,0.95,1,True,134,134,0,0.0,0.9897514983469069,PASS_EXACT,EXACT_PIECEWISE,881520873.6821059,8.81520873682106,1763041747.3642118,0.950000000000095,881520873.6821059,0.0,1.0,881520873.6773393,0.004766583442687988,5.407226969911422e-12
