qa_name,qa_value
step3_formal_qa_pass,True
step4_formal_qa_pass,True
scenario_count,18
expected_scenario_count,18
scenario_count_ok,True
primary_scenario_count,1
exactly_one_primary_scenario,True
specification_count,81
matrix_row_count,1458
expected_matrix_row_count,1458
matrix_row_count_ok,True
duplicate_spec_scenario_count,0
unclassified_factor_row_count,0
step4_bisection_fallback_count,0
max_capacity_root_error,3.589351038613131e-13
capacity_root_ok,True
primary_crosscheck_missing_step4_count,0
max_primary_capacity_abs_difference_cny,0.007846355438232422
max_primary_capacity_relative_difference,9.046099270337566e-12
step4_primary_reproduced,True
participation_monotonicity_violation_count,0
participation_monotonicity_ok,True
target_stringency_monotonicity_violation_count,0
target_stringency_monotonicity_ok,True
max_participation_scaling_relative_error,2.67490486163883e-16
participation_scaling_identity_ok,True
future_liquidity_used,False
future_reopen_information_used,False
adv_winsorized,False
scenario_selected_from_results,False
factor_selection,False
window_selection,False
factor_sign_flip,False
transaction_cost_used_to_define_capacity,False
short_borrowability_assumed,False
multi_day_future_execution_assumed,False
all_formal_qa_pass,True
