qa_name,qa_value
input_row_count,402
output_row_count,402
row_count_preserved,True
duplicate_date_window_count,0
invalid_regime_label_count,0
classification_before_min_history_count,0
threshold_order_violation_count,0
market_regime_window_mismatch_date_count,0
market_classified_row_count,306
network_classified_row_count,294
reconfiguration_classified_row_count,291
future_information_used,False
full_sample_quantiles_used,False
current_observation_used_in_threshold,False
outcome_data_used,False
factor_performance_used,False
all_formal_qa_pass,True
