qa_name,qa_value
step2_formal_qa_pass,True
frozen_factor_count,9
expected_groups_per_metric,81
ic_group_count,81
spread_group_count,81
ic_duplicate_key_count,0
spread_duplicate_key_count,0
result_row_count,3888
native_result_row_count,1944
common_date_result_row_count,1944
minimum_regime_date_n,3
factor_sign_flipped,False
factor_selected_from_regime_results,False
window_selected_from_regime_results,False
regime_reestimated,False
future_information_used,False
alpha_definition_changed,False
all_formal_qa_pass,True
