regime_type,sample_scope,regime,specification_n,avg_mean_capacity_yi,avg_median_capacity_yi,avg_p10_capacity_yi,avg_zero_capacity_share
NETWORK,COMMON_DATE,HIGH,27,17.815496856126796,15.730879765722806,8.642671421498235,0.0
NETWORK,COMMON_DATE,LOW,27,10.291351310915486,9.050502210736616,6.51969149174742,0.0
NETWORK,COMMON_DATE,MEDIUM,27,16.859555331174175,13.324675078780194,6.272566504352562,0.0
NETWORK,NATIVE,HIGH,27,16.74692776927688,14.643833197756496,6.31226663549174,0.0
NETWORK,NATIVE,LOW,27,10.221266715773982,8.984816690291957,6.467755572379211,0.0
NETWORK,NATIVE,MEDIUM,27,16.257413668182366,13.00054767993125,5.592550177227573,0.0
RECONFIG,COMMON_DATE,HIGH,27,15.044013526410472,12.605066568540916,7.710682580147659,0.0
RECONFIG,COMMON_DATE,LOW,27,14.850971137373465,11.916293494321037,6.93876845669697,0.0
RECONFIG,COMMON_DATE,MEDIUM,27,16.492851011922454,13.067735880042115,6.592588435235565,0.0
RECONFIG,NATIVE,HIGH,27,14.545124706505387,12.272479829742212,6.481603372331694,0.0
RECONFIG,NATIVE,LOW,27,14.255875203331083,10.790137840946114,6.224334861725429,0.0
RECONFIG,NATIVE,MEDIUM,27,15.911712018983016,12.61235578181941,6.2194254673493266,0.0
