qa_name,qa_value
day8_step4_formal_qa_pass,True
day9_step2_formal_qa_pass,True
expected_specification_count,27
actual_specification_count,27
capacity_row_count,3556
duplicate_capacity_key_count,0
network_unclassified_row_count,910
reconfig_unclassified_row_count,937
summary_row_count,324
contrast_row_count,108
small_sample_contrast_count,0
capacity_reestimated,False
capacity_definition_changed,False
adv_definition_changed,False
participation_threshold_changed,False
factor_selected_from_results,False
window_selected_from_results,False
regime_reestimated,False
future_information_used,False
all_formal_qa_pass,True
