regime_type,sample_scope,factor_name,window,alpha_hl,alpha_hl_t,idio_hl,idio_hl_t,idio_hl_q,capacity_mean_hl_yi,capacity_median_hl_yi,capacity_hl_t,capacity_hl_q,risk_capacity_pattern
NETWORK,COMMON_DATE,cross_industry_degree_percentile,60,-0.008659088152336,-0.7388590014641357,-0.0094279156256648,-0.8276493793547184,0.6832978229660397,6.606714604707651,7.419684470333131,2.345419255325414,0.0213814065456505,RISK_DOWN_CAPACITY_UP
NETWORK,COMMON_DATE,cross_industry_degree_percentile,120,-0.0023520094216308,-0.1569560597752427,0.0027195710199625,0.2355049050470518,0.8138168722285722,7.547491700428148,6.378621868806917,3.4011145204283797,0.0012080107125907,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,cross_industry_degree_percentile,252,-0.0128741866293353,-0.7513935407915072,-0.0105806241134685,-0.6976497754313812,0.7140248425025825,9.111848290987602,7.461458372382719,3.63081729734256,0.0007747234804519,RISK_DOWN_CAPACITY_UP
NETWORK,COMMON_DATE,cross_industry_degree_ratio,60,-0.0037996841022448,-0.5347291522686302,-0.012209119516769,-1.157346695331099,0.5470570561258825,6.2237171488332415,5.585582785707889,2.1038098354255275,0.0353950385107941,RISK_DOWN_CAPACITY_UP
NETWORK,COMMON_DATE,cross_industry_degree_ratio,120,4.762549768632198e-05,0.0062684086352688,-0.0195446859550424,-1.983135986305376,0.2557021061274145,6.885120827148807,4.199338859094436,2.929342982993537,0.0050951907111585,RISK_DOWN_CAPACITY_UP
NETWORK,COMMON_DATE,cross_industry_degree_ratio,252,-0.0043291067772538,-0.5658807045747583,-0.0249482953645176,-3.5032762830463064,0.0124084579893984,7.433635028753812,5.320165944464769,3.337540008100473,0.001342432889039,RISK_DOWN_CAPACITY_UP
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,60,-0.0119943579168922,-1.6009176463535737,-0.0033988230651193,-0.3582009566258292,0.7778083659035236,6.60253454208879,7.588364342848848,2.3846942384312446,0.0200660733001743,RISK_DOWN_CAPACITY_UP
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,120,-0.0107936413094068,-1.5260384900710704,0.0045401363727712,0.5221526987202443,0.7140248425025825,7.645691986826137,6.309196313613986,3.6021237124861045,0.0007747234804519,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,delta_cross_industry_degree_percentile_1m,252,-0.0072757828251126,-1.2307218580425798,0.0105973799341467,1.6889700396667724,0.3187278795485644,8.882902405674608,7.095149215810632,3.851091504100042,0.0007747234804519,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,delta_degree_percentile,60,-0.0177660382511363,-2.0593732074225715,0.0174577763458191,1.5702924086179588,0.3187278795485644,7.682759010344217,9.844307572081288,2.7239300969556317,0.0091672330955852,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,delta_degree_percentile,120,0.0033359288949697,0.3767847202670173,0.0255755683235961,2.540704411157136,0.1493496957565439,8.71828493812283,7.681248899461218,3.636706398413596,0.0007747234804519,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,delta_degree_percentile,252,-0.0073273956580407,-0.8413586202825951,0.0182861984456639,1.524805454381026,0.3187278795485644,9.536919080988568,7.702653763068856,3.873476782468178,0.0007747234804519,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,60,-0.0139930352486368,-1.637725423169511,-0.0056303464034945,-0.6079994023691175,0.7140248425025825,6.623720974422643,7.664160702801258,2.4309411906411214,0.0193624183517017,RISK_DOWN_CAPACITY_UP
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,120,-0.0183003045220236,-1.9843855628880116,0.0037767587424131,0.4554049567298227,0.7299201711781883,7.487343941759635,6.214365979854392,3.615655760799589,0.0007747234804519,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,delta_residual_degree_percentile_1m,252,-0.0097416358318699,-1.4061089329338814,0.0119094150922709,1.720153165677597,0.3187278795485644,8.707133643048815,6.346423313139772,3.8532048254805904,0.0007747234804519,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,neighbor_jaccard_1m,60,-0.0023154134314312,-0.246257130085077,0.0129043123825045,1.118396140815047,0.5470570561258825,6.36345370947128,7.1830468598389565,2.410918883200827,0.0195288386625563,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,neighbor_jaccard_1m,120,0.0005470582368563,0.0524121188002718,0.0146107263355848,1.6723675359388124,0.3187278795485644,7.021002513790538,5.43150550850342,3.447003420811504,0.0011327842776777,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,neighbor_jaccard_1m,252,-0.0054499605167804,-0.5160952584443587,0.0163757533202213,1.514685378015972,0.3187278795485644,7.676556200961843,5.669049813561999,3.754539004625462,0.0007747234804519,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,neighbor_retention_1m,60,-0.0093691476583758,-1.243185570772884,0.0090142255568459,0.7888074488889624,0.6832978229660397,5.862853203377998,6.236116588375731,2.2553954398460165,0.0250357694485067,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,neighbor_retention_1m,120,-0.008364980964785,-1.1371070404833616,0.0186014045186398,2.3880473166419893,0.152443447855547,6.739910726604242,5.374815897925382,3.3785465261019643,0.0012296829484289,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,neighbor_retention_1m,252,-0.0088134597172155,-0.968249586860778,0.0191997269171701,2.1318829482445163,0.2228611748134576,7.566208305853872,5.514290682152279,3.67262905775931,0.0007747234804519,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,outside_community_degree_percentile,60,-0.016990485479877,-1.4393774878386447,-0.0087530203474183,-0.934691669707306,0.6748982122455419,6.471210425767024,8.762586858733908,2.4714713729907736,0.0181653737493786,RISK_DOWN_CAPACITY_UP
NETWORK,COMMON_DATE,outside_community_degree_percentile,120,-0.0117480066054554,-0.7633990380875113,0.0063755251169587,0.5125825183492181,0.7140248425025825,7.543045435416412,6.5916009954414125,3.437380597651153,0.0011327842776777,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,outside_community_degree_percentile,252,-0.0081496716238391,-0.5776098573285668,-0.0071372794935211,-0.5640558240557366,0.7140248425025825,8.878186665242199,6.114510522870264,3.714616758758386,0.0007747234804519,RISK_DOWN_CAPACITY_UP
NETWORK,COMMON_DATE,residual_degree_percentile,60,-0.0050038352644432,-0.4025985317711954,-0.0104654205657674,-0.8638031110432518,0.6832978229660397,6.394962531619807,7.705139183417504,2.302062223382333,0.0230381964785988,RISK_DOWN_CAPACITY_UP
NETWORK,COMMON_DATE,residual_degree_percentile,120,-0.0011209068958396,-0.0755096011634592,0.0067651166290074,0.5437795799022559,0.7140248425025825,7.828001891258296,5.309909584468858,3.5792401582198687,0.0007753380453234,RISK_UP_CAPACITY_UP
NETWORK,COMMON_DATE,residual_degree_percentile,252,-0.0114303898803871,-0.6202202747804052,-0.0049203801711771,-0.277957319159463,0.8110853195215111,9.110719987206409,7.666899085867335,3.679800488610392,0.0007747234804519,RISK_DOWN_CAPACITY_UP
NETWORK,NATIVE,cross_industry_degree_percentile,60,-0.0078615517039223,-0.7088573044810232,-0.0119693111000084,-1.1543276953850952,0.4924533063660856,4.802657634876308,6.950259744970461,1.7137189801599733,0.0974028930239849,RISK_DOWN_CAPACITY_UP
