regime_type,sample_scope,risk_capacity_pattern,specification_n
NETWORK,COMMON_DATE,RISK_DOWN_CAPACITY_UP,11
NETWORK,COMMON_DATE,RISK_UP_CAPACITY_UP,16
NETWORK,NATIVE,RISK_DOWN_CAPACITY_UP,11
NETWORK,NATIVE,RISK_UP_CAPACITY_UP,16
RECONFIG,COMMON_DATE,RISK_DOWN_CAPACITY_DOWN,12
RECONFIG,COMMON_DATE,RISK_DOWN_CAPACITY_UP,3
RECONFIG,COMMON_DATE,RISK_UP_CAPACITY_DOWN,4
RECONFIG,COMMON_DATE,RISK_UP_CAPACITY_UP,8
RECONFIG,NATIVE,RISK_DOWN_CAPACITY_DOWN,12
RECONFIG,NATIVE,RISK_DOWN_CAPACITY_UP,3
RECONFIG,NATIVE,RISK_UP_CAPACITY_DOWN,4
RECONFIG,NATIVE,RISK_UP_CAPACITY_UP,8
