industry_a,industry_b,industry_pair,relation,possible_pairs,R3_edges,R4_edges,persistent,lost,gained,absent,gross_support_change,net_edge_change,support_change_rate,jaccard,retention_from_R3,transition_energy,transition_intensity,energy_share,mean_energy_per_pair,mean_abs_delta_per_pair,support_change_energy,persistent_change_energy,support_energy_share_within_pair,persistent_energy_share_within_pair,support_energy_global_share,persistent_energy_global_share,energy_rank,mean_energy_rank,support_change_rank
电子,电子,电子 - 电子,Same,6,5,3,3,2,0,1,2,-2,0.3333333333333333,0.6,0.6,0.12648848717439667,0.35565219973226186,0.31936241525756864,0.021081414529066114,0.09971947145612897,0.06862873508417666,0.05785975209022001,0.5425690244010463,0.4574309755989537,0.3341005626098267,0.3034831745707438,1,1,5
电子,非银金融,电子 - 非银金融,Cross,8,5,3,2,3,1,2,4,-2,0.5,0.3333333333333333,0.4,0.05407005593610538,0.23252968828970072,0.13651790801370073,0.0067587569920131724,0.056264334154228296,0.03397538971701558,0.0200946662190898,0.6283586937132878,0.37164130628671216,0.1654000588153082,0.10539957182325474,2,3,3
非银金融,食品饮料,非银金融 - 食品饮料,Cross,8,7,4,3,4,1,0,5,-3,0.625,0.375,0.42857142857142855,0.0452149403799307,0.21263805016960324,0.11416021242749529,0.0056518675474913375,0.056976090503972614,0.026645630592405174,0.018569309787525523,0.5893103113375379,0.4106896886624621,0.12971709534055997,0.09739884600816306,3,5,1
新能源,非银金融,新能源 - 非银金融,Cross,2,1,1,1,0,0,1,0,0,0.0,1.0,1.0,0.03046047753308424,0.1745293027920648,0.07690764505272525,0.01523023876654212,0.0872646513960324,0.0,0.03046047753308424,0.0,1.0,0.0,0.15976982421678523,4,2,10
电子,银行,电子 - 银行,Cross,16,1,2,0,1,2,13,3,1,0.1875,0.0,0.0,0.029921911023391708,0.17297951041493817,0.07554785409344922,0.0018701194389619817,0.010985953335353588,0.029921911023391708,0.0,1.0,0.0,0.14566678658749282,0.0,5,9,4
银行,银行,银行 - 银行,Same,6,6,5,5,1,0,0,1,-1,0.16666666666666666,0.8333333333333334,0.8333333333333334,0.02905509012222297,0.170455537082909,0.07335927533203744,0.004842515020370495,0.05571346026641554,0.008939493174463638,0.020115596947759336,0.30767390969564434,0.6923260903043558,0.04351952131088645,0.10550935666942562,6,6,8
食品饮料,食品饮料,食品饮料 - 食品饮料,Same,6,6,6,6,0,0,0,0,0,0.0,1.0,1.0,0.0256901413644781,0.16028144423007332,0.06486333877292837,0.004281690227413017,0.05135379573667861,0.0,0.0256901413644781,0.0,1.0,0.0,0.1347486875558327,7,7,10
新能源,电子,新能源 - 电子,Cross,4,3,1,1,2,0,1,2,-2,0.5,0.3333333333333333,0.3333333333333333,0.024227224292254892,0.15565096945491502,0.06116971621530714,0.006056806073063723,0.05891811216394227,0.02391149323593152,0.0003157310563233724,0.9869679228410698,0.013032077158930138,0.1164066820285564,0.0016560572733561295,8,4,5
银行,非银金融,银行 - 非银金融,Cross,8,2,3,2,0,1,5,1,1,0.125,0.6666666666666666,1.0,0.015851420157334074,0.12590242315910394,0.04002220233473881,0.0019814275196667593,0.027108943730131275,0.0045195676501676284,0.011331852507166446,0.28512067722061685,0.7148793227793832,0.02200230111806806,0.05943728495897948,9,8,8
银行,食品饮料,银行 - 食品饮料,Cross,16,3,6,2,1,4,9,5,3,0.3125,0.2857142857142857,0.6666666666666666,0.011379191164192812,0.10667329170974717,0.02873056714532197,0.0007111994477620508,0.014392599103804174,0.00640631065745268,0.004972880506740132,0.5629847117439752,0.4370152882560248,0.031187402656963115,0.02608351243180596,10,11,1
新能源,食品饮料,新能源 - 食品饮料,Cross,4,2,0,0,2,0,2,2,-2,0.5,0.0,0.0,0.002464876576982696,0.049647523372094764,0.006223403841107382,0.000616219144245674,0.0148452191989711,0.002464876576982696,0.0,1.0,0.0,0.01199958953233827,0.0,11,12,5
非银金融,非银金融,非银金融 - 非银金融,Same,1,1,1,1,0,0,0,0,0,0.0,1.0,1.0,0.0012418486475042146,0.0352398729779807,0.00313546151361963,0.0012418486475042146,0.0352398729779807,0.0,0.0012418486475042146,0.0,1.0,0.0,0.006513684491653178,12,10,10
新能源,银行,新能源 - 银行,Cross,4,0,0,0,0,0,4,0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,13,13,10
电子,食品饮料,电子 - 食品饮料,Cross,16,0,0,0,0,0,16,0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,13,13,10
