driver_stock,driver_name,driver_industry,counterpart_stock,counterpart_name,counterpart_industry,relation,partial_R3,partial_R4,delta_partial,abs_delta_partial,transition_energy,support_change
000725,京东方A,电子,002415,海康威视,电子,Same,0.2578229568475072,0.0174791198872818,-0.2403438369602254,0.2403438369602254,0.05776515996476341,Persistent
000725,京东方A,电子,002475,立讯精密,电子,Same,0.2374523630467825,0.0,-0.2374523630467825,0.2374523630467825,0.056383624716501,Lost
000725,京东方A,电子,600030,中信证券,非银金融,Cross,0.2761587584959613,0.1366264835715621,-0.1395322749243991,0.1395322749243991,0.019469255745578094,Persistent
000725,京东方A,电子,002460,赣锋锂业,新能源,Cross,0.1181848545177582,0.0,-0.1181848545177582,0.1181848545177582,0.013967659837383671,Lost
000725,京东方A,电子,603501,韦尔股份,电子,Same,0.1106576267939796,0.0,-0.1106576267939796,0.1106576267939796,0.012245110367675671,Lost
600030,中信证券,非银金融,002460,赣锋锂业,新能源,Cross,0.0130646123783224,0.1875939151703872,0.1745293027920648,0.1745293027920648,0.03046047753308424,Persistent
600030,中信证券,非银金融,600887,伊利股份,食品饮料,Cross,0.0,0.1447201181655488,0.1447201181655488,0.1447201181655488,0.02094391260185041,Gained
600030,中信证券,非银金融,000725,京东方A,电子,Cross,0.2761587584959613,0.1366264835715621,-0.1395322749243991,0.1395322749243991,0.019469255745578094,Persistent
600030,中信证券,非银金融,002475,立讯精密,电子,Cross,0.0,0.1391158268616628,0.1391158268616628,0.1391158268616628,0.019353213283404138,Gained
600030,中信证券,非银金融,603501,韦尔股份,电子,Cross,0.118079715026203,0.0,-0.118079715026203,0.118079715026203,0.01394281910066931,Lost
002475,立讯精密,电子,000725,京东方A,电子,Same,0.2374523630467825,0.0,-0.2374523630467825,0.2374523630467825,0.056383624716501,Lost
002475,立讯精密,电子,600030,中信证券,非银金融,Cross,0.0,0.1391158268616628,0.1391158268616628,0.1391158268616628,0.019353213283404138,Gained
002475,立讯精密,电子,002460,赣锋锂业,新能源,Cross,0.0545082461689354,0.0367394235764457,-0.0177688225924897,0.0177688225924897,0.0003157310563233724,Persistent
002475,立讯精密,电子,603501,韦尔股份,电子,Same,0.1898295837850101,0.1995544510994254,0.0097248673144152,0.0097248673144152,9.457304428298111e-05,Persistent
002475,立讯精密,电子,000001,平安银行,银行,Cross,0.0,0.0,0.0,0.0,0.0,Absent
002415,海康威视,电子,000725,京东方A,电子,Same,0.2578229568475072,0.0174791198872818,-0.2403438369602254,0.2403438369602254,0.05776515996476341,Persistent
002415,海康威视,电子,002460,赣锋锂业,新能源,Cross,0.0997187715455212,0.0,-0.0997187715455212,0.0997187715455212,0.009943833398547848,Lost
002415,海康威视,电子,600030,中信证券,非银金融,Cross,0.0935939060214078,0.1186021141441763,0.0250082081227685,0.0250082081227685,0.0006254104735117044,Persistent
002415,海康威视,电子,601318,中国平安,非银金融,Cross,0.0024274473155564,-0.0,-0.0024274473155564,0.0024274473155564,5.892500469801973e-06,Lost
002415,海康威视,电子,603501,韦尔股份,电子,Same,0.1420135253117916,0.1421516599331627,0.0001381346213711,0.0001381346213711,1.9081173621337153e-08,Persistent
002460,赣锋锂业,新能源,600030,中信证券,非银金融,Cross,0.0130646123783224,0.1875939151703872,0.1745293027920648,0.1745293027920648,0.03046047753308424,Persistent
002460,赣锋锂业,新能源,000725,京东方A,电子,Cross,0.1181848545177582,0.0,-0.1181848545177582,0.1181848545177582,0.013967659837383671,Lost
002460,赣锋锂业,新能源,002415,海康威视,电子,Cross,0.0997187715455212,0.0,-0.0997187715455212,0.0997187715455212,0.009943833398547848,Lost
002460,赣锋锂业,新能源,000858,五粮液,食品饮料,Cross,0.048423194634795,0.0,-0.048423194634795,0.048423194634795,0.002344805778639239,Lost
002460,赣锋锂业,新能源,002475,立讯精密,电子,Cross,0.0545082461689354,0.0367394235764457,-0.0177688225924897,0.0177688225924897,0.0003157310563233724,Persistent
603501,韦尔股份,电子,601398,工商银行,银行,Cross,-0.0,-0.1729679090636128,-0.1729679090636128,0.1729679090636128,0.029917897565838233,Gained
603501,韦尔股份,电子,600030,中信证券,非银金融,Cross,0.118079715026203,0.0,-0.118079715026203,0.118079715026203,0.01394281910066931,Lost
603501,韦尔股份,电子,000725,京东方A,电子,Same,0.1106576267939796,0.0,-0.1106576267939796,0.1106576267939796,0.012245110367675671,Lost
603501,韦尔股份,电子,002475,立讯精密,电子,Same,0.1898295837850101,0.1995544510994254,0.0097248673144152,0.0097248673144152,9.457304428298111e-05,Persistent
603501,韦尔股份,电子,600036,招商银行,银行,Cross,-0.0,-0.0015945471603416,-0.0015945471603416,0.0015945471603416,2.54258064655346e-06,Gained
000858,五粮液,食品饮料,601318,中国平安,非银金融,Cross,0.1444148903381914,0.0146430191959959,-0.1297718711421955,0.1297718711421955,0.01684073853974659,Persistent
000858,五粮液,食品饮料,600519,贵州茅台,食品饮料,Same,0.2919301428493033,0.4201907098956802,0.1282605670463769,0.1282605670463769,0.016450773059058142,Persistent
000858,五粮液,食品饮料,000001,平安银行,银行,Cross,0.0,0.0685170645911454,0.0685170645911454,0.0685170645911454,0.00469458814018719,Gained
000858,五粮液,食品饮料,600887,伊利股份,食品饮料,Same,0.1577348434165993,0.0930582830472756,-0.0646765603693236,0.0646765603693236,0.004183057461206759,Persistent
000858,五粮液,食品饮料,000568,泸州老窖,食品饮料,Same,0.440731516278582,0.3806363353536651,-0.0600951809249168,0.0600951809249168,0.0036114307703984843,Persistent
000001,平安银行,银行,601288,农业银行,银行,Same,0.1103132464401675,0.0004548971675013,-0.1098583492726662,0.1098583492726662,0.01206885690491512,Persistent
000001,平安银行,银行,600036,招商银行,银行,Same,0.2381626636748869,0.3220852082146284,0.0839225445397414,0.0839225445397414,0.00704299348202488,Persistent
000001,平安银行,银行,000858,五粮液,食品饮料,Cross,0.0,0.0685170645911454,0.0685170645911454,0.0685170645911454,0.00469458814018719,Gained
000001,平安银行,银行,600030,中信证券,非银金融,Cross,0.0,0.0672277297710374,0.0672277297710374,0.0672277297710374,0.0045195676501676284,Gained
000001,平安银行,银行,601318,中国平安,非银金融,Cross,0.1709898893741488,0.2375893890389152,0.0665994996647663,0.0665994996647663,0.004435493355597207,Persistent
601318,中国平安,非银金融,000858,五粮液,食品饮料,Cross,0.1444148903381914,0.0146430191959959,-0.1297718711421955,0.1297718711421955,0.01684073853974659,Persistent
601318,中国平安,非银金融,600036,招商银行,银行,Cross,0.1316040471682775,0.048559726763031,-0.0830443204052465,0.0830443204052465,0.006896359151569239,Persistent
601318,中国平安,非银金融,000001,平安银行,银行,Cross,0.1709898893741488,0.2375893890389152,0.0665994996647663,0.0665994996647663,0.004435493355597207,Persistent
601318,中国平安,非银金融,600030,中信证券,非银金融,Same,0.347847324749084,0.3830871977270647,0.0352398729779807,0.0352398729779807,0.0012418486475042146,Persistent
601318,中国平安,非银金融,600887,伊利股份,食品饮料,Cross,0.0267768453592379,0.0,-0.0267768453592379,0.0267768453592379,0.0007169994473925403,Lost
601398,工商银行,银行,603501,韦尔股份,电子,Cross,-0.0,-0.1729679090636128,-0.1729679090636128,0.1729679090636128,0.029917897565838233,Gained
601398,工商银行,银行,600036,招商银行,银行,Same,0.2523680795386456,0.2817412827797694,0.0293732032411238,0.0293732032411238,0.0008627850686443656,Persistent
601398,工商银行,银行,601288,农业银行,银行,Same,0.498742830862146,0.5083640525507872,0.0096212216886412,0.0096212216886412,9.256790678197984e-05,Persistent
601398,工商银行,银行,000001,平安银行,银行,Same,0.0603622298235654,0.067318779643195,0.0069565498196296,0.0069565498196296,4.8393585392988616e-05,Persistent
601398,工商银行,银行,600519,贵州茅台,食品饮料,Cross,0.0,0.0,0.0,0.0,0.0,Absent
