driver_rank,stock,name,industry,driver_share,cumulative_driver_share,equal_share_cumulative
1,725,京东方A,电子,0.2026233146452095,0.2026233146452095,0.06666666666666667
2,600030,中信证券,非银金融,0.1478351294701267,0.3504584441153362,0.13333333333333333
3,2475,立讯精密,电子,0.0961294413405835,0.4465878854559197,0.2
4,2415,海康威视,电子,0.0862739711694618,0.5328618566253815,0.26666666666666666
5,2460,赣锋锂业,新能源,0.0721503825545698,0.6050122391799514,0.3333333333333333
6,603501,韦尔股份,电子,0.0709534272635423,0.6759656664434937,0.4
7,858,五粮液,食品饮料,0.0623565527188293,0.738322219162323,0.4666666666666667
8,1,平安银行,银行,0.0432427852344253,0.7815650043967483,0.5333333333333333
9,601318,中国平安,非银金融,0.039104315957823,0.8206693203545713,0.6
10,601398,工商银行,银行,0.0390360070415296,0.8597053273961008,0.6666666666666666
11,600036,招商银行,银行,0.036590781883706,0.8962961092798069,0.7333333333333333
12,600887,伊利股份,食品饮料,0.0365357760730796,0.9328318853528864,0.8
13,600519,贵州茅台,食品饮料,0.0322444773092692,0.9650763626621556,0.8666666666666667
14,601288,农业银行,银行,0.0266400129591314,0.991716375621287,0.9333333333333333
15,568,泸州老窖,食品饮料,0.0082836243787124,0.9999999999999994,1.0
