stock_i,stock_j,industry_i,industry_j,relation,same_industry,partial_R3,partial_R4,abs_partial_R3,abs_partial_R4,delta_partial,abs_delta_partial,delta_abs_partial,edge_R3,edge_R4,selected_union,support_change,strength_change,name_i,name_j,structural_role
002415,000725,电子,电子,Same,True,0.2578229568475072,0.0174791198872818,0.2578229568475072,0.0174791198872818,-0.2403438369602254,0.2403438369602254,-0.2403438369602254,1,1,1,Persistent,Weakened,海康威视,京东方A,Persistent Same-industry
000725,002475,电子,电子,Same,True,0.2374523630467825,0.0,0.2374523630467825,0.0,-0.2374523630467825,0.2374523630467825,-0.2374523630467825,1,0,1,Lost,NotApplicable,京东方A,立讯精密,Changing Same-industry
002460,600030,新能源,非银金融,Cross,False,0.0130646123783224,0.1875939151703872,0.0130646123783224,0.1875939151703872,0.1745293027920648,0.1745293027920648,0.1745293027920648,1,1,1,Persistent,Strengthened,赣锋锂业,中信证券,Persistent Cross-industry
601398,603501,银行,电子,Cross,False,-0.0,-0.1729679090636128,0.0,0.1729679090636128,-0.1729679090636128,0.1729679090636128,0.1729679090636128,0,1,1,Gained,NotApplicable,工商银行,韦尔股份,Changing Cross-industry
600887,600030,食品饮料,非银金融,Cross,False,0.0,0.1447201181655488,0.0,0.1447201181655488,0.1447201181655488,0.1447201181655488,0.1447201181655488,0,1,1,Gained,NotApplicable,伊利股份,中信证券,Changing Cross-industry
000725,600030,电子,非银金融,Cross,False,0.2761587584959613,0.1366264835715621,0.2761587584959613,0.1366264835715621,-0.1395322749243991,0.1395322749243991,-0.1395322749243991,1,1,1,Persistent,Weakened,京东方A,中信证券,Persistent Cross-industry
002475,600030,电子,非银金融,Cross,False,0.0,0.1391158268616628,0.0,0.1391158268616628,0.1391158268616628,0.1391158268616628,0.1391158268616628,0,1,1,Gained,NotApplicable,立讯精密,中信证券,Changing Cross-industry
002460,000725,新能源,电子,Cross,False,0.1181848545177582,0.0,0.1181848545177582,0.0,-0.1181848545177582,0.1181848545177582,-0.1181848545177582,1,0,1,Lost,NotApplicable,赣锋锂业,京东方A,Changing Cross-industry
603501,600030,电子,非银金融,Cross,False,0.118079715026203,0.0,0.118079715026203,0.0,-0.118079715026203,0.118079715026203,-0.118079715026203,1,0,1,Lost,NotApplicable,韦尔股份,中信证券,Changing Cross-industry
000725,603501,电子,电子,Same,True,0.1106576267939796,0.0,0.1106576267939796,0.0,-0.1106576267939796,0.1106576267939796,-0.1106576267939796,1,0,1,Lost,NotApplicable,京东方A,韦尔股份,Changing Same-industry
002460,002415,新能源,电子,Cross,False,0.0997187715455212,0.0,0.0997187715455212,0.0,-0.0997187715455212,0.0997187715455212,-0.0997187715455212,1,0,1,Lost,NotApplicable,赣锋锂业,海康威视,Changing Cross-industry
002415,600030,电子,非银金融,Cross,False,0.0935939060214078,0.1186021141441763,0.0935939060214078,0.1186021141441763,0.0250082081227685,0.0250082081227685,0.0250082081227685,1,1,1,Persistent,Strengthened,海康威视,中信证券,Persistent Cross-industry
002460,002475,新能源,电子,Cross,False,0.0545082461689354,0.0367394235764457,0.0545082461689354,0.0367394235764457,-0.0177688225924897,0.0177688225924897,-0.0177688225924897,1,1,1,Persistent,Weakened,赣锋锂业,立讯精密,Persistent Cross-industry
603501,002475,电子,电子,Same,True,0.1898295837850101,0.1995544510994254,0.1898295837850101,0.1995544510994254,0.0097248673144152,0.0097248673144152,0.0097248673144152,1,1,1,Persistent,Strengthened,韦尔股份,立讯精密,Persistent Same-industry
002415,603501,电子,电子,Same,True,0.1420135253117916,0.1421516599331627,0.1420135253117916,0.1421516599331627,0.0001381346213711,0.0001381346213711,0.0001381346213711,1,1,1,Persistent,Strengthened,海康威视,韦尔股份,Persistent Same-industry
