window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,industry_a,industry_b,industry_pair,relation,possible_pairs,transition_energy,transition_intensity,energy_share,persistent,lost,gained,energy_rank
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,非银金融,非银金融,非银金融 - 非银金融,Same,1,0.030082354176199862,0.17344265385481122,0.23890553147453225,1,0,0,1
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,电子,非银金融,电子 - 非银金融,Cross,8,0.01973639799374547,0.14048629112388678,0.15674087953592103,5,1,0,2
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,银行,银行,银行 - 银行,Same,6,0.018738228535549725,0.13688764931705755,0.14881370058193583,6,0,0,3
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,非银金融,食品饮料,非银金融 - 食品饮料,Cross,8,0.016199830402965066,0.12727855437176,0.1286544619995083,6,1,0,4
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,银行,非银金融,银行 - 非银金融,Cross,8,0.010839617175880426,0.10411348220033957,0.08608516764399445,2,0,0,5
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,食品饮料,食品饮料,食品饮料 - 食品饮料,Same,6,0.007645943174525328,0.08744108401961476,0.06072191381814245,6,0,0,6
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,电子,电子,电子 - 电子,Same,6,0.004877103420545663,0.06983626150178475,0.03873257318616245,5,1,0,7
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,银行,食品饮料,银行 - 食品饮料,Cross,16,0.004483057183922185,0.06695563593844946,0.035603169648305316,4,1,0,8
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,新能源,电子,新能源 - 电子,Cross,4,0.004030512144545369,0.06348631462406185,0.032009185197646235,4,0,0,9
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,电子,银行,电子 - 银行,Cross,16,0.0034747167116631586,0.058946727743473246,0.027595215383113065,1,1,0,10
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,新能源,食品饮料,新能源 - 食品饮料,Cross,4,0.003451066369531756,0.05874577746129296,0.02740739106845462,1,1,0,11
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,电子,食品饮料,电子 - 食品饮料,Cross,16,0.002343611485645298,0.04841086123635168,0.018612298235318406,2,4,0,12
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,新能源,非银金融,新能源 - 非银金融,Cross,2,1.4922746927549312e-05,0.0038629971430935994,0.00011851222696549191,1,0,0,13
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,新能源,银行,新能源 - 银行,Cross,4,0.0,0.0,0.0,0,0,0,14
