window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,stock,name,industry,driver_score,driver_share,same_driver_score,cross_driver_score,same_driver_share,cross_driver_share,support_change_score,persistent_change_score,support_change_share,persistent_change_share,support_turnover,driver_rank
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,601318,中国平安,非银金融,0.05682420745991465,0.22564087578243058,0.030082354176199862,0.026741853283714787,0.5293932906573449,0.4706067093426551,0.007541166376072058,0.049283041083842585,0.13271045410341717,0.8672895458965827,2,1
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,600030,中信证券,非银金融,0.05013126921200359,0.1990641663952963,0.030082354176199862,0.02004891503580373,0.6000716648322331,0.399928335167767,0.0,0.05013126921200359,0.0,1.0,0,2
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,600036,招商银行,银行,0.01932714296697728,0.07674534604846643,0.008781657477867046,0.010545485489110233,0.45436914772512166,0.5456308522748783,2.515912962822189e-06,0.019324627054014457,0.00013017511005744228,0.9998698248899424,1,3
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000568,泸州老窖,食品饮料,0.016485372050053293,0.06546107641883538,0.0029529876846927008,0.013532384365360594,0.17912775494097233,0.8208722450590278,0.009972760804023427,0.006512611246029869,0.6049460560394927,0.3950539439605074,4,4
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000001,平安银行,银行,0.01591306712446761,0.06318853465545314,0.007835831372927754,0.008077235751539855,0.492414901014245,0.507585098985755,0.0,0.015913067124467606,0.0,0.9999999999999998,0,5
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,002415,海康威视,电子,0.015441855126905726,0.061317418584295326,0.00389373015217575,0.011548124974729977,0.2521542988310618,0.7478457011689382,0.002826519511883532,0.012615335615022195,0.1830427425108162,0.8169572574891838,2,6
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,601398,工商银行,银行,0.014258944464899722,0.05662024796496558,0.014258944464899722,0.0,1.0,0.0,0.0,0.014258944464899722,0.0,1.0,0,7
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000725,京东方A,电子,0.012988630439874166,0.0515760109762197,0.0009979248678644585,0.011990705572009708,0.07683064603954706,0.923169353960453,0.000265160960117904,0.012723469479756264,0.020414851384475366,0.9795851486155248,3,8
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,600519,贵州茅台,食品饮料,0.01041800519808118,0.04136842240094979,0.004518126934458234,0.005899878263622945,0.43368445768201347,0.5663155423179865,0.0007291009871860474,0.009688904210895133,0.06998470180455808,0.930015298195442,2,9
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,000858,五粮液,食品饮料,0.008948402117182074,0.035532836810767056,0.004271342261569735,0.00467705985561234,0.4773301652781352,0.5226698347218649,0.0,0.008948402117182074,0.0,1.0,0,10
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,603501,韦尔股份,电子,0.008557396040178218,0.03398020708489467,0.002639426863021489,0.005917969177156729,0.3084380868466291,0.6915619131533709,0.00017466983081568076,0.008382726209362538,0.02041156328345451,0.9795884367165455,1,11
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,002460,赣锋锂业,新能源,0.007496501261004673,0.02976754424653317,0.0,0.007496501261004673,0.0,1.0,0.0024570260582876817,0.0050394752027169915,0.32775637230512433,0.6722436276948757,1,12
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,601288,农业银行,银行,0.00677469358622061,0.026901348250757105,0.00660002375540493,0.00017466983081568076,0.9742173090793433,0.025782690920656617,0.00017466983081568076,0.00660002375540493,0.025782690920656617,0.9742173090793433,1,13
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,600887,伊利股份,食品饮料,0.00591767242579841,0.023498238663383537,0.0035494294683299865,0.002368242957468424,0.5998016133600195,0.4001983866399806,0.0002029837278730931,0.005714688697925318,0.0343012781491883,0.9656987218508118,1,14
22,23,2025-10-16,2025-11-13,R3,R4,R3→R4 Boundary,002475,立讯精密,电子,0.0023515635697325113,0.009337725716752118,0.002223124958029629,0.00012843861170288234,0.9453816118959982,0.05461838810400186,0.002187543300241431,0.00016402026949108062,0.9302505483576029,0.06974945164239715,2,15
