industry_a,industry_b,industry_pair,relation,possible_pairs,R3_edges,R4_edges,persistent,lost,gained,absent,gross_support_change,net_edge_change,support_change_rate,jaccard,retention_from_R3,transition_energy_independent,transition_intensity,energy_share_independent,mean_energy_per_pair,mean_abs_delta_per_pair,support_change_energy,persistent_change_energy,support_energy_share_within_pair,persistent_energy_share_within_pair,support_energy_global_share,persistent_energy_global_share,energy_rank_independent,mean_energy_rank,support_change_rank,transition_energy_rolling,energy_share_rolling,energy_rank_rolling
新能源,电子,新能源 - 电子,Cross,4,3,1,1,2,0,1,2,-2,0.5,0.3333333333333333,0.3333333333333333,0.0242272242922548,0.155650969454915,0.0611697162153071,0.0060568060730637,0.0589181121639422,0.0239114932359315,0.0003157310563233,0.9869679228410698,0.0130320771589301,0.1164066820285564,0.0016560572733561,8,4,5,0.004030512144545369,0.032009185197646235,9
新能源,银行,新能源 - 银行,Cross,4,0,0,0,0,0,4,0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,13,13,10,0.0,0.0,14
新能源,非银金融,新能源 - 非银金融,Cross,2,1,1,1,0,0,1,0,0,0.0,1.0,1.0,0.0304604775330842,0.1745293027920648,0.0769076450527252,0.0152302387665421,0.0872646513960324,0.0,0.0304604775330842,0.0,1.0,0.0,0.1597698242167852,4,2,10,1.4922746927549312e-05,0.00011851222696549191,13
新能源,食品饮料,新能源 - 食品饮料,Cross,4,2,0,0,2,0,2,2,-2,0.5,0.0,0.0,0.0024648765769826,0.0496475233720947,0.0062234038411073,0.0006162191442456,0.0148452191989711,0.0024648765769826,0.0,1.0,0.0,0.0119995895323382,0.0,11,12,5,0.003451066369531756,0.02740739106845462,11
电子,电子,电子 - 电子,Same,6,5,3,3,2,0,1,2,-2,0.3333333333333333,0.6,0.6,0.1264884871743966,0.3556521997322618,0.3193624152575686,0.0210814145290661,0.0997194714561289,0.0686287350841766,0.05785975209022,0.5425690244010463,0.4574309755989537,0.3341005626098267,0.3034831745707438,1,1,5,0.004877103420545663,0.03873257318616245,7
电子,银行,电子 - 银行,Cross,16,1,2,0,1,2,13,3,1,0.1875,0.0,0.0,0.0299219110233917,0.1729795104149381,0.0755478540934492,0.0018701194389619,0.0109859533353535,0.0299219110233917,0.0,1.0,0.0,0.1456667865874928,0.0,5,9,4,0.0034747167116631586,0.027595215383113065,10
电子,非银金融,电子 - 非银金融,Cross,8,5,3,2,3,1,2,4,-2,0.5,0.3333333333333333,0.4,0.0540700559361053,0.2325296882897007,0.1365179080137007,0.0067587569920131,0.0562643341542282,0.0339753897170155,0.0200946662190898,0.6283586937132878,0.3716413062867121,0.1654000588153082,0.1053995718232547,2,3,3,0.01973639799374547,0.15674087953592103,2
电子,食品饮料,电子 - 食品饮料,Cross,16,0,0,0,0,0,16,0,0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,13,13,10,0.002343611485645298,0.018612298235318406,12
银行,银行,银行 - 银行,Same,6,6,5,5,1,0,0,1,-1,0.1666666666666666,0.8333333333333334,0.8333333333333334,0.0290550901222229,0.170455537082909,0.0733592753320374,0.0048425150203704,0.0557134602664155,0.0089394931744636,0.0201155969477593,0.3076739096956443,0.6923260903043558,0.0435195213108864,0.1055093566694256,6,6,8,0.018738228535549725,0.14881370058193583,3
银行,非银金融,银行 - 非银金融,Cross,8,2,3,2,0,1,5,1,1,0.125,0.6666666666666666,1.0,0.015851420157334,0.1259024231591039,0.0400222023347388,0.0019814275196667,0.0271089437301312,0.0045195676501676,0.0113318525071664,0.2851206772206168,0.7148793227793832,0.022002301118068,0.0594372849589794,9,8,8,0.010839617175880426,0.08608516764399445,5
银行,食品饮料,银行 - 食品饮料,Cross,16,3,6,2,1,4,9,5,3,0.3125,0.2857142857142857,0.6666666666666666,0.0113791911641928,0.1066732917097471,0.0287305671453219,0.000711199447762,0.0143925991038041,0.0064063106574526,0.0049728805067401,0.5629847117439752,0.4370152882560248,0.0311874026569631,0.0260835124318059,10,11,1,0.004483057183922185,0.035603169648305316,8
非银金融,非银金融,非银金融 - 非银金融,Same,1,1,1,1,0,0,0,0,0,0.0,1.0,1.0,0.0012418486475042,0.0352398729779807,0.0031354615136196,0.0012418486475042,0.0352398729779807,0.0,0.0012418486475042,0.0,1.0,0.0,0.0065136844916531,12,10,10,0.030082354176199862,0.23890553147453225,1
非银金融,食品饮料,非银金融 - 食品饮料,Cross,8,7,4,3,4,1,0,5,-3,0.625,0.375,0.4285714285714285,0.0452149403799307,0.2126380501696032,0.1141602124274952,0.0056518675474913,0.0569760905039726,0.0266456305924051,0.0185693097875255,0.5893103113375379,0.4106896886624621,0.1297170953405599,0.097398846008163,3,5,1,0.016199830402965066,0.1286544619995083,4
食品饮料,食品饮料,食品饮料 - 食品饮料,Same,6,6,6,6,0,0,0,0,0,0.0,1.0,1.0,0.0256901413644781,0.1602814442300733,0.0648633387729283,0.004281690227413,0.0513537957366786,0.0,0.0256901413644781,0.0,1.0,0.0,0.1347486875558327,7,7,10,0.007645943174525328,0.06072191381814245,6
