stock,name_independent,industry_independent,possible_incident_pairs,degree_R3,degree_R4,persistent_degree,lost_degree,gained_degree,absent_degree,support_turnover_independent,support_turnover_rate,net_degree_change,retention_from_R3,driver_score_independent,same_driver_score,cross_driver_score,same_driver_share,cross_driver_share_independent,support_change_score,persistent_change_score,support_change_share_independent,persistent_change_share_independent,mean_abs_delta,max_abs_delta,driver_share_independent,driver_rank_independent,turnover_rank,cross_driver_rank,name_rolling,industry_rolling,driver_score_rolling,driver_share_rolling,driver_rank_rolling,cross_driver_share_rolling,support_change_share_rolling,persistent_change_share_rolling,support_turnover_rolling
000001,平安银行,银行,14,6,8,5,1,3,5,4,0.2857142857142857,2,0.8333333333333334,0.0342539649263262,0.0191602439723329,0.0150937209539932,0.5593584279525897,0.4406415720474103,0.0099341632071602,0.024319801719166,0.2900149874190244,0.7099850125809757,0.0329604009079586,0.1098583492726662,0.0432427852344253,8,3,10,平安银行,银行,0.01591306712446761,0.06318853465545314,5,0.507585098985755,0.0,0.9999999999999998,0
000568,泸州老窖,食品饮料,14,6,5,4,2,1,7,3,0.2142857142857142,-1,0.6666666666666666,0.0065617183859236,0.0041042281592358,0.0024574902266878,0.625480692380874,0.374519307619126,0.0008233240850555,0.005738394300868,0.125473852523414,0.8745261474765859,0.011940802732271,0.0600951809249168,0.0082836243787124,15,8,14,泸州老窖,食品饮料,0.016485372050053293,0.06546107641883538,4,0.8208722450590278,0.6049460560394927,0.3950539439605074,4
000725,京东方A,电子,14,6,2,2,4,0,8,4,0.2857142857142857,-4,0.3333333333333333,0.1605042754643741,0.12639389504894,0.0341103804154341,0.7874799265206782,0.2125200734793217,0.0832698597540326,0.0772344157103415,0.5188015055244769,0.4811984944755231,0.0622944398018843,0.2403438369602254,0.2026233146452095,1,3,4,京东方A,电子,0.012988630439874166,0.0515760109762197,8,0.923169353960453,0.020414851384475366,0.9795851486155248,3
000858,五粮液,食品饮料,14,6,5,4,2,1,7,3,0.2142857142857142,-1,0.6666666666666666,0.0493945789610464,0.0242452612906633,0.025149317670383,0.4908486275342824,0.5091513724657176,0.0083085791306364,0.0410859998304099,0.1682083197265185,0.8317916802734816,0.0382407188916462,0.1297718711421955,0.0623565527188293,7,8,7,五粮液,食品饮料,0.008948402117182074,0.035532836810767056,10,0.5226698347218649,0.0,1.0,0
002415,海康威视,电子,14,5,3,3,2,0,9,2,0.1428571428571428,-2,0.6,0.0683403154184663,0.057765179045937,0.0105751363725293,0.845257717823295,0.154742282176705,0.0099497258990176,0.0583905895194487,0.1455908688464893,0.8544091311535107,0.0262597427546744,0.2403438369602254,0.0862739711694618,4,12,12,海康威视,电子,0.015441855126905726,0.061317418584295326,6,0.7478457011689382,0.1830427425108162,0.8169572574891838,2
002460,赣锋锂业,新能源,14,6,2,2,4,0,8,4,0.2857142857142857,-4,0.3333333333333333,0.0571525784023218,0.0,0.0571525784023218,0.0,1.0,0.0263763698129142,0.0307762085894076,0.4615079590502373,0.5384920409497628,0.0335416163031227,0.1745293027920648,0.0721503825545698,5,3,2,赣锋锂业,新能源,0.007496501261004673,0.02976754424653317,12,1.0,0.32775637230512433,0.6722436276948757,1
002475,立讯精密,电子,14,3,3,2,1,1,10,2,0.1428571428571428,0,0.6666666666666666,0.0761471421005114,0.0564781977607839,0.0196689443397275,0.7416981938236735,0.2583018061763265,0.0757368379999051,0.0004103041006063,0.9946116940270092,0.0053883059729906,0.0288615628439535,0.2374523630467825,0.0961294413405835,3,12,9,立讯精密,电子,0.0023515635697325113,0.009337725716752118,15,0.05461838810400186,0.9302505483576029,0.06974945164239715,2
600030,中信证券,非银金融,14,8,8,5,3,3,3,6,0.4285714285714285,0,0.625,0.1171048375421767,0.0012418486475042,0.1158629888946725,0.0106045887904241,0.9893954112095756,0.0636736790008662,0.0534311585413105,0.5437322687709923,0.4562677312290075,0.0699912267559277,0.1745293027920648,0.1478351294701267,2,1,1,中信证券,非银金融,0.05013126921200359,0.1990641663952963,2,0.399928335167767,0.0,1.0,0
600036,招商银行,银行,14,5,7,4,1,3,6,4,0.2857142857142857,2,0.8,0.028984704673313,0.0168452717251328,0.0121394329481801,0.5811779666205374,0.4188220333794625,0.0099337508555702,0.0190509538177427,0.3427238941204925,0.6572761058795076,0.0282774396000308,0.094548893036691,0.036590781883706,11,3,11,招商银行,银行,0.01932714296697728,0.07674534604846643,3,0.5456308522748783,0.00013017511005744228,0.9998698248899424,1
600519,贵州茅台,食品饮料,14,7,6,5,2,1,6,3,0.2142857142857142,-1,0.7142857142857143,0.0255418606556394,0.0174074305024394,0.0081344301531999,0.6815255449526545,0.3184744550473454,0.003791208931549,0.0217506517240903,0.1484311962492816,0.8515688037507184,0.022328585436175,0.1282605670463769,0.0322444773092692,13,8,13,贵州茅台,食品饮料,0.01041800519808118,0.04136842240094979,9,0.5663155423179865,0.06998470180455808,0.930015298195442,2
600887,伊利股份,食品饮料,14,5,6,4,1,2,7,3,0.2142857142857142,1,0.8,0.0289411328474529,0.0056233627766175,0.0233177700708353,0.1943034782452367,0.8056965217547633,0.0225937056795995,0.0063474271678534,0.7806779989812306,0.2193220010187694,0.0247553740348131,0.1447201181655488,0.0365357760730796,12,8,8,伊利股份,食品饮料,0.00591767242579841,0.023498238663383537,14,0.4001983866399806,0.0343012781491883,0.9656987218508118,1
601288,农业银行,银行,14,4,2,2,2,0,10,2,0.1428571428571428,-2,0.5,0.0211023888630676,0.0211009179861607,1.4708769069229668e-06,0.9999302980853748,6.970191462527836e-05,0.0089409640513705,0.012161424811697,0.423694403007547,0.576305596992453,0.0153743757956929,0.1098583492726662,0.0266400129591314,14,12,15,农业银行,银行,0.00677469358622061,0.026901348250757105,13,0.025782690920656617,0.025782690920656617,0.9742173090793433,1
601318,中国平安,非银金融,14,9,5,5,4,0,5,4,0.2857142857142857,-4,0.5555555555555556,0.030975753759286,0.0012418486475042,0.0297339051117818,0.0400909904293104,0.9599090095706896,0.0014669089587221,0.0295088448005639,0.0473566832342976,0.9526433167657024,0.0277090586622639,0.1297718711421955,0.039104315957823,9,3,6,中国平安,非银金融,0.05682420745991465,0.22564087578243058,1,0.4706067093426551,0.13271045410341717,0.8672895458965827,2
601398,工商银行,银行,14,3,4,3,0,1,10,1,0.0714285714285714,1,1.0,0.0309216441266575,0.0010037465608193,0.0299178975658382,0.0324609699506244,0.9675390300493756,0.0299178975658382,0.0010037465608193,0.9675390300493756,0.0324609699506244,0.0156370631295005,0.1729679090636128,0.0390360070415296,10,15,5,工商银行,银行,0.014258944464899722,0.05662024796496558,7,0.0,0.0,1.0,0
603501,韦尔股份,电子,14,5,4,2,3,2,7,5,0.3571428571428571,-1,0.4,0.0562044326171932,0.0123397024931322,0.043864730124061,0.2195503436032816,0.7804496563967185,0.0561098404917366,9.459212545660244e-05,0.9983169988370691,0.0016830011629308,0.029598256937259,0.1729679090636128,0.0709534272635423,6,2,3,韦尔股份,电子,0.008557396040178218,0.03398020708489467,11,0.6915619131533709,0.02041156328345451,0.9795884367165455,1
